substation,category,n_reps,connections,participation_pct,bill_baseline_tk,saving_tk,saving_pct,mean_saving_per_connection_tk,discomfort_tk,qoe_mean,curtailed_kwh
Dhanmondi,Commercial,96.0,3528.933699870044,22.916666666666675,247874096.79793492,2215532.030853154,0.8938134558929887,627.8191145769451,3061080.2060248815,0.9916800316725426,137371.77770666877
Dhanmondi,Educational,36.0,1178.6226757857057,0.0,55293607.12271432,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Government,20.0,802.1669568601163,0.0,52177157.857688725,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Hospital,36.0,173.32898052918324,0.0,55385000.67367382,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Industrial,8.0,115.82869586163048,12.5,8755069.57092015,16093.114472177309,0.18381480971470948,138.93892487058838,29651.426599800572,0.9982574818904717,1203.9886636125518
Dhanmondi,Residential,204.0,121860.37384850386,17.64705882352941,319887942.33084536,5240657.995130146,1.6382793164832625,43.00543178741026,6521956.109322015,0.9941775368210191,339685.0598254489
Kalyanpur,Commercial,68.0,2845.228977924288,66.1764705882353,179788655.6928409,2945040.1329107764,1.6380567069494174,1035.0801836199857,4920556.670818048,0.9782067547632697,182604.1749076624
Kalyanpur,Educational,20.0,644.1544803297821,0.0,31303933.69948343,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Government,12.0,520.1446066889106,0.0,32037803.721434996,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Hospital,12.0,54.26807695745534,0.0,18866675.256807424,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Industrial,16.0,605.5581382139187,93.75000000000003,35799950.37877679,156564.86009558119,0.43733261761278086,258.5463727023239,289490.3451096852,0.9912413206396714,11713.22785288472
Kalyanpur,Residential,272.0,216332.7081211862,10.294117647058828,416554165.2985567,7047159.089750301,1.691774966335865,32.57555989084458,8796136.866877329,0.995613173877665,463127.3798802851
