substation,date,peak_baseline_kw,peak_post_kw,peak_reduction_kw,peak_reduction_pct,peak_slot_baseline,peak_slot_post,peak_shifted_not_shaved
Dhanmondi,2026-07-07,128110.5560498098,124878.52931285804,3232.026736951768,2.522841861442819,25,25,False
Dhanmondi,2026-07-08,128421.8813226704,125190.04952849635,3231.831794174039,2.5165740922715494,25,25,False
Dhanmondi,2026-07-09,128846.91193434598,124539.97162749892,4306.9403068470565,3.3426802724163545,25,25,False
Dhanmondi,2026-07-10,128965.59447352529,127975.64761068903,989.946862836252,0.7676053965226154,25,25,False
Dhanmondi,2026-07-11,129363.64213050746,125198.3279377616,4165.314192745864,3.2198491973067056,25,25,False
Dhanmondi,2026-07-12,129487.77857926104,119192.93929405136,10294.839285209673,7.950433159147971,25,25,False
Dhanmondi,2026-07-13,129718.08595112522,126578.08819186508,3139.9977592601354,2.420632201159069,25,25,False
Kalyanpur,2026-07-07,133415.7381586025,122188.2628822374,11227.475276365105,8.415405432167278,37,37,False
Kalyanpur,2026-07-08,133567.57274270555,126570.63284225056,6996.939900454992,5.238501948323465,37,37,False
Kalyanpur,2026-07-09,133821.72931287644,126991.30865391024,6830.420658966206,5.104119259284581,37,37,False
Kalyanpur,2026-07-10,133914.59014067345,126552.6499243007,7361.94021637275,5.497489264343222,37,37,False
Kalyanpur,2026-07-11,134107.91191879244,127340.43776592852,6767.474152863913,5.046290003353331,37,37,False
Kalyanpur,2026-07-12,134203.09806311698,127385.63532394289,6817.462739174094,5.079959283777321,37,37,False
Kalyanpur,2026-07-13,134337.85607120892,127512.89289438794,6824.96317682098,5.08044670089364,37,37,False
