substation,date,peak_baseline_kw,peak_post_kw,peak_reduction_kw,peak_reduction_pct,peak_slot_baseline,peak_slot_post,peak_shifted_not_shaved
Dhanmondi,2026-06-14,130694.56571717608,127165.85808100576,3528.707636170322,2.6999650802669706,25,37,False
Dhanmondi,2026-06-15,134335.52852773466,129409.80242325204,4925.7261044826155,3.666733706612588,25,37,False
Dhanmondi,2026-06-16,135385.09087507753,130127.47089656693,5257.6199785106,3.8834556630477937,25,25,False
Dhanmondi,2026-06-17,134065.6524697076,129793.26946614675,4272.383003560841,3.1867841798824603,25,37,False
Dhanmondi,2026-06-18,134223.2876955151,128966.37992922324,5256.907766291843,3.91653926568772,25,25,False
Dhanmondi,2026-06-19,128931.74364621702,125393.60546846624,3538.1381777507777,2.7441947791067434,25,37,False
Dhanmondi,2026-06-20,138330.12871495145,132840.98792364128,5489.140791310172,3.9681455098052525,25,25,False
Dhanmondi,2026-06-21,137990.04168565053,132507.8975249932,5482.144160657335,3.972854920318079,25,25,False
Dhanmondi,2026-06-22,132267.66275261078,127785.21444325717,4482.448309353611,3.3889222929246428,25,37,False
Dhanmondi,2026-06-23,136972.24379221734,131548.24657663814,5423.997215579206,3.959924336062744,25,25,False
Dhanmondi,2026-06-24,133954.62035960588,129096.25576304633,4858.36459655955,3.626873476642388,25,37,False
Dhanmondi,2026-06-25,137278.3631810545,131835.7591495431,5442.604031511408,3.9646481101564666,25,25,False
Dhanmondi,2026-06-26,137010.49594206555,131584.17365092042,5426.32229114513,3.9605157647481497,25,25,False
Dhanmondi,2026-06-27,138435.46695672898,134445.9412128887,3989.5257438402914,2.8818667871343293,25,37,False
Dhanmondi,2026-06-28,138082.82101750217,132878.7216753556,5204.099342146568,3.768824611054942,25,37,False
Dhanmondi,2026-06-29,136500.0,131104.70711886452,5395.29288113548,3.9525955173153697,25,25,False
Dhanmondi,2026-06-30,128189.70493522986,125490.93340955747,2698.7715256723895,2.1052950601891096,25,37,False
Dhanmondi,2026-07-01,128015.44983476424,125377.67957870913,2637.7702560551115,2.0605093052907364,25,37,False
Dhanmondi,2026-07-02,127950.65125648752,125317.1616547484,2633.4896017391147,2.0582072665344002,25,37,False
Dhanmondi,2026-07-03,127761.1714654769,125196.94800575562,2564.223459721281,2.007044417571089,25,37,False
Dhanmondi,2026-07-04,127694.05077764914,125150.07040463196,2543.9803730171843,1.992246590600342,25,37,False
Dhanmondi,2026-07-05,127792.49605455186,125190.29607973188,2602.199974819974,2.0362697773030045,25,37,False
Dhanmondi,2026-07-06,127898.2698308008,125212.83276514513,2685.437065655671,2.099666453039818,25,37,False
Dhanmondi,2026-07-07,128110.5560498098,125328.9318946112,2781.6241551986022,2.171268505084856,25,37,False
Dhanmondi,2026-07-08,128421.8813226704,125503.93881254768,2917.94251012271,2.27215368601488,25,37,False
Dhanmondi,2026-07-09,128846.91193434598,125796.8836530244,3050.0282813215745,2.367172201127892,25,37,False
Dhanmondi,2026-07-10,128965.59447352529,125903.916496469,3061.677977056286,2.3740269562242067,25,37,False
Dhanmondi,2026-07-11,129363.64213050746,126126.74220352693,3236.8999269805354,2.50217130073921,25,37,False
Dhanmondi,2026-07-12,129487.77857926104,126236.45524319376,3251.323336067275,2.5109113552960522,25,37,False
Dhanmondi,2026-07-13,129718.08595112522,126391.7794323614,3326.306518763813,2.5642580942931033,25,37,False
Kalyanpur,2026-06-14,135009.44043522017,129421.17603421448,5588.264401005683,4.1391656635204175,37,37,False
Kalyanpur,2026-06-15,136956.2683662112,131776.59971731552,5179.668648895691,3.781987280089751,37,37,False
Kalyanpur,2026-06-16,136406.42921498578,131245.64750049735,5160.781714488432,3.7833859768843374,37,37,False
Kalyanpur,2026-06-17,137288.96126579295,126702.88290504328,10586.07836074967,7.7108008270635136,37,34,False
Kalyanpur,2026-06-18,136353.5186576026,131194.89973437687,5158.618923225731,3.7832679156447306,37,37,False
Kalyanpur,2026-06-19,133471.84842729656,128478.03126869004,4993.817158606515,3.7414759872204035,37,37,False
Kalyanpur,2026-06-20,139604.2956686311,130529.49844668564,9074.797221945453,6.500371051250215,37,34,False
Kalyanpur,2026-06-21,137878.86090686743,132665.9881407752,5212.872766092216,3.780762860822688,37,37,False
Kalyanpur,2026-06-22,135546.78899711053,130416.57196935108,5130.217027759456,3.7848311020254544,37,37,False
Kalyanpur,2026-06-23,137914.87723723636,129058.41496867522,8856.46226856114,6.421687381359562,37,26,False
