substation,date,peak_baseline_kw,peak_post_kw,peak_reduction_kw,peak_reduction_pct,peak_slot_baseline,peak_slot_post,peak_shifted_not_shaved
Dhanmondi,2026-06-14,130694.56571717608,127298.32796904778,3396.237748128304,2.5986067052533652,25,37,False
Dhanmondi,2026-06-15,134335.52852773466,129543.2021070393,4792.326420695361,3.5674303538441405,25,37,False
Dhanmondi,2026-06-16,135385.09087507753,128810.17151516004,6574.9193599174905,4.85645747062673,25,37,False
Dhanmondi,2026-06-17,134065.6524697076,129926.6009341172,4139.051535590392,3.0873318104542986,25,37,False
Dhanmondi,2026-06-18,134223.2876955151,128848.43389673348,5374.853798781609,4.004412267843148,25,37,False
Dhanmondi,2026-06-19,128931.74364621702,125393.60546846624,3538.1381777507777,2.7441947791067434,25,37,False
Dhanmondi,2026-06-20,138330.12871495145,132545.9251615408,5784.203553410654,4.1814488334134445,25,37,False
Dhanmondi,2026-06-21,137990.04168565053,130614.09124090348,7375.950444747054,5.3452773509192095,25,37,False
Dhanmondi,2026-06-22,132267.66275261078,127918.08560664277,4349.577145968011,3.2884660206805965,25,37,False
Dhanmondi,2026-06-23,136972.24379221734,130555.48130697278,6416.762485244559,4.684717361408336,25,37,False
Dhanmondi,2026-06-24,133954.62035960588,129229.5580731301,4725.062286475775,3.5273604402678904,25,37,False
Dhanmondi,2026-06-25,137278.3631810545,130505.6833297888,6772.6798512657115,4.933537736266071,25,37,False
Dhanmondi,2026-06-26,137010.49594206555,130744.70377068083,6265.792171384717,4.573220561170867,25,37,False
Dhanmondi,2026-06-27,138435.46695672898,134587.12583688757,3848.3411198414105,2.7798809108971283,25,37,False
Dhanmondi,2026-06-28,138082.82101750217,133019.68192017995,5063.139097322215,3.6667407719606597,25,37,False
Dhanmondi,2026-06-29,136500.0,130753.29223313942,5746.707766860578,4.210042320044379,25,37,False
Dhanmondi,2026-06-30,128189.70493522986,125622.76346155864,2566.9414736712206,2.0024552478439777,25,37,False
Dhanmondi,2026-07-01,128015.44983476424,125829.94763237749,2185.5022023867496,1.7072175313274167,25,37,False
Dhanmondi,2026-07-02,127950.65125648752,125769.4106979234,2181.24055856411,1.7047514312308074,25,37,False
Dhanmondi,2026-07-03,127761.1714654769,125328.66858469143,2432.5028807854687,1.9039453480925304,25,37,False
Dhanmondi,2026-07-04,127694.05077764914,125281.77383586108,2412.2769417880627,1.8891067572039888,25,37,False
Dhanmondi,2026-07-05,127792.49605455186,125640.39354242032,2152.1025121315324,1.6840601589101494,25,37,False
Dhanmondi,2026-07-06,127898.2698308008,125662.96442914067,2235.3054016601236,1.7477213762291346,25,37,False
Dhanmondi,2026-07-07,128110.5560498098,125781.23031163114,2329.325738178668,1.8182153055935675,25,37,False
Dhanmondi,2026-07-08,128421.8813226704,125956.33063182578,2465.5506908446114,1.919883640895834,25,37,False
Dhanmondi,2026-07-09,128846.91193434598,126249.40203252698,2597.509901818994,2.015965972969967,25,37,False
Dhanmondi,2026-07-10,128965.59447352529,126035.94460428506,2929.649869240224,2.2716522815250833,25,37,False
Dhanmondi,2026-07-11,129363.64213050746,126579.4149223839,2784.227208123557,2.152248624319584,25,37,False
Dhanmondi,2026-07-12,129487.77857926104,126689.16450835428,2798.614070906755,2.1612959165823433,25,37,False
Dhanmondi,2026-07-13,129718.08595112522,126844.5573442586,2873.5286068666173,2.2152104587399606,25,37,False
