substation,date,peak_baseline_kw,peak_post_kw,peak_reduction_kw,peak_reduction_pct,peak_slot_baseline,peak_slot_post,peak_shifted_not_shaved
Dhanmondi,2026-06-14,130694.56571717608,126493.7242134321,4200.8415037439845,3.2142434390383405,25,25,False
Dhanmondi,2026-06-15,134335.52852773466,130791.00515289136,3544.5233748432947,2.638559890812131,25,25,False
Dhanmondi,2026-06-16,135385.09087507753,135092.67082612167,292.42004895585706,0.21599132302217736,25,25,False
Dhanmondi,2026-06-17,134065.6524697076,132569.0179199606,1496.6345497469883,1.1163445089600081,25,25,False
Dhanmondi,2026-06-18,134223.2876955151,130672.50973538694,3550.777960128151,2.6454261559909593,25,25,False
Dhanmondi,2026-06-19,128931.74364621702,128676.2916006888,255.45204552821815,0.19812967567488052,25,25,False
Dhanmondi,2026-06-20,138330.12871495145,138054.05623659756,276.0724783538899,0.19957508961968493,25,25,False
Dhanmondi,2026-06-21,137990.04168565053,135619.3181204095,2370.723565241031,1.7180396036416012,25,25,False
Dhanmondi,2026-06-22,132267.66275261078,131982.49185992376,285.17089268701966,0.21560136979239908,25,25,False
Dhanmondi,2026-06-23,136972.24379221734,136698.40505979722,273.8387324201176,0.19992279080681666,25,25,False
Dhanmondi,2026-06-24,133954.62035960588,132433.30856580677,1521.3117937991046,1.1356919154524792,25,25,False
Dhanmondi,2026-06-25,137278.3631810545,134741.91748206984,2536.445698984666,1.8476660416174857,25,25,False
Dhanmondi,2026-06-26,137010.49594206555,136736.47326895755,274.0226731080038,0.20000122707670032,25,25,False
Dhanmondi,2026-06-27,138435.46695672898,138006.4480745047,429.01888222427806,0.30990532387078035,25,25,False
Dhanmondi,2026-06-28,138082.82101750217,137675.6385519199,407.1824655822711,0.29488278308759364,25,25,False
Dhanmondi,2026-06-29,136500.0,136176.0727563197,323.92724368028576,0.23730933602951337,25,25,False
Dhanmondi,2026-06-30,128189.70493522986,125650.75620415575,2538.9487310741097,1.9806182815983224,25,25,False
Dhanmondi,2026-07-01,128015.44983476424,127637.32020945117,378.1296253130713,0.29537811709535183,25,25,False
Dhanmondi,2026-07-02,127950.65125648752,127572.1816903775,378.46956611001224,0.29579338783617376,25,25,False
Dhanmondi,2026-07-03,127761.1714654769,125815.0975378465,1946.0739276304084,1.523212338543928,25,25,False
Dhanmondi,2026-07-04,127694.05077764914,125147.50350495584,2546.5472726933076,1.9942567857977618,25,25,False
Dhanmondi,2026-07-05,127792.49605455186,127413.44936998088,379.0466845709743,0.29661106580872126,25,25,False
Dhanmondi,2026-07-06,127898.2698308008,127522.43392720964,375.83590359115624,0.2938553461969088,25,25,False
Dhanmondi,2026-07-07,128110.5560498098,127731.61210286371,378.9439469460922,0.2957944752021508,25,25,False
Dhanmondi,2026-07-08,128421.8813226704,127570.05552159838,851.8258010720165,0.6633026960037558,25,25,False
Dhanmondi,2026-07-09,128846.91193434598,128244.12737463826,602.7845597077103,0.46783004005160755,25,25,False
Dhanmondi,2026-07-10,128965.59447352529,126942.81890357108,2022.775569954203,1.5684614010517735,25,25,False
Dhanmondi,2026-07-11,129363.64213050746,128762.77099054928,600.8711399581807,0.46448223787020215,25,25,False
Dhanmondi,2026-07-12,129487.77857926104,128634.84370104028,852.9348782207526,0.6586991356088951,25,25,False
Dhanmondi,2026-07-13,129718.08595112522,129119.60506320384,598.4808879213815,0.4613704276725724,25,25,False
Kalyanpur,2026-06-14,135009.44043522017,128000.01038474204,7009.430050478128,5.1918073490878385,37,37,False
Kalyanpur,2026-06-15,136956.2683662112,130545.4529516234,6410.815414587807,4.680921502216859,37,37,False
Kalyanpur,2026-06-16,136406.42921498578,132013.99359109876,4392.435623887024,3.22010894146657,37,37,False
Kalyanpur,2026-06-17,137288.96126579295,133040.14913805315,4248.812127739802,3.094795159469562,37,37,False
Kalyanpur,2026-06-18,136353.5186576026,129899.45133948904,6454.067318113564,4.733333896810083,37,37,False
Kalyanpur,2026-06-19,133471.84842729656,129629.16014826926,3842.688279027294,2.8790252958251674,37,37,False
Kalyanpur,2026-06-20,139604.2956686311,134856.43988754842,4747.855781082675,3.400938171954484,37,37,False
Kalyanpur,2026-06-21,137878.86090686743,130347.52484272768,7531.336064139745,5.462284801748479,37,37,False
Kalyanpur,2026-06-22,135546.78899711053,131185.5584838004,4361.230513310118,3.217509278956868,37,37,False
Kalyanpur,2026-06-23,137914.87723723636,133454.21250042447,4460.6647368118865,3.234360807310735,37,37,False
Kalyanpur,2026-06-24,136684.23782415845,132455.91257448748,4228.325249670976,3.0934987947261567,37,37,False
Kalyanpur,2026-06-25,137785.0087245656,130308.10733095692,7476.90139360867,5.426498472381065,37,37,False
Kalyanpur,2026-06-26,138114.41795992616,133650.374459713,4464.043500213156,3.2321343174384567,37,37,False
Kalyanpur,2026-06-27,141325.58157751698,136211.82893373177,5113.752643785207,3.6184196708791303,37,37,False
