substation,date,peak_baseline_kw,peak_post_kw,peak_reduction_kw,peak_reduction_pct,peak_slot_baseline,peak_slot_post,peak_shifted_not_shaved
Dhanmondi,2026-06-14,130694.56571717608,128395.12121237638,2299.4445047996996,1.75940330202842,25,25,False
Dhanmondi,2026-06-15,134335.52852773466,133341.14373636266,994.3847913719947,0.7402247210920795,25,25,False
Dhanmondi,2026-06-16,135385.09087507753,134488.22676372735,896.8641113501799,0.6624541192484289,25,25,False
Dhanmondi,2026-06-17,134065.6524697076,133105.5787521147,960.0737175928953,0.7161220640087705,25,25,False
Dhanmondi,2026-06-18,134223.2876955151,133280.33114866365,942.9565468514338,0.7025282743710811,25,25,False
Dhanmondi,2026-06-19,128931.74364621702,128105.25522275105,826.4884234659694,0.6410278804060984,25,25,False
Dhanmondi,2026-06-20,138330.12871495145,137038.21742944093,1291.9112855105195,0.9339334080811008,25,25,False
Dhanmondi,2026-06-21,137990.04168565053,136666.73986932027,1323.3018163302622,0.9589835615419422,25,25,False
Dhanmondi,2026-06-22,132267.66275261078,131327.05393118577,940.6088214250049,0.7111404268058246,25,25,False
Dhanmondi,2026-06-23,136972.24379221734,135921.0247668265,1051.2190253908338,0.7674686464109478,25,25,False
Dhanmondi,2026-06-24,133954.62035960588,132957.9915873576,996.6287722482812,0.7440047753282389,25,25,False
Dhanmondi,2026-06-25,137278.3631810545,135858.89564013403,1419.4675409204792,1.0340067495183953,25,25,False
Dhanmondi,2026-06-26,137010.49594206555,135951.76398842473,1058.7319536408177,0.7727378449082464,25,25,False
Dhanmondi,2026-06-27,138435.46695672898,137868.4724076892,566.9945490397804,0.40957318345089044,25,25,False
Dhanmondi,2026-06-28,138082.82101750217,137291.5617517071,791.259265795059,0.5730323728646636,25,25,False
Dhanmondi,2026-06-29,136500.0,134994.3151920142,1505.6848079857882,1.1030657933961818,25,25,False
Dhanmondi,2026-06-30,128189.70493522986,127134.13941575598,1055.5655194738792,0.8234401662810774,25,25,False
Dhanmondi,2026-07-01,128015.44983476424,126946.73491099234,1068.7149237718986,0.8348327683504928,25,25,False
Dhanmondi,2026-07-02,127950.65125648752,126881.74371243492,1068.9075440525921,0.8354060988012322,25,25,False
Dhanmondi,2026-07-03,127761.1714654769,126759.79641295828,1001.3750525186188,0.7837866865436548,25,25,False
Dhanmondi,2026-07-04,127694.05077764914,126660.55064629552,1033.5001313536195,0.8093565244893285,25,25,False
Dhanmondi,2026-07-05,127792.49605455186,126621.24664881208,1171.2494057397707,0.9165243984590375,25,25,False
Dhanmondi,2026-07-06,127898.2698308008,126676.49184181272,1221.7779889880767,0.9552732735199557,25,25,False
Dhanmondi,2026-07-07,128110.5560498098,127040.5537490421,1070.0023007677082,0.8352179037859205,25,25,False
Dhanmondi,2026-07-08,128421.8813226704,127265.2585207786,1156.62280189179,0.9006430913324509,25,25,False
Dhanmondi,2026-07-09,128846.91193434598,127750.39001670812,1096.5219176378596,0.8510269289159161,25,25,False
Dhanmondi,2026-07-10,128965.59447352529,127975.64761068903,989.946862836252,0.7676053965226154,25,25,False
Dhanmondi,2026-07-11,129363.64213050746,128401.08033462812,962.5617958793446,0.7440744401029401,25,25,False
Dhanmondi,2026-07-12,129487.77857926104,127652.58560187757,1835.1929773834709,1.4172711876898305,25,25,False
Dhanmondi,2026-07-13,129718.08595112522,128546.26941333874,1171.8165377864789,0.9033563278354202,25,25,False
Kalyanpur,2026-06-14,135009.44043522017,128311.4004369244,6698.039998295761,4.9611641798557,37,37,False
Kalyanpur,2026-06-15,136956.2683662112,129290.61500450516,7665.653361706049,5.597154079292409,37,37,False
Kalyanpur,2026-06-16,136406.42921498578,128793.3357944159,7613.093420569872,5.581183720139116,37,37,False
Kalyanpur,2026-06-17,137288.96126579295,129599.72586210314,7689.235403689818,5.600767412613293,37,37,False
Kalyanpur,2026-06-18,136353.5186576026,128973.75211265762,7379.766544944985,5.412230368235909,37,37,False
Kalyanpur,2026-06-19,133471.84842729656,126282.72139283545,7189.127034461111,5.386249699221856,37,37,False
Kalyanpur,2026-06-20,139604.2956686311,131952.42533814092,7651.870330490172,5.481113810890804,37,37,False
Kalyanpur,2026-06-21,137878.86090686743,130208.70982757332,7670.151079294112,5.56296377040353,37,37,False
Kalyanpur,2026-06-22,135546.78899711053,128053.97198813036,7492.8170089801715,5.527845450577141,37,37,False
Kalyanpur,2026-06-23,137914.87723723636,130140.78432332697,7774.092913909393,5.636877666603488,37,37,False
Kalyanpur,2026-06-24,136684.23782415845,128816.92384437444,7867.313979784012,5.7558311806992375,37,37,False
Kalyanpur,2026-06-25,137785.0087245656,130151.93174908994,7633.0769754756475,5.539845768514838,37,37,False
Kalyanpur,2026-06-26,138114.41795992616,130268.69969493372,7845.718264992436,5.680593221823422,37,37,False
Kalyanpur,2026-06-27,141325.58157751698,131862.95320135358,9462.628376163397,6.695623163576477,37,37,False
Kalyanpur,2026-06-28,139965.87460429946,132149.35271761278,7816.521886686678,5.58459117894625,37,37,False
Kalyanpur,2026-06-29,138000.0,129954.09546564936,8045.904534350644,5.830365604601916,37,37,False
Kalyanpur,2026-06-30,133556.28936044028,125520.83736839838,8035.451992041897,6.016528334622944,37,37,False
Kalyanpur,2026-07-01,133458.031254374,125387.74639905553,8070.284855318459,6.047058224571226,37,37,False
Kalyanpur,2026-07-02,133405.5263938596,125405.11493489664,8000.411458962946,5.99706149754467,37,37,False
Kalyanpur,2026-07-03,133301.23000595925,125548.7281848482,7752.501821111058,5.81577665919848,37,37,False
Kalyanpur,2026-07-04,133260.5593790247,125336.53702593138,7924.022353093314,5.946262262456449,37,37,False
Kalyanpur,2026-07-05,133295.4588488346,125299.61409071463,7995.844758119958,5.998587519165036,37,37,False
Kalyanpur,2026-07-06,133315.011494508,125507.06844083824,7807.943053669776,5.856762090135235,37,37,False
Kalyanpur,2026-07-07,133415.7381586025,125603.0189249168,7812.719233685697,5.855920254623979,37,37,False
Kalyanpur,2026-07-08,133567.57274270555,126028.35611472507,7539.216627980481,5.644496244985642,37,37,False
Kalyanpur,2026-07-09,133821.72931287644,126458.40375556868,7363.325557307762,5.502339265166898,37,37,False
Kalyanpur,2026-07-10,133914.59014067345,126552.6499243007,7361.94021637275,5.497489264343222,37,37,False
Kalyanpur,2026-07-11,134107.91191879244,126780.35688610424,7327.555032688193,5.463924482789139,37,37,False
Kalyanpur,2026-07-12,134203.09806311698,126810.38701635336,7392.711046763623,5.508599394096522,37,37,False
Kalyanpur,2026-07-13,134337.85607120892,126933.95248561006,7403.903585598862,5.511405200388378,37,37,False
