substation,date,peak_baseline_kw,peak_post_kw,peak_reduction_kw,peak_reduction_pct,peak_slot_baseline,peak_slot_post,peak_shifted_not_shaved
Dhanmondi,2026-06-14,130694.56571717608,113071.70243687664,17622.86328029944,13.484006150979097,25,25,False
Dhanmondi,2026-06-15,134335.52852773466,111104.57246654751,23230.956061187142,17.293233082706728,25,27,False
Dhanmondi,2026-06-16,135385.09087507753,134537.74559907502,847.3452760025102,0.6258778352369482,25,25,False
Dhanmondi,2026-06-17,134065.6524697076,110548.88884308725,23516.763626620348,17.54122938530733,25,28,False
Dhanmondi,2026-06-18,134223.2876955151,114453.96625198968,19769.321443525405,14.72868217054258,25,24,False
Dhanmondi,2026-06-19,128931.74364621702,127876.8409741679,1054.9026720491092,0.8181869276069944,25,25,False
Dhanmondi,2026-06-20,138330.12871495145,132773.4380439421,5556.690671009361,4.0169778793885875,25,25,False
Dhanmondi,2026-06-21,137990.04168565053,108838.51230920744,29151.529376443097,21.12582112472435,25,37,False
Dhanmondi,2026-06-22,132267.66275261078,114833.80349476873,17433.85925784205,13.180741910023606,25,24,False
Dhanmondi,2026-06-23,136972.24379221734,129857.59782165774,7114.645970559606,5.1942245914816905,25,25,False
Dhanmondi,2026-06-24,133954.62035960588,111628.85029967158,22325.770059934293,16.666666666666654,25,24,False
Dhanmondi,2026-06-25,137278.3631810545,113538.49586403012,23739.867317024386,17.29323308270671,25,24,False
Dhanmondi,2026-06-26,137010.49594206555,136379.70867999675,630.7872620687995,0.4603933864567032,25,25,False
Dhanmondi,2026-06-27,138435.46695672898,122978.69406485616,15456.772891872824,11.16532723272727,25,24,False
Dhanmondi,2026-06-28,138082.82101750217,110970.43260441883,27112.388413083332,19.63487435533114,25,37,False
Dhanmondi,2026-06-29,136500.0,110000.00000000006,26499.99999999994,19.413919413919373,25,30,False
Dhanmondi,2026-06-30,128189.70493522986,105124.16117531904,23065.543759910826,17.99328875245099,25,37,False
Dhanmondi,2026-07-01,128015.44983476424,102745.1249438121,25270.324890952135,19.740058659770966,25,37,False
Dhanmondi,2026-07-02,127950.65125648752,102631.6752296665,25318.97602682101,19.78807905875137,25,37,False
Dhanmondi,2026-07-03,127761.1714654769,110125.54292074246,17635.62854473444,13.803590200720622,25,37,False
Dhanmondi,2026-07-04,127694.05077764914,104879.51053129684,22814.540246352306,17.86656473611192,25,37,False
Dhanmondi,2026-07-05,127792.49605455186,102874.17659346185,24918.31946109001,19.499047463986397,25,37,False
Dhanmondi,2026-07-06,127898.2698308008,102801.89847045275,25096.371360348043,19.622135149715895,25,37,False
Dhanmondi,2026-07-07,128110.5560498098,102928.6438807305,25181.91216907931,19.65639128073763,25,37,False
Dhanmondi,2026-07-08,128421.8813226704,103196.04861892918,25225.83270374121,19.642939695268332,25,37,False
Dhanmondi,2026-07-09,128846.91193434598,103415.03813941806,25431.873794927917,19.73805457432053,25,37,False
Dhanmondi,2026-07-10,128965.59447352529,105599.1158574914,23366.478616033884,18.118381659405042,25,27,False
Dhanmondi,2026-07-11,129363.64213050746,103686.88557474418,25676.756555763277,19.84851085891621,25,37,False
