substation,date,peak_baseline_kw,peak_post_kw,peak_reduction_kw,peak_reduction_pct,peak_slot_baseline,peak_slot_post,peak_shifted_not_shaved
Dhanmondi,2026-06-14,130694.56571717608,129875.120094962,819.445622214087,0.6269928804747497,25,25,False
Dhanmondi,2026-06-15,134335.52852773466,130055.43104323743,4280.0974844972225,3.186124721736262,25,25,False
Dhanmondi,2026-06-16,135385.09087507753,132805.42231268503,2579.6685623925005,1.905430314164217,25,25,False
Dhanmondi,2026-06-17,134065.6524697076,131140.17259285005,2925.479876857542,2.1821248194190233,25,25,False
Dhanmondi,2026-06-18,134223.2876955151,133611.18961263687,612.0980828782194,0.4560297198700431,25,25,False
Dhanmondi,2026-06-19,128931.74364621702,128291.84103078414,639.9026154328749,0.4963111467636234,25,25,False
Dhanmondi,2026-06-20,138330.12871495145,137062.28889716836,1267.8398177830968,0.9165319439524688,25,25,False
Dhanmondi,2026-06-21,137990.04168565053,136977.91621201168,1012.125473638851,0.7334771852193019,25,25,False
Dhanmondi,2026-06-22,132267.66275261078,127930.6067374742,4337.056015136579,3.278999511202122,25,25,False
Dhanmondi,2026-06-23,136972.24379221734,135766.6468346906,1205.5969575267518,0.8801761029450647,25,25,False
Dhanmondi,2026-06-24,133954.62035960588,131000.2033969017,2954.41696270417,2.2055356916938993,25,25,False
Dhanmondi,2026-06-25,137278.3631810545,135581.7360059797,1696.6271750747983,1.235902829666712,25,25,False
Dhanmondi,2026-06-26,137010.49594206555,136361.02889649672,649.467045568832,0.474027220398835,25,25,False
Dhanmondi,2026-06-27,138435.46695672898,137666.21367811176,769.2532786172233,0.5556764429867312,25,25,False
Dhanmondi,2026-06-28,138082.82101750217,136953.4110136748,1129.410003827361,0.8179221683805307,25,25,False
Dhanmondi,2026-06-29,136500.0,132990.5925507032,3509.407449296792,2.5709944683492982,25,25,False
Dhanmondi,2026-06-30,128189.70493522986,127200.4809557838,989.223979446062,0.7716875391404365,25,25,False
Dhanmondi,2026-07-01,128015.44983476424,126979.238499749,1036.2113350152358,0.8094424042978595,25,25,False
Dhanmondi,2026-07-02,127950.65125648752,126798.73049256226,1151.9207639252563,0.900285190120789,25,25,False
Dhanmondi,2026-07-03,127761.1714654769,125357.6558661211,2403.5155993558,1.8812567009103138,25,25,False
Dhanmondi,2026-07-04,127694.05077764914,126744.23152457408,949.8192530750675,0.7438242011203537,25,25,False
Dhanmondi,2026-07-05,127792.49605455186,124628.09908685504,3164.3969676968118,2.476199358643092,25,25,False
Dhanmondi,2026-07-06,127898.2698308008,126185.69105035983,1712.5787804409629,1.3390163781781943,25,25,False
Dhanmondi,2026-07-07,128110.5560498098,125804.6339960235,2305.9220537863002,1.7999469558853138,25,25,False
Dhanmondi,2026-07-08,128421.8813226704,126328.63360736032,2093.247715310077,1.6299774569184378,25,25,False
Dhanmondi,2026-07-09,128846.91193434598,127535.63680626333,1311.2751280826487,1.0177000817456998,25,25,False
Dhanmondi,2026-07-10,128965.59447352529,124732.1360541248,4233.458419400486,3.2826262203362706,25,25,False
Dhanmondi,2026-07-11,129363.64213050746,127248.73232827504,2114.909802232418,1.6348564151423692,25,25,False
