substation,date,peak_baseline_kw,peak_post_kw,peak_reduction_kw,peak_reduction_pct,peak_slot_baseline,peak_slot_post,peak_shifted_not_shaved
Dhanmondi,2026-06-14,130694.56571717608,130694.56571717608,0.0,0.0,25,25,False
Dhanmondi,2026-06-15,134335.52852773466,134335.52852773466,0.0,0.0,25,25,False
Dhanmondi,2026-06-16,135385.09087507753,135385.09087507753,0.0,0.0,25,25,False
Dhanmondi,2026-06-17,134065.6524697076,134065.6524697076,0.0,0.0,25,25,False
Dhanmondi,2026-06-18,134223.2876955151,134223.2876955151,0.0,0.0,25,25,False
Dhanmondi,2026-06-19,128931.74364621702,128931.74364621702,0.0,0.0,25,25,False
Dhanmondi,2026-06-20,138330.12871495145,138330.12871495145,0.0,0.0,25,25,False
Dhanmondi,2026-06-21,137990.04168565053,137990.04168565053,0.0,0.0,25,25,False
Dhanmondi,2026-06-22,132267.66275261078,132267.66275261078,0.0,0.0,25,25,False
Dhanmondi,2026-06-23,136972.24379221734,136972.24379221734,0.0,0.0,25,25,False
Dhanmondi,2026-06-24,133954.62035960588,133954.62035960588,0.0,0.0,25,25,False
Dhanmondi,2026-06-25,137278.3631810545,137278.3631810545,0.0,0.0,25,25,False
Dhanmondi,2026-06-26,137010.49594206555,137010.49594206555,0.0,0.0,25,25,False
Dhanmondi,2026-06-27,138435.46695672898,138435.46695672898,0.0,0.0,25,25,False
Dhanmondi,2026-06-28,138082.82101750217,138082.82101750217,0.0,0.0,25,25,False
Dhanmondi,2026-06-29,136500.0,136500.0,0.0,0.0,25,25,False
Dhanmondi,2026-06-30,128189.70493522986,128189.70493522986,0.0,0.0,25,25,False
Dhanmondi,2026-07-01,128015.44983476424,126425.59916652484,1589.8506682393927,1.2419209324276799,25,25,False
Dhanmondi,2026-07-02,127950.65125648752,126348.37542889606,1602.275827591453,1.2522607832449093,25,25,False
Dhanmondi,2026-07-03,127761.1714654769,127761.1714654769,0.0,0.0,25,25,False
Dhanmondi,2026-07-04,127694.05077764914,127694.05077764914,0.0,0.0,25,25,False
