substation,category,kwh_per_connection_month,plausible_low,plausible_high,within_range,factor_off,connections,mean_bill_tk
Dhanmondi,Commercial,3906.6883686628976,300,8000,True,1.0,3947.7791781371907,64197.277822295204
Dhanmondi,Educational,4330.2409321365085,500,30000,True,1.0,1339.6682147589709,42222.08945762719
Dhanmondi,Government,3683.305372344098,500,20000,True,1.0,883.2568552705877,60750.50154516561
Dhanmondi,Hospital,31642.626582909186,5000,200000,True,1.0,186.94848817055632,305600.68410409463
Dhanmondi,Industrial,5236.782984398662,1000,50000,True,1.0,127.06692605194651,71169.25976096473
Dhanmondi,Residential,266.86611492931524,100,450,True,1.0,127328.16144682188,2541.0047052094233
Kalyanpur,Commercial,3495.1311411930456,300,8000,True,1.0,3183.0908317655144,57439.896001043795
Kalyanpur,Educational,4299.582067289568,500,30000,True,1.0,763.3200799420495,41892.49859441913
Kalyanpur,Government,4011.1912670795728,500,20000,True,1.0,491.666845053339,66038.33025545934
Kalyanpur,Hospital,31940.332045691182,5000,200000,True,1.0,62.701254159669595,308587.1302641804
Kalyanpur,Industrial,4942.386428265657,1000,50000,True,1.0,546.7397162311208,67105.3731934129
Kalyanpur,Residential,191.4369429557659,100,450,True,1.0,236831.48895911698,1739.7442623104064
