substation,category,kwh_per_connection_month,plausible_low,plausible_high,within_range,factor_off,connections,mean_bill_tk
Dhanmondi,Commercial,4000.846344725962,300,8000,True,1.0,3947.7791781371907,65715.85766024032
Dhanmondi,Educational,4429.6021462067565,500,30000,True,1.0,1339.6682147589709,43166.269394329705
Dhanmondi,Government,3750.8174681723135,500,20000,True,1.0,883.2568552705877,61839.33662668309
Dhanmondi,Hospital,32030.56070181298,5000,200000,True,1.0,186.94848817055632,309287.0280689778
Dhanmondi,Industrial,5272.492534179286,1000,50000,True,1.0,127.06692605194651,71646.57145810743
Dhanmondi,Residential,270.88901510216743,100,450,True,1.0,127328.16144682188,2593.276143004481
Kalyanpur,Commercial,3575.4314922392005,300,8000,True,1.0,3183.0908317655144,58734.980062716175
Kalyanpur,Educational,4392.6705542976815,500,30000,True,1.0,763.3200799420495,42777.071942213726
Kalyanpur,Government,4096.170236920347,500,20000,True,1.0,491.666845053339,67408.87108105134
Kalyanpur,Hospital,32332.310286134252,5000,200000,True,1.0,62.701254159669595,312311.9034939907
Kalyanpur,Industrial,4977.62103252893,1000,50000,True,1.0,546.7397162311208,67576.33653129794
Kalyanpur,Residential,193.90612919391273,100,450,True,1.0,236831.48895911698,1768.8839318762077
