substation,category,kwh_per_connection_month,plausible_low,plausible_high,within_range,factor_off,connections,mean_bill_tk
Dhanmondi,Commercial,4185.60374737911,300,8000,True,1.0,3528.933699870044,68704.43520648028
Dhanmondi,Educational,4716.879157856393,500,30000,True,1.0,1178.6226757857057,45943.54419753038
Dhanmondi,Government,3877.2342100015044,500,20000,True,1.0,802.1669568601163,63886.21833890425
Dhanmondi,Hospital,32703.570602527867,5000,200000,True,1.0,173.32898052918324,315680.5546505211
Dhanmondi,Industrial,5535.86270790428,1000,50000,True,1.0,115.82869586163048,75169.42888520256
Dhanmondi,Residential,267.8678505798202,100,450,True,1.0,121860.37384850386,2575.348868289401
Kalyanpur,Commercial,3767.1188694520947,300,8000,True,1.0,2845.228977924288,61853.6133471116
Kalyanpur,Educational,4888.893577004998,500,30000,True,1.0,644.1544803297821,47537.16121548999
Kalyanpur,Government,3674.10392527021,500,20000,True,1.0,520.1446066889106,60540.360606757946
Kalyanpur,Hospital,35643.25671264841,5000,200000,True,1.0,54.26807695745534,343658.67191194155
Kalyanpur,Industrial,4323.236588646392,1000,50000,True,1.0,605.5581382139187,58753.906862142016
Kalyanpur,Residential,202.76527794601887,100,450,True,1.0,216332.7081211862,1894.7810422104033
