substation,category,kwh_per_connection_month,plausible_low,plausible_high,within_range,factor_off,connections,mean_bill_tk
Dhanmondi,Commercial,4280.846374038929,300,8000,True,1.0,3528.933699870044,70240.50828924983
Dhanmondi,Educational,4818.978998722817,500,30000,True,1.0,1178.6226757857057,46913.74793536355
Dhanmondi,Government,3949.099360307687,500,20000,True,1.0,802.1669568601163,65045.25948304238
Dhanmondi,Hospital,33109.39219746219,5000,200000,True,1.0,173.32898052918324,319536.8743563844
Dhanmondi,Industrial,5567.054994209541,1000,50000,True,1.0,115.82869586163048,75586.36058010184
Dhanmondi,Residential,271.5930684573317,100,450,True,1.0,121860.37384850386,2625.0366072939205
Kalyanpur,Commercial,3849.9504330025193,300,8000,True,1.0,2845.228977924288,63189.52080405288
Kalyanpur,Educational,5000.419410529255,500,30000,True,1.0,644.1544803297821,48596.93544855424
Kalyanpur,Government,3739.4357534391806,500,20000,True,1.0,520.1446066889106,61594.0323314671
Kalyanpur,Hospital,36064.01957337674,5000,200000,True,1.0,54.26807695745534,347656.97099601245
Kalyanpur,Industrial,4350.545540943339,1000,50000,True,1.0,605.5581382139187,59118.93197301915
Kalyanpur,Residential,205.1534802101265,100,450,True,1.0,216332.7081211862,1925.5255893399603
