condition,rho,curtail_kwh,shift_kwh,rebate_paid_tk,avoided_cost_tk,budget_balance_tk,participation_pct,peak_red_Dhanmondi_pct,peak_red_Kalyanpur_pct,pct_gained_unweighted,pct_gained_lambda,pct_participants_gained_unweighted,pct_participants_gained_lambda
base,0,1135705.6088365626,135290.07277879186,0.0,-7923105.434029831,-7923105.434029831,13.493923312393296,3.14656632520784,7.226071216491688,0.9345112934947344,11.972238020945486,6.925423183904166,88.72318112220009
base,3,1324212.4292246036,135290.07277879186,2060948.9527002247,-9051859.42692769,-11112808.379627915,18.51116036656924,3.14656632520784,7.4430732488073685,2.999043117612416,17.698788720737785,16.20127025115414,95.61144936490001
base,6,1484208.447898225,135290.07277879186,5081874.01744218,-9894624.136264682,-14976498.153706862,23.220777445990816,3.14656632520784,7.392480607079367,6.603711485450053,22.18236606747941,28.43880443197744,95.528093833522
base,9,1619749.0994334193,135290.07277879186,8842676.889980018,-10566145.874927128,-19408822.764907144,27.062982526862665,3.14656632520784,7.421799093462719,13.51411204843687,26.52001711493048,49.93578233671321,97.99369706796642
base,12,1708544.77561065,135290.07277879186,12855783.967433456,-11050805.53075434,-23906589.498187795,30.489440510525327,3.14656632520784,7.445025915082479,22.652945103690648,30.244300513981337,74.29767396312366,99.19598394578817
base,15,1818641.8733934923,135290.07277879186,17721186.426034458,-11678946.507305771,-29400132.93334023,33.59859178767144,3.14656632520784,7.3912153027423155,28.95579720410909,33.447165767069755,86.18157983256323,99.5493084306669
scarcity,0,1135881.7816862469,432927.42189395335,0.0,53339736.33536173,53339736.33536173,13.493923312393296,3.0577561108020825,7.221478864707617,0.6853123580944093,11.505157510321578,5.078673875854876,85.26176741907844
scarcity,3,1324396.7130323686,525635.2666182712,2061196.9116926016,63389452.45779915,61328255.54610655,18.51116036656924,3.0289680561453505,7.140920314295267,1.858479482773225,17.219707566352906,10.039778414591446,93.02338278831688
scarcity,6,1484392.45916169,576419.7471856108,5082368.300161133,70661605.83929606,65579237.53913493,23.220777445990816,3.006977159697819,7.102819326872893,3.969072980036235,21.6924298564063,17.09276525847551,93.41818940757132
scarcity,9,1619848.62717079,625770.5322637061,8842657.962323599,77097490.99750374,68254833.03518015,27.062982526862665,2.987931524176013,7.063451225649694,9.140829177328916,24.87522545111172,33.77613375856023,91.91605332642335
scarcity,12,1708642.643947241,658792.3477669077,12855738.817748874,81256261.17550007,68400522.35775119,30.489440510525327,2.974761858187378,7.037437388875948,19.13571990940633,29.2741375614506,62.76179421134488,96.0140201698513
scarcity,15,1818740.3971960857,694716.0142588015,17721139.82091876,86465225.57333168,68744085.75241292,33.59859178767144,2.963079822633797,7.0065192285170745,25.19501342767692,32.729116829028804,74.98830185175171,97.41216844998345
