entity_id,kind,substation,date,value,present,degree,e_sh_kwh,e_cu_kwh,chi,pool,w,phi1,phi2,phi3,phi4
DHNC0001-A00,ap,Dhanmondi,2026-06-30,"{""aID"": ""DHNC0001-A00"", ""hID"": ""DHNC0001"", ""class"": ""critical"", ""appliance"": ""refrigerator"", ""n"": 2, ""p_rat_kw"": 0.15, ""x_star"": 0.0, ""y_star"": 0.0}",1,3,0.0,0.0,0.55,PH,0.0001608234158893535,1.0,0.0,0.0,0.0
DHNC0001-A01,ap,Dhanmondi,2026-06-30,"{""aID"": ""DHNC0001-A01"", ""hID"": ""DHNC0001"", ""class"": ""critical"", ""appliance"": ""router_and_standby"", ""n"": 2, ""p_rat_kw"": 0.035, ""x_star"": 0.0, ""y_star"": 0.0}",1,3,0.0,0.0,0.55,PH,0.0001608234158893535,1.0,0.0,0.0,0.0
DHNC0001-A02,ap,Dhanmondi,2026-06-30,"{""aID"": ""DHNC0001-A02"", ""hID"": ""DHNC0001"", ""class"": ""shiftable"", ""appliance"": ""washing_machine"", ""n"": 1, ""p_rat_kw"": 0.5, ""x_star"": 0.0, ""y_star"": 0.0}",1,3,0.0,0.0,0.55,PH,0.0001608234158893535,1.0,0.0,0.0,0.0
DHNC0001-A03,ap,Dhanmondi,2026-06-30,"{""aID"": ""DHNC0001-A03"", ""hID"": ""DHNC0001"", ""class"": ""shiftable"", ""appliance"": ""electric_iron"", ""n"": 1, ""p_rat_kw"": 1.0, ""x_star"": 0.0, ""y_star"": 0.0}",1,3,0.0,0.0,0.55,PH,0.0001608234158893535,1.0,0.0,0.0,0.0
DHNC0001-A04,ap,Dhanmondi,2026-06-30,"{""aID"": ""DHNC0001-A04"", ""hID"": ""DHNC0001"", ""class"": ""shiftable"", ""appliance"": ""water_pump"", ""n"": 1, ""p_rat_kw"": 0.75, ""x_star"": 0.0, ""y_star"": 0.0}",1,3,0.0,0.0,0.55,PH,0.0001608234158893535,1.0,0.0,0.0,0.0
DHNC0001-A05,ap,Dhanmondi,2026-06-30,"{""aID"": ""DHNC0001-A05"", ""hID"": ""DHNC0001"", ""class"": ""shiftable"", ""appliance"": ""rice_cooker"", ""n"": 1, ""p_rat_kw"": 0.7, ""x_star"": 0.0, ""y_star"": 0.0}",1,3,0.0,0.0,0.55,PH,0.0001608234158893535,1.0,0.0,0.0,0.0
DHNC0001-A06,ap,Dhanmondi,2026-06-30,"{""aID"": ""DHNC0001-A06"", ""hID"": ""DHNC0001"", ""class"": ""curtailable"", ""appliance"": ""split_ac_1_5ton"", ""n"": 3, ""p_rat_kw"": 1.65, ""x_star"": 0.0, ""y_star"": 0.336160097220683}",1,3,0.0,1560.447172056982,0.5519340031278251,PH,0.0001608234158893535,1.0,0.007736012511300555,0.0,0.0
DHNC0001-A07,ap,Dhanmondi,2026-06-30,"{""aID"": ""DHNC0001-A07"", ""hID"": ""DHNC0001"", ""class"": ""curtailable"", ""appliance"": ""ceiling_fan"", ""n"": 3, ""p_rat_kw"": 0.075, ""x_star"": 0.0, ""y_star"": 0.336160097220683}",1,3,0.0,70.92941691168102,0.550087909233083,PH,0.0001608234158893535,1.0,0.0003516369323318435,0.0,0.0
DHNC0001-A08,ap,Dhanmondi,2026-06-30,"{""aID"": ""DHNC0001-A08"", ""hID"": ""DHNC0001"", ""class"": ""curtailable"", ""appliance"": ""lighting"", ""n"": 10, ""p_rat_kw"": 0.018, ""x_star"": 0.0, ""y_star"": 0.336160097220683}",1,3,0.0,56.743533529344816,0.5500703273864664,PH,0.0001608234158893535,1.0,0.0002813095458654748,0.0,0.0
DHNC0001-A09,ap,Dhanmondi,2026-06-30,"{""aID"": ""DHNC0001-A09"", ""hID"": ""DHNC0001"", ""class"": ""curtailable"", ""appliance"": ""television"", ""n"": 2, ""p_rat_kw"": 0.095, ""x_star"": 0.0, ""y_star"": 0.336160097220683}",1,3,0.0,59.89595205875286,0.5500742344634924,PH,0.0001608234158893535,1.0,0.0002969378539691123,0.0,0.0
