entity_id,kind,substation,date,value,present,degree,e_sh_kwh,e_cu_kwh,chi,pool,w,flex_potential,phi1,phi2,phi3,phi4
DHNC0001-A00,ap,Dhanmondi,2026-07-07,"{""aID"": ""DHNC0001-A00"", ""hID"": ""DHNC0001"", ""class"": ""critical"", ""appliance"": ""refrigerator"", ""n"": 2, ""p_rat_kw"": 0.15, ""x_star"": 0.0, ""y_star"": 0.0}",1,3,0.0,0.0,0.20224438902743144,PL,0.00016,0.11399999999999999,0.007481296758104738,0.0,1.0,0.0
DHNC0001-A01,ap,Dhanmondi,2026-07-07,"{""aID"": ""DHNC0001-A01"", ""hID"": ""DHNC0001"", ""class"": ""critical"", ""appliance"": ""router_and_standby"", ""n"": 2, ""p_rat_kw"": 0.035, ""x_star"": 0.0, ""y_star"": 0.0}",1,3,0.0,0.0,0.20224438902743144,PL,0.00016,0.0665,0.007481296758104738,0.0,1.0,0.0
DHNC0001-A02,ap,Dhanmondi,2026-07-07,"{""aID"": ""DHNC0001-A02"", ""hID"": ""DHNC0001"", ""class"": ""shiftable"", ""appliance"": ""washing_machine"", ""n"": 1, ""p_rat_kw"": 0.5, ""x_star"": 0.0, ""y_star"": 0.0}",1,3,0.0,0.0,0.20224438902743144,PL,0.00016,0.425,0.007481296758104738,0.0,1.0,0.0
DHNC0001-A03,ap,Dhanmondi,2026-07-07,"{""aID"": ""DHNC0001-A03"", ""hID"": ""DHNC0001"", ""class"": ""shiftable"", ""appliance"": ""electric_iron"", ""n"": 1, ""p_rat_kw"": 1.0, ""x_star"": 0.0, ""y_star"": 0.0}",1,3,0.0,0.0,0.20224438902743144,PL,0.00016,0.55,0.007481296758104738,0.0,1.0,0.0
DHNC0001-A04,ap,Dhanmondi,2026-07-07,"{""aID"": ""DHNC0001-A04"", ""hID"": ""DHNC0001"", ""class"": ""shiftable"", ""appliance"": ""water_pump"", ""n"": 1, ""p_rat_kw"": 0.75, ""x_star"": 0.0, ""y_star"": 0.0}",1,3,0.0,0.0,0.20224438902743144,PL,0.00016,0.7124999999999999,0.007481296758104738,0.0,1.0,0.0
DHNC0001-A05,ap,Dhanmondi,2026-07-07,"{""aID"": ""DHNC0001-A05"", ""hID"": ""DHNC0001"", ""class"": ""shiftable"", ""appliance"": ""rice_cooker"", ""n"": 1, ""p_rat_kw"": 0.7, ""x_star"": 0.0, ""y_star"": 0.0}",1,3,0.0,0.0,0.20224438902743144,PL,0.00016,0.42,0.007481296758104738,0.0,1.0,0.0
DHNC0001-A06,ap,Dhanmondi,2026-07-07,"{""aID"": ""DHNC0001-A06"", ""hID"": ""DHNC0001"", ""class"": ""curtailable"", ""appliance"": ""split_ac_1_5ton"", ""n"": 3, ""p_rat_kw"": 1.65, ""x_star"": 0.0, ""y_star"": 0.336160097220683}",1,3,0.0,1864.34604834487,0.4005088761813393,PH,0.00016,3.0689999999999995,0.007481296758104738,0.6608816238463595,1.0,0.0
DHNC0001-A07,ap,Dhanmondi,2026-07-07,"{""aID"": ""DHNC0001-A07"", ""hID"": ""DHNC0001"", ""class"": ""curtailable"", ""appliance"": ""ceiling_fan"", ""n"": 6, ""p_rat_kw"": 0.075, ""x_star"": 0.0, ""y_star"": 0.336160097220683}",1,3,0.0,169.48600439498819,0.22026843331415033,PH,0.00016,0.36,0.007481296758104738,0.06008014762239632,1.0,0.0
DHNC0001-A08,ap,Dhanmondi,2026-07-07,"{""aID"": ""DHNC0001-A08"", ""hID"": ""DHNC0001"", ""class"": ""curtailable"", ""appliance"": ""lighting"", ""n"": 13, ""p_rat_kw"": 0.018, ""x_star"": 0.0, ""y_star"": 0.336160097220683}",1,3,0.0,88.13272228539387,0.21161689205652526,PH,0.00016,0.21059999999999998,0.007481296758104738,0.03124167676364609,1.0,0.0
DHNC0001-A09,ap,Dhanmondi,2026-07-07,"{""aID"": ""DHNC0001-A09"", ""hID"": ""DHNC0001"", ""class"": ""curtailable"", ""appliance"": ""television"", ""n"": 1, ""p_rat_kw"": 0.095, ""x_star"": 0.0, ""y_star"": 0.336160097220683}",1,3,0.0,35.780378705608626,0.20604946504351654,PM,0.00016,0.08075,0.007481296758104738,0.012683586720283671,1.0,0.0
DHNC0001-M,mt,Dhanmondi,2026-07-07,"{""mID"": ""DHNC0001-M"", ""iID"": ""Dhanmondi"", ""N_ap"": 10, ""hID"": ""DHNC0001"", ""archetype"": ""Res-A"", ""w_h"": 597.3547737671756}",1,12,0.0,2157.7451537308607,0.41312156166413583,PH,0.00192,0.0,0.029925187032418952,0.6804800185147005,1.0,0.0
