event_id,timestamp,date,substation,trigger,regime,regime_name,stress_indicator,forecast_peak_kw,robust_peak_kw,p_str_kw,p_max_kw,deficit_kw,kappa,actual_peak_kw,n_affected_consumers,energy_shifted_kwh,energy_curtailed_kwh,energy_reduction_kwh,reserve_shortfall_kwh,unserved_kwh,transfer_out_kwh,cost_impact_tk,pi_min_tk_per_kwh,pi_max_tk_per_kwh,n_threshold_records,regime_triggers,beta_weights
EV-DHN-2026-06-30-demand_response,2026-06-30T00:00:00,30-06-26,Dhanmondi,demand_response,1,nominal,0,125690,145719.781,151000,200000,0,1.067544183,131313.3413,227,3856.186233,195363.7517,195363.7517,0,0,0,17603289.82,8.39,8.39,4665,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-30-regime_stress,2026-06-30T00:00:00,30-06-26,Kalyanpur,regime_stress,2,stressed,1,127750,139438.6533,129000,160000,0,1.010425024,121134.2918,215,13113.35666,188598.723,188598.723,0,0,0,17123810.72,8.39,8.39,4473,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-06-30-demand_response,2026-06-30T00:00:00,30-06-26,Kalyanpur,demand_response,2,stressed,1,127750,139438.6533,129000,160000,0,1.010425024,121134.2918,215,13113.35666,188598.723,188598.723,0,0,0,17123810.72,8.39,8.39,4473,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-DHN-2026-07-01-regime_stress,2026-07-01T00:00:00,01-07-26,Dhanmondi,regime_stress,2,stressed,1,135320,156642.8789,151000,200000,0,1.147566879,130538.7326,251,2602.726927,208374.9175,208374.9175,0,0,0,18864203.58,8.39,8.39,5338,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-DHN-2026-07-01-demand_response,2026-07-01T00:00:00,01-07-26,Dhanmondi,demand_response,2,stressed,1,135320,156642.8789,151000,200000,0,1.147566879,130538.7326,251,2602.726927,208374.9175,208374.9175,0,0,0,18864203.58,8.39,8.39,5338,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-07-01-regime_stress,2026-07-01T00:00:00,01-07-26,Kalyanpur,regime_stress,2,stressed,1,123160,137830.4257,129000,160000,0,0.998771201,119362.5785,214,13283.33609,187055.5912,187055.5912,0,0,0,16984068.5,8.39,8.39,4372,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-07-01-demand_response,2026-07-01T00:00:00,01-07-26,Kalyanpur,demand_response,2,stressed,1,123160,137830.4257,129000,160000,0,0.998771201,119362.5785,214,13283.33609,187055.5912,187055.5912,0,0,0,16984068.5,8.39,8.39,4372,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-DHN-2026-07-02-regime_stress,2026-07-02T00:00:00,02-07-26,Dhanmondi,regime_stress,2,stressed,1,134320,155642.8789,151000,200000,0,1.140240871,130536.829,250,2604.178505,207929.2974,207929.2974,0,0,0,18738744.42,8.39,8.39,5309,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-DHN-2026-07-02-demand_response,2026-07-02T00:00:00,02-07-26,Dhanmondi,demand_response,2,stressed,1,134320,155642.8789,151000,200000,0,1.140240871,130536.829,250,2604.178505,207929.2974,207929.2974,0,0,0,18738744.42,8.39,8.39,5309,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-07-02-regime_stress,2026-07-02T00:00:00,02-07-26,Kalyanpur,regime_stress,2,stressed,1,119060,133730.4257,129000,160000,0,0.969061056,119377.1084,212,14655.45205,183958.3067,183958.3067,0,0,0,16497016.03,8.39,8.39,4300,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-07-02-demand_response,2026-07-02T00:00:00,02-07-26,Kalyanpur,demand_response,2,stressed,1,119060,133730.4257,129000,160000,0,0.969061056,119377.1084,212,14655.45205,183958.3067,183958.3067,0,0,0,16497016.03,8.39,8.39,4300,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
