event_id,timestamp,date,substation,trigger,regime,regime_name,stress_indicator,forecast_peak_kw,robust_peak_kw,p_str_kw,p_max_kw,deficit_kw,kappa,actual_peak_kw,n_affected_consumers,energy_shifted_kwh,energy_curtailed_kwh,energy_reduction_kwh,reserve_shortfall_kwh,unserved_kwh,transfer_out_kwh,cost_impact_tk,pi_min_tk_per_kwh,pi_max_tk_per_kwh,n_threshold_records,regime_triggers,beta_weights
EV-DHN-2026-06-14-demand_response,2026-06-14T00:00:00,2026-06-14,Dhanmondi,demand_response,1,nominal,0,128600.0,128600.0,151000.0,200000.0,0.0,0.9421245421245421,126008.16286805186,201,2075.9268305015635,191295.99627115607,191295.99627115607,0.0,0.0,0.0,15767560.22148385,8.39,8.39,4340,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-14-demand_response,2026-06-14T00:00:00,2026-06-14,Kalyanpur,demand_response,1,nominal,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,125604.41341692649,154,2677.561510149662,162962.6091522296,162962.6091522296,0.0,0.0,0.0,15841445.923573654,8.39,8.39,3575,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-15-demand_response,2026-06-15T00:00:00,2026-06-15,Dhanmondi,demand_response,1,nominal,0,133000.0,133000.0,151000.0,200000.0,0.0,0.9743589743589743,132750.50229096765,206,1872.8950942947754,198380.68740824837,198380.68740824837,0.0,0.0,0.0,16614822.908714663,8.39,8.39,4528,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-15-demand_response,2026-06-15T00:00:00,2026-06-15,Kalyanpur,demand_response,1,nominal,0,123000.0,123000.0,129000.0,160000.0,0.0,0.8913043478260869,130151.2730965174,153,2817.2382555760437,163901.64918280535,163901.64918280535,0.0,0.0,0.0,15740730.176378189,8.39,8.39,3487,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-16-demand_response,2026-06-16T00:00:00,2026-06-16,Dhanmondi,demand_response,1,nominal,0,106000.0,106000.0,151000.0,200000.0,0.0,0.7765567765567766,129523.59362848372,189,2494.066562701604,177274.53491966135,177274.53491966135,0.0,0.0,0.0,13287581.829680745,8.39,8.39,3904,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-16-demand_response,2026-06-16T00:00:00,2026-06-16,Kalyanpur,demand_response,1,nominal,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,127096.90852612152,154,2677.0813371493323,164475.33982492905,164475.33982492905,0.0,0.0,0.0,16017123.702918498,8.39,8.39,3597,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-17-demand_response,2026-06-17T00:00:00,2026-06-17,Dhanmondi,demand_response,1,nominal,0,133400.0,133400.0,151000.0,200000.0,0.0,0.9772893772893773,130638.76329474158,206,1749.5459984009744,199268.56022198434,199268.56022198434,0.0,0.0,0.0,16721579.669655528,8.39,8.39,4512,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-17-regime_stress,2026-06-17T00:00:00,2026-06-17,Kalyanpur,regime_stress,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,128432.74110808116,180,2389.878380151919,187796.31458396104,187796.31458396104,0.0,0.0,0.0,16379011.14093573,8.39,8.39,4194,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-06-17-demand_response,2026-06-17T00:00:00,2026-06-17,Kalyanpur,demand_response,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,128432.74110808116,180,2389.878380151919,187796.31458396104,187796.31458396104,0.0,0.0,0.0,16379011.14093573,8.39,8.39,4194,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-DHN-2026-06-18-demand_response,2026-06-18T00:00:00,2026-06-18,Dhanmondi,demand_response,1,nominal,0,129000.0,129000.0,151000.0,200000.0,0.0,0.945054945054945,132406.84037210248,201,1948.5676468954312,193495.15682665736,193495.15682665736,0.0,0.0,0.0,16050393.504542235,8.39,8.39,4367,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-18-demand_response,2026-06-18T00:00:00,2026-06-18,Kalyanpur,demand_response,1,nominal,0,120000.0,120000.0,129000.0,160000.0,0.0,0.8695652173913043,129626.79581500142,152,2848.68693450824,161381.31897590894,161381.31897590894,0.0,0.0,0.0,15287560.178389696,8.39,8.39,3446,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-19-demand_response,2026-06-19T00:00:00,2026-06-19,Dhanmondi,demand_response,1,nominal,0,90000.0,90000.0,151000.0,200000.0,0.0,0.6593406593406593,131145.0308008019,179,3037.722774281823,161136.564511679,161136.564511679,0.0,0.0,0.0,11090700.401280291,8.39,8.39,3675,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-19-demand_response,2026-06-19T00:00:00,2026-06-19,Kalyanpur,demand_response,1,nominal,0,117000.0,117000.0,129000.0,160000.0,0.0,0.8478260869565217,126145.49712733572,149,3264.06528623987,152618.99660479685,152618.99660479685,0.0,0.0,0.0,14648629.225665225,8.39,8.39,3368,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-20-demand_response,2026-06-20T00:00:00,2026-06-20,Dhanmondi,demand_response,1,nominal,0,112000.0,112000.0,151000.0,200000.0,0.0,0.8205128205128205,136245.16405576497,192,2243.1936235997,186634.57699049683,186634.57699049683,0.0,0.0,0.0,14370300.926893571,8.39,8.39,3984,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-20-regime_stress,2026-06-20T00:00:00,2026-06-20,Kalyanpur,regime_stress,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,131255.0696433299,181,2381.6448069402527,191454.85387242204,191454.85387242204,0.0,0.0,0.0,16577048.911750596,8.39,8.39,4282,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-06-20-demand_response,2026-06-20T00:00:00,2026-06-20,Kalyanpur,demand_response,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,131255.0696433299,181,2381.6448069402527,191454.85387242204,191454.85387242204,0.0,0.0,0.0,16577048.911750596,8.39,8.39,4282,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-DHN-2026-06-21-demand_response,2026-06-21T00:00:00,2026-06-21,Dhanmondi,demand_response,1,nominal,0,140400.0,140400.0,151000.0,200000.0,0.0,1.0285714285714285,134121.58618632218,211,1551.804393625518,201439.96976147316,201439.96976147316,0.0,0.0,0.0,17609981.325678,8.39,8.39,4528,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-21-demand_response,2026-06-21T00:00:00,2026-06-21,Kalyanpur,demand_response,1,nominal,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,127361.41821705946,154,2672.9528492530803,166427.94953122942,166427.94953122942,0.0,0.0,0.0,16168397.161297671,8.39,8.39,3566,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-22-demand_response,2026-06-22T00:00:00,2026-06-22,Dhanmondi,demand_response,1,nominal,0,126700.0,126700.0,151000.0,200000.0,0.0,0.9282051282051282,131858.4567197712,201,2118.9805217584344,190905.1754449253,190905.1754449253,0.0,0.0,0.0,15678877.325638346,8.39,8.39,4351,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-22-demand_response,2026-06-22T00:00:00,2026-06-22,Kalyanpur,demand_response,1,nominal,0,123000.0,123000.0,129000.0,160000.0,0.0,0.8913043478260869,128799.92618092484,153,2817.2382555760437,161812.33807522972,161812.33807522972,0.0,0.0,0.0,15580781.659200678,8.39,8.39,3495,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-23-demand_response,2026-06-23T00:00:00,2026-06-23,Dhanmondi,demand_response,1,nominal,0,110500.0,110500.0,151000.0,200000.0,0.0,0.8095238095238095,133836.60524541567,191,2243.1936235997,183318.17831734478,183318.17831734478,0.0,0.0,0.0,14010316.538420592,8.39,8.39,3915,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
