event_id,timestamp,date,substation,trigger,regime,regime_name,stress_indicator,forecast_peak_kw,robust_peak_kw,p_str_kw,p_max_kw,deficit_kw,kappa,actual_peak_kw,n_affected_consumers,energy_shifted_kwh,energy_curtailed_kwh,energy_reduction_kwh,reserve_shortfall_kwh,unserved_kwh,transfer_out_kwh,cost_impact_tk,pi_min_tk_per_kwh,pi_max_tk_per_kwh,n_threshold_records,regime_triggers,beta_weights
EV-DHN-2026-07-07-regime_stress,2026-07-07T00:00:00,2026-07-07,Dhanmondi,regime_stress,2,stressed,1,126680.0,156151.17752710413,151000.0,200000.0,0.0,1.1439646705282354,124878.52931285804,247,0.0,207264.68512958655,207264.68512958655,0.0,0.0,0.0,18960279.114761166,8.39,8.39,5726,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-DHN-2026-07-07-demand_response,2026-07-07T00:00:00,2026-07-07,Dhanmondi,demand_response,2,stressed,1,126680.0,156151.17752710413,151000.0,200000.0,0.0,1.1439646705282354,124878.52931285804,247,0.0,207264.68512958655,207264.68512958655,0.0,0.0,0.0,18960279.114761166,8.39,8.39,5726,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-07-07-regime_stress,2026-07-07T00:00:00,2026-07-07,Kalyanpur,regime_stress,2,stressed,1,114590.0,131752.83172272978,129000.0,160000.0,0.0,0.9547306646574621,122188.2628822374,196,1591.3478045529976,191064.10351000217,191064.10351000217,0.0,0.0,0.0,16010439.79024082,8.39,8.39,4598,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-07-07-demand_response,2026-07-07T00:00:00,2026-07-07,Kalyanpur,demand_response,2,stressed,1,114590.0,131752.83172272978,129000.0,160000.0,0.0,0.9547306646574621,122188.2628822374,196,1591.3478045529976,191064.10351000217,191064.10351000217,0.0,0.0,0.0,16010439.79024082,8.39,8.39,4598,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-DHN-2026-07-08-regime_stress,2026-07-08T00:00:00,2026-07-08,Dhanmondi,regime_stress,2,stressed,1,133180.0,162651.17752710413,151000.0,200000.0,0.0,1.191583718147283,125190.04952849635,252,0.0,209989.0639992925,209989.0639992925,0.0,0.0,0.0,19787928.6063872,8.39,8.39,5746,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-DHN-2026-07-08-demand_response,2026-07-08T00:00:00,2026-07-08,Dhanmondi,demand_response,2,stressed,1,133180.0,162651.17752710413,151000.0,200000.0,0.0,1.191583718147283,125190.04952849635,252,0.0,209989.0639992925,209989.0639992925,0.0,0.0,0.0,19787928.6063872,8.39,8.39,5746,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-07-08-demand_response,2026-07-08T00:00:00,2026-07-08,Kalyanpur,demand_response,1,nominal,0,111440.0,128602.83172272977,129000.0,160000.0,0.0,0.9319045777009404,126570.63284225056,168,1973.14029399902,172158.74435807098,172158.74435807098,0.0,0.0,0.0,15841906.63437096,8.39,8.39,3902,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-07-09-regime_stress,2026-07-09T00:00:00,2026-07-09,Dhanmondi,regime_stress,2,stressed,1,129960.00000000001,159431.17752710413,151000.0,200000.0,0.0,1.1679939745575394,124539.97162749892,251,0.0,210119.33411463653,210119.33411463653,0.0,0.0,0.0,19388751.10085256,8.39,8.39,5702,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-DHN-2026-07-09-demand_response,2026-07-09T00:00:00,2026-07-09,Dhanmondi,demand_response,2,stressed,1,129960.00000000001,159431.17752710413,151000.0,200000.0,0.0,1.1679939745575394,124539.97162749892,251,0.0,210119.33411463653,210119.33411463653,0.0,0.0,0.0,19388751.10085256,8.39,8.39,5702,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-07-09-demand_response,2026-07-09T00:00:00,2026-07-09,Kalyanpur,demand_response,1,nominal,0,108790.0,125952.83172272977,129000.0,160000.0,0.0,0.9127016791502157,126991.30865391024,162,2032.9736350709952,168354.3670329777,168354.3670329777,0.0,0.0,0.0,15554363.686823698,8.39,8.39,3754,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-07-10-demand_response,2026-07-10T00:00:00,2026-07-10,Dhanmondi,demand_response,1,nominal,0,100580.0,134340.2856822441,151000.0,200000.0,0.0,0.9841779170860374,127975.64761068903,216,0.0,191110.27457869367,191110.27457869367,0.0,0.0,0.0,16507360.820809135,8.39,8.39,4767,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-07-10-demand_response,2026-07-10T00:00:00,2026-07-10,Kalyanpur,demand_response,1,nominal,0,105790.0,123259.36361742363,129000.0,160000.0,0.0,0.8931837943291567,126552.6499243007,161,2090.4480022822227,167159.8099238346,167159.8099238346,0.0,0.0,0.0,15235156.149021933,8.39,8.39,3699,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-07-11-regime_stress,2026-07-11T00:00:00,2026-07-11,Dhanmondi,regime_stress,2,stressed,1,113590.0,152227.66114425703,151000.0,200000.0,0.0,1.1152209607637877,125198.3279377616,244,0.0,206585.04428722282,206585.04428722282,0.0,0.0,0.0,18535807.999986656,8.39,8.39,5532,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
