event_id,timestamp,date,substation,trigger,regime,regime_name,stress_indicator,forecast_peak_kw,robust_peak_kw,p_str_kw,p_max_kw,deficit_kw,kappa,actual_peak_kw,n_affected_consumers,energy_shifted_kwh,energy_curtailed_kwh,energy_reduction_kwh,reserve_shortfall_kwh,unserved_kwh,transfer_out_kwh,cost_impact_tk,pi_min_tk_per_kwh,pi_max_tk_per_kwh,n_threshold_records,regime_triggers,beta_weights
EV-DHN-2026-06-14-demand_response,2026-06-14T00:00:00,2026-06-14,Dhanmondi,demand_response,1,nominal,0,128600.0,128600.0,151000.0,200000.0,0.0,0.9421245421245421,127165.85808100576,202,0.0,49576.794243265176,49576.794243265176,0.0,0.0,0.0,16875052.29103352,8.39,8.39,824,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-14-demand_response,2026-06-14T00:00:00,2026-06-14,Kalyanpur,demand_response,1,nominal,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,124390.92641846467,162,4509.6690926263955,48970.70958128753,48970.70958128753,0.0,0.0,0.0,16472771.776357297,8.39,8.39,987,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-15-demand_response,2026-06-15T00:00:00,2026-06-15,Dhanmondi,demand_response,1,nominal,0,133000.0,133000.0,151000.0,200000.0,0.0,0.9743589743589743,129409.80242325204,202,0.0,51574.13912447898,51574.13912447898,0.0,0.0,0.0,17384068.991771024,8.39,8.39,824,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-15-demand_response,2026-06-15T00:00:00,2026-06-15,Kalyanpur,demand_response,1,nominal,0,123000.0,123000.0,129000.0,160000.0,0.0,0.8913043478260869,126669.36424028828,160,4509.6690926263955,49631.24793813686,49631.24793813686,0.0,0.0,0.0,16171394.608533638,8.39,8.39,971,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-16-demand_response,2026-06-16T00:00:00,2026-06-16,Dhanmondi,demand_response,1,nominal,0,106000.0,106000.0,151000.0,200000.0,0.0,0.7765567765567766,128776.04921224822,174,0.0,46277.625249857156,46277.625249857156,0.0,0.0,0.0,13680592.937501028,8.39,8.39,719,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-16-demand_response,2026-06-16T00:00:00,2026-06-16,Kalyanpur,demand_response,1,nominal,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,127631.37480575804,162,4509.6690926263955,49364.01225443658,49364.01225443658,0.0,0.0,0.0,16519563.837950127,8.39,8.39,981,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-17-demand_response,2026-06-17T00:00:00,2026-06-17,Dhanmondi,demand_response,1,nominal,0,133400.0,133400.0,151000.0,200000.0,0.0,0.9772893772893773,129793.26946614675,203,0.0,51788.00791865511,51788.00791865511,0.0,0.0,0.0,17542577.047408935,8.39,8.39,829,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-17-regime_stress,2026-06-17T00:00:00,2026-06-17,Kalyanpur,regime_stress,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,126706.46028156944,189,4509.6690926263955,55015.22336256809,55015.22336256809,0.0,0.0,0.0,16941466.40575383,8.39,8.39,1129,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-06-17-demand_response,2026-06-17T00:00:00,2026-06-17,Kalyanpur,demand_response,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,126706.46028156944,189,4509.6690926263955,55015.22336256809,55015.22336256809,0.0,0.0,0.0,16941466.40575383,8.39,8.39,1129,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-DHN-2026-06-18-demand_response,2026-06-18T00:00:00,2026-06-18,Dhanmondi,demand_response,1,nominal,0,129000.0,129000.0,151000.0,200000.0,0.0,0.945054945054945,128715.06367572732,198,0.0,51394.102208475146,51394.102208475146,0.0,0.0,0.0,16757041.81655542,8.39,8.39,815,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
