event_id,timestamp,date,substation,trigger,regime,regime_name,stress_indicator,forecast_peak_kw,robust_peak_kw,p_str_kw,p_max_kw,deficit_kw,kappa,actual_peak_kw,n_affected_consumers,energy_shifted_kwh,energy_curtailed_kwh,energy_reduction_kwh,reserve_shortfall_kwh,unserved_kwh,transfer_out_kwh,cost_impact_tk,pi_min_tk_per_kwh,pi_max_tk_per_kwh,n_threshold_records,regime_triggers,beta_weights
EV-DHN-2026-06-14-demand_response,2026-06-14T00:00:00,2026-06-14,Dhanmondi,demand_response,1,nominal,0,128600.0,128600.0,151000.0,200000.0,0.0,0.9421245421245421,127165.85808100576,54,0.0,15428.221509567824,15428.221509567824,0.0,0.0,0.0,17156967.142987244,8.39,8.39,228,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-14-demand_response,2026-06-14T00:00:00,2026-06-14,Kalyanpur,demand_response,1,nominal,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,124390.92641846467,88,4509.6690926263955,21760.917578711757,21760.917578711757,0.0,0.0,0.0,16685827.68877999,8.39,8.39,508,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-15-demand_response,2026-06-15T00:00:00,2026-06-15,Dhanmondi,demand_response,1,nominal,0,133000.0,133000.0,151000.0,200000.0,0.0,0.9743589743589743,129409.80242325204,55,0.0,16580.73025496024,16580.73025496024,0.0,0.0,0.0,17674744.850817263,8.39,8.39,232,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-15-demand_response,2026-06-15T00:00:00,2026-06-15,Kalyanpur,demand_response,1,nominal,0,123000.0,123000.0,129000.0,160000.0,0.0,0.8913043478260869,126669.36424028828,88,4509.6690926263955,22333.01454318926,22333.01454318926,0.0,0.0,0.0,16377087.69766817,8.39,8.39,504,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-16-demand_response,2026-06-16T00:00:00,2026-06-16,Dhanmondi,demand_response,1,nominal,0,106000.0,106000.0,151000.0,200000.0,0.0,0.7765567765567766,128776.04921224822,54,0.0,16262.577592835196,16262.577592835196,0.0,0.0,0.0,13877760.751997871,8.39,8.39,228,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-16-demand_response,2026-06-16T00:00:00,2026-06-16,Kalyanpur,demand_response,1,nominal,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,127631.37480575804,88,4509.6690926263955,22029.409450301584,22029.409450301584,0.0,0.0,0.0,16731405.040558107,8.39,8.39,504,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-17-demand_response,2026-06-17T00:00:00,2026-06-17,Dhanmondi,demand_response,1,nominal,0,133400.0,133400.0,151000.0,200000.0,0.0,0.9772893772893773,129793.26946614675,55,0.0,16528.752946935536,16528.752946935536,0.0,0.0,0.0,17836933.38833596,8.39,8.39,232,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-17-regime_stress,2026-06-17T00:00:00,2026-06-17,Kalyanpur,regime_stress,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,126706.46028156944,131,4509.6690926263955,41940.37773273713,41940.37773273713,0.0,0.0,0.0,17044541.234517563,8.39,8.39,813,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-06-17-demand_response,2026-06-17T00:00:00,2026-06-17,Kalyanpur,demand_response,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,126706.46028156944,131,4509.6690926263955,41940.37773273713,41940.37773273713,0.0,0.0,0.0,17044541.234517563,8.39,8.39,813,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-DHN-2026-06-18-demand_response,2026-06-18T00:00:00,2026-06-18,Dhanmondi,demand_response,1,nominal,0,129000.0,129000.0,151000.0,200000.0,0.0,0.945054945054945,128715.06367572732,55,0.0,16563.40412261056,16563.40412261056,0.0,0.0,0.0,17037899.285423484,8.39,8.39,232,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-18-demand_response,2026-06-18T00:00:00,2026-06-18,Kalyanpur,demand_response,1,nominal,0,120000.0,120000.0,129000.0,160000.0,0.0,0.8695652173913043,126517.18921822234,88,4509.6690926263955,22070.789707885775,22070.789707885775,0.0,0.0,0.0,15949823.42736949,8.39,8.39,503,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-19-demand_response,2026-06-19T00:00:00,2026-06-19,Dhanmondi,demand_response,1,nominal,0,90000.0,90000.0,151000.0,200000.0,0.0,0.6593406593406593,125393.60546846624,52,0.0,14521.020606896685,14521.020606896685,0.0,0.0,0.0,12028398.67054123,8.39,8.39,222,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-19-demand_response,2026-06-19T00:00:00,2026-06-19,Kalyanpur,demand_response,1,nominal,0,117000.0,117000.0,129000.0,160000.0,0.0,0.8478260869565217,123460.38754420774,88,4509.6690926263955,21215.387698202627,21215.387698202627,0.0,0.0,0.0,15505286.65615054,8.39,8.39,503,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-20-demand_response,2026-06-20T00:00:00,2026-06-20,Dhanmondi,demand_response,1,nominal,0,112000.0,112000.0,151000.0,200000.0,0.0,0.8205128205128205,132461.96013518417,56,0.0,18124.394148558316,18124.394148558316,0.0,0.0,0.0,14712949.026728377,8.39,8.39,236,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-20-regime_stress,2026-06-20T00:00:00,2026-06-20,Kalyanpur,regime_stress,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,130533.07582321177,131,4509.6690926263955,42844.910451655756,42844.910451655756,0.0,0.0,0.0,16953225.906418245,8.39,8.39,813,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-06-20-demand_response,2026-06-20T00:00:00,2026-06-20,Kalyanpur,demand_response,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,130533.07582321177,131,4509.6690926263955,42844.910451655756,42844.910451655756,0.0,0.0,0.0,16953225.906418245,8.39,8.39,813,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-DHN-2026-06-21-demand_response,2026-06-21T00:00:00,2026-06-21,Dhanmondi,demand_response,1,nominal,0,140400.0,140400.0,151000.0,200000.0,0.0,1.0285714285714285,130473.19702472078,56,0.0,18090.982414447484,18090.982414447484,0.0,0.0,0.0,18251932.226445902,8.39,8.39,236,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-21-demand_response,2026-06-21T00:00:00,2026-06-21,Kalyanpur,demand_response,1,nominal,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,129686.79062894566,88,4509.6690926263955,22429.72911787092,22429.72911787092,0.0,0.0,0.0,16728644.788315928,8.39,8.39,504,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-22-demand_response,2026-06-22T00:00:00,2026-06-22,Dhanmondi,demand_response,1,nominal,0,126700.0,126700.0,151000.0,200000.0,0.0,0.9282051282051282,127785.21444325717,54,0.0,15707.678372527622,15707.678372527622,0.0,0.0,0.0,16857518.50646984,8.39,8.39,228,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-22-demand_response,2026-06-22T00:00:00,2026-06-22,Kalyanpur,demand_response,1,nominal,0,123000.0,123000.0,129000.0,160000.0,0.0,0.8913043478260869,125289.5465734956,88,4509.6690926263955,21877.903089047082,21877.903089047082,0.0,0.0,0.0,16343038.053047182,8.39,8.39,504,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-23-demand_response,2026-06-23T00:00:00,2026-06-23,Dhanmondi,demand_response,1,nominal,0,110500.0,110500.0,151000.0,200000.0,0.0,0.8095238095238095,130514.7100107805,56,0.0,17946.56176269335,17946.56176269335,0.0,0.0,0.0,14518656.474433666,8.39,8.39,236,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-23-regime_stress,2026-06-23T00:00:00,2026-06-23,Kalyanpur,regime_stress,2,stressed,1,132000.0,132000.0,129000.0,160000.0,0.0,0.9565217391304348,129061.99234520136,131,4509.6690926263955,42061.42020900505,42061.42020900505,0.0,0.0,0.0,17418329.052805554,8.39,8.39,813,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
