event_id,timestamp,date,substation,trigger,regime,regime_name,stress_indicator,forecast_peak_kw,robust_peak_kw,p_str_kw,p_max_kw,deficit_kw,kappa,actual_peak_kw,n_affected_consumers,energy_shifted_kwh,energy_curtailed_kwh,energy_reduction_kwh,reserve_shortfall_kwh,unserved_kwh,transfer_out_kwh,cost_impact_tk,pi_min_tk_per_kwh,pi_max_tk_per_kwh,n_threshold_records,regime_triggers,beta_weights
EV-DHN-2026-06-14-demand_response,2026-06-14T00:00:00,2026-06-14,Dhanmondi,demand_response,1,nominal,0,128600.0,128600.0,151000.0,200000.0,0.0,0.9421245421245421,126493.7242134321,76,0.0,74457.59116415067,74457.59116415067,0.0,0.0,0.0,16669647.917763175,8.39,8.39,1623,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-14-demand_response,2026-06-14T00:00:00,2026-06-14,Kalyanpur,demand_response,1,nominal,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,128000.01038474204,88,3394.8576018620192,74929.32245453371,74929.32245453371,0.0,0.0,0.0,16269512.745549075,8.39,8.39,1470,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-15-demand_response,2026-06-15T00:00:00,2026-06-15,Dhanmondi,demand_response,1,nominal,0,133000.0,133000.0,151000.0,200000.0,0.0,0.9743589743589743,130791.00515289136,77,0.0,77447.03973947714,77447.03973947714,0.0,0.0,0.0,17169153.44466542,8.39,8.39,1664,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-15-demand_response,2026-06-15T00:00:00,2026-06-15,Kalyanpur,demand_response,1,nominal,0,123000.0,123000.0,129000.0,160000.0,0.0,0.8913043478260869,130545.4529516234,88,3383.4312029848243,76502.43950652608,76502.43950652608,0.0,0.0,0.0,15968919.293649314,8.39,8.39,1430,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-16-demand_response,2026-06-16T00:00:00,2026-06-16,Dhanmondi,demand_response,1,nominal,0,106000.0,106000.0,151000.0,200000.0,0.0,0.7765567765567766,135092.67082612167,76,0.0,75536.95759556867,75536.95759556867,0.0,0.0,0.0,13488389.390861277,8.39,8.39,1675,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-16-demand_response,2026-06-16T00:00:00,2026-06-16,Kalyanpur,demand_response,1,nominal,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,132013.99359109876,88,3382.8527063474507,75777.10419633618,75777.10419633618,0.0,0.0,0.0,16314864.278140873,8.39,8.39,1462,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-17-demand_response,2026-06-17T00:00:00,2026-06-17,Dhanmondi,demand_response,1,nominal,0,133400.0,133400.0,151000.0,200000.0,0.0,0.9772893772893773,132569.0179199606,77,0.0,77843.78095557948,77843.78095557948,0.0,0.0,0.0,17325054.526943717,8.39,8.39,1703,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-17-regime_stress,2026-06-17T00:00:00,2026-06-17,Kalyanpur,regime_stress,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,133040.14913805315,96,2878.401804878031,95719.08339881488,95719.08339881488,0.0,0.0,0.0,16620579.75653124,8.39,8.39,1723,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-06-17-demand_response,2026-06-17T00:00:00,2026-06-17,Kalyanpur,demand_response,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,133040.14913805315,96,2878.401804878031,95719.08339881488,95719.08339881488,0.0,0.0,0.0,16620579.75653124,8.39,8.39,1723,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-DHN-2026-06-18-demand_response,2026-06-18T00:00:00,2026-06-18,Dhanmondi,demand_response,1,nominal,0,129000.0,129000.0,151000.0,200000.0,0.0,0.945054945054945,130672.50973538694,77,0.0,76780.50114778758,76780.50114778758,0.0,0.0,0.0,16552338.490420718,8.39,8.39,1663,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
