event_id,timestamp,date,substation,trigger,regime,regime_name,stress_indicator,forecast_peak_kw,robust_peak_kw,p_str_kw,p_max_kw,deficit_kw,kappa,actual_peak_kw,n_affected_consumers,energy_shifted_kwh,energy_curtailed_kwh,energy_reduction_kwh,reserve_shortfall_kwh,unserved_kwh,transfer_out_kwh,cost_impact_tk,pi_min_tk_per_kwh,pi_max_tk_per_kwh,n_threshold_records,regime_triggers,beta_weights
EV-KLN-2026-06-14-demand_response,2026-06-14T00:00:00,2026-06-14,Kalyanpur,demand_response,1,nominal,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,132442.71173472988,52,4509.6690926263955,0.0,0.0,0.0,0.0,0.0,16856218.26543153,8.39,8.39,160,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-15-demand_response,2026-06-15T00:00:00,2026-06-15,Kalyanpur,demand_response,1,nominal,0,123000.0,123000.0,129000.0,160000.0,0.0,0.8913043478260869,134389.5396657209,52,4509.6690926263955,0.0,0.0,0.0,0.0,0.0,16545367.698963976,8.39,8.39,160,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-16-demand_response,2026-06-16T00:00:00,2026-06-16,Kalyanpur,demand_response,1,nominal,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,133839.7005144955,52,4509.6690926263955,0.0,0.0,0.0,0.0,0.0,16902131.37684823,8.39,8.39,160,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-17-regime_stress,2026-06-17T00:00:00,2026-06-17,Kalyanpur,regime_stress,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,125386.0722632814,189,1695.121528510218,193266.08135075262,193266.08135075262,0.0,0.0,0.0,15851573.345673742,8.39,8.39,4380,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-06-17-demand_response,2026-06-17T00:00:00,2026-06-17,Kalyanpur,demand_response,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,125386.0722632814,189,1695.121528510218,193266.08135075262,193266.08135075262,0.0,0.0,0.0,15851573.345673742,8.39,8.39,4380,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-06-18-demand_response,2026-06-18T00:00:00,2026-06-18,Kalyanpur,demand_response,1,nominal,0,120000.0,120000.0,129000.0,160000.0,0.0,0.8695652173913043,133786.7899571123,52,4509.6690926263955,0.0,0.0,0.0,0.0,0.0,16112788.573385987,8.39,8.39,160,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-19-demand_response,2026-06-19T00:00:00,2026-06-19,Kalyanpur,demand_response,1,nominal,0,117000.0,117000.0,129000.0,160000.0,0.0,0.8478260869565217,130905.1197268062,52,4509.6690926263955,0.0,0.0,0.0,0.0,0.0,15661317.019643487,8.39,8.39,160,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-20-regime_stress,2026-06-20T00:00:00,2026-06-20,Kalyanpur,regime_stress,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,131922.5585525451,188,1687.408518094934,195166.76219431814,195166.76219431814,0.0,0.0,0.0,15772320.52976052,8.39,8.39,4300,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-06-20-demand_response,2026-06-20T00:00:00,2026-06-20,Kalyanpur,demand_response,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,131922.5585525451,188,1687.408518094934,195166.76219431814,195166.76219431814,0.0,0.0,0.0,15772320.52976052,8.39,8.39,4300,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-06-21-demand_response,2026-06-21T00:00:00,2026-06-21,Kalyanpur,demand_response,1,nominal,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,135312.13220637717,52,4509.6690926263955,0.0,0.0,0.0,0.0,0.0,16900617.226177033,8.39,8.39,160,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-22-demand_response,2026-06-22T00:00:00,2026-06-22,Kalyanpur,demand_response,1,nominal,0,123000.0,123000.0,129000.0,160000.0,0.0,0.8913043478260869,132980.06029662015,52,4509.6690926263955,0.0,0.0,0.0,0.0,0.0,16509602.969987305,8.39,8.39,160,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-23-regime_stress,2026-06-23T00:00:00,2026-06-23,Kalyanpur,regime_stress,2,stressed,1,132000.0,132000.0,129000.0,160000.0,0.0,0.9565217391304348,127022.80512241062,190,1691.0846370778086,194552.99556109143,194552.99556109143,0.0,0.0,0.0,16193795.679365177,8.39,8.39,4397,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-06-23-demand_response,2026-06-23T00:00:00,2026-06-23,Kalyanpur,demand_response,2,stressed,1,132000.0,132000.0,129000.0,160000.0,0.0,0.9565217391304348,127022.80512241062,190,1691.0846370778086,194552.99556109143,194552.99556109143,0.0,0.0,0.0,16193795.679365177,8.39,8.39,4397,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-06-24-regime_stress,2026-06-24T00:00:00,2026-06-24,Kalyanpur,regime_stress,2,stressed,1,132000.0,132000.0,129000.0,160000.0,0.0,0.9565217391304348,124953.8962714582,190,1549.7994601790367,192480.3358079459,192480.3358079459,0.0,0.0,0.0,16188202.498987114,8.39,8.39,4403,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-06-24-demand_response,2026-06-24T00:00:00,2026-06-24,Kalyanpur,demand_response,2,stressed,1,132000.0,132000.0,129000.0,160000.0,0.0,0.9565217391304348,124953.8962714582,190,1549.7994601790367,192480.3358079459,192480.3358079459,0.0,0.0,0.0,16188202.498987114,8.39,8.39,4403,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-06-25-demand_response,2026-06-25T00:00:00,2026-06-25,Kalyanpur,demand_response,1,nominal,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,135218.2800240752,52,4509.6690926263955,0.0,0.0,0.0,0.0,0.0,16936099.423537996,8.39,8.39,160,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-26-regime_stress,2026-06-26T00:00:00,2026-06-26,Kalyanpur,regime_stress,2,stressed,1,135000.0,135000.0,129000.0,160000.0,0.0,0.9782608695652174,130484.97427534092,191,1544.6808970216905,196222.42353655197,196222.42353655197,0.0,0.0,0.0,16561397.3724198,8.39,8.39,4379,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-06-26-demand_response,2026-06-26T00:00:00,2026-06-26,Kalyanpur,demand_response,2,stressed,1,135000.0,135000.0,129000.0,160000.0,0.0,0.9782608695652174,130484.97427534092,191,1544.6808970216905,196222.42353655197,196222.42353655197,0.0,0.0,0.0,16561397.3724198,8.39,8.39,4379,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-06-27-regime_stress,2026-06-27T00:00:00,2026-06-27,Kalyanpur,regime_stress,2,stressed,1,135000.0,135000.0,129000.0,160000.0,0.0,0.9782608695652174,133199.81014579194,190,1679.2128590799903,200017.33019826724,200017.33019826724,0.0,0.0,0.0,16539894.182600183,8.39,8.39,4366,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-06-27-demand_response,2026-06-27T00:00:00,2026-06-27,Kalyanpur,demand_response,2,stressed,1,135000.0,135000.0,129000.0,160000.0,0.0,0.9782608695652174,133199.81014579194,190,1679.2128590799903,200017.33019826724,200017.33019826724,0.0,0.0,0.0,16539894.182600183,8.39,8.39,4366,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
