horizon_k,target_date,in_dispatch_horizon,p_hat_kw,sigma_kw,sigma_raw_kw,z_beta,uncertainty_margin_kw,uncertainty_margin_pct,p_tilde_kw,p_str_kw,s_stress,p_max_kw,deficit_kw,p_ref_kw,kappa_scale,kappa_scale_cool_wet,kappa_scale_hot_dry,s_cool_wet,s_hot_dry,weather_source,holiday_type
1,2026-06-30,True,125690.0,12176.158636497987,12176.158636497987,1.645,20029.780957039187,15.935858824917803,145719.78095703918,151000.0,0,200000.0,0.0,136500.0,1.067544182835452,1.0718665271577963,1.0631485784398476,0,0,climatology,No Holiday
2,2026-07-01,True,135320.0,12962.23642470598,12962.23642470598,1.645,21322.878918641338,15.757374311736132,156642.87891864133,151000.0,1,200000.0,0.0,136500.0,1.147566878524845,1.1547463657043322,1.1404606514186177,1,1,climatology,No Holiday
3,2026-07-02,True,134320.0,12962.23642470598,9676.56269517981,1.645,21322.878918641338,15.874686508815765,155642.87891864133,151000.0,1,200000.0,0.0,136500.0,1.1402408711988377,1.1520357429937094,1.1272005781585446,1,1,climatology,No Holiday
4,2026-07-03,False,104490.0,14058.06927655407,14058.06927655407,1.645,23125.523959931445,22.131805876094788,127615.52395993145,151000.0,0,200000.0,0.0,136500.0,0.9349122634427213,0.9450954136258715,0.9255349740654318,0,0,climatology,No Holiday
5,2026-07-04,False,117840.0,16074.477168867536,16074.477168867536,1.645,26442.514942787097,22.439337188380087,144282.5149427871,151000.0,0,200000.0,0.0,136500.0,1.0570147614856198,1.074084358555217,1.0404579849288431,0,0,climatology,No Holiday
6,2026-07-05,False,137620.0,16074.477168867536,12126.012362793623,1.645,26442.514942787097,19.214151244577163,164062.5149427871,151000.0,1,200000.0,0.0,136500.0,1.2019231863940447,1.2178206222914805,1.185366409837268,1,1,climatology,No Holiday
7,2026-07-06,False,131560.0,17915.609438969066,17915.609438969066,1.645,29471.177527104115,22.40132071078148,161031.17752710413,151000.0,1,200000.0,0.0,136500.0,1.179715586279151,1.2014738280373929,1.1561991027626677,1,1,api,No Holiday
8,2026-07-07,False,126680.0,17915.609438969066,17300.98464409921,1.645,29471.177527104115,23.26427022979485,156151.17752710413,151000.0,1,200000.0,0.0,136500.0,1.1439646705282354,1.1474078939714587,1.0932686998322647,1,0,api,No Holiday
9,2026-07-08,False,133180.0,17915.609438969066,15438.389881694131,1.645,29471.177527104115,22.12883130132461,162651.17752710413,151000.0,1,200000.0,0.0,136500.0,1.191583718147283,1.2125360990996639,1.1644774910410556,1,1,api,No Holiday
10,2026-07-09,False,129960.00000000001,17915.609438969066,14893.779181205458,1.645,29471.177527104115,22.677114132890203,159431.17752710413,151000.0,1,200000.0,0.0,136500.0,1.1679939745575394,1.2153932419568068,1.152536099099664,1,1,api,No Holiday
11,2026-07-10,False,100580.0,20522.970019601282,20522.970019601282,1.645,33760.28568224411,33.565605172245085,134340.2856822441,151000.0,0,200000.0,0.0,136500.0,0.9841779170860374,1.0235185764266967,0.9869617998699202,0,0,api,No Holiday
12,2026-07-11,False,113590.0,23487.93990532342,23487.93990532342,1.645,38637.66114425703,34.01501993507969,152227.66114425703,151000.0,1,200000.0,0.0,136500.0,1.1152209607637877,1.170605576148403,1.1125103380531651,1,1,api,No Holiday
13,2026-07-12,False,133580.0,23487.93990532342,18845.482172935233,1.645,38637.66114425703,28.924735098260985,172217.66114425703,151000.0,1,200000.0,0.0,136500.0,1.2616678472106742,1.3218876274304545,1.263499349042176,1,1,api,No Holiday
14,2026-07-13,False,127840.0,23487.93990532342,19409.377327824608,1.645,38637.66114425703,30.22345208405587,166477.66114425703,151000.0,1,200000.0,0.0,136500.0,1.2196165651593922,1.2891403746832018,1.2200561255989526,1,1,api,No Holiday
