horizon_k,target_date,in_dispatch_horizon,p_hat_kw,sigma_kw,sigma_raw_kw,z_beta,uncertainty_margin_kw,uncertainty_margin_pct,p_tilde_kw,p_str_kw,s_stress,p_max_kw,deficit_kw,p_ref_kw,kappa_scale,kappa_scale_cool_wet,kappa_scale_hot_dry,s_cool_wet,s_hot_dry,weather_source,holiday_type
1,2026-06-30,True,127750.0,7105.5643222271165,7105.5643222271165,1.645,11688.653310063606,9.149630771086972,139438.65331006362,129000.0,1,160000.0,0.0,138000.0,1.0104250239859682,1.0127438645656783,1.0079612558700262,1,1,climatology,No Holiday
2,2026-07-01,True,123160.0,8918.191939716009,8918.191939716009,1.645,14670.425740832836,11.911680530068882,137830.42574083284,129000.0,1,160000.0,0.0,138000.0,0.9987712010205279,1.0025393169625567,0.9950030850784989,1,1,climatology,No Holiday
3,2026-07-02,True,119060.0,8918.191939716009,7558.304602714838,1.645,14670.425740832836,12.321876147180275,133730.42574083284,129000.0,1,160000.0,0.0,138000.0,0.9690610560929916,0.9737712010205278,0.9643509111654553,1,1,climatology,No Holiday
4,2026-07-03,False,116370.0,8918.191939716009,8124.159216158287,1.645,14670.425740832836,12.606707691701327,131040.42574083284,129000.0,1,160000.0,0.0,138000.0,0.9495683024698032,0.9551480126147307,0.9439161285567598,1,1,climatology,No Holiday
5,2026-07-04,False,115950.0,10433.33235424302,10433.33235424302,1.645,17162.83172272977,14.80192472852934,133112.83172272978,129000.0,1,160000.0,0.0,138000.0,0.9645857371212303,0.9707451574110854,0.9583538530632593,1,1,climatology,No Holiday
6,2026-07-05,False,116130.0,10433.33235424302,7329.995932184166,1.645,17162.83172272977,14.778981936390053,133292.83172272978,129000.0,1,160000.0,0.0,138000.0,0.9658900849473172,0.9725567516139839,0.9590784907444188,1,1,climatology,No Holiday
7,2026-07-06,False,114950.0,10433.33235424302,7744.631239353451,1.645,17162.83172272977,14.930693103723158,132112.83172272978,129000.0,1,160000.0,0.0,138000.0,0.9573393603096361,0.9677741429183317,0.9528466066864477,1,1,api,No Holiday
8,2026-07-07,False,114590.0,10433.33235424302,8899.307104615755,1.645,17162.83172272977,14.977599897661026,131752.83172272978,129000.0,1,160000.0,0.0,138000.0,0.9547306646574621,0.9613973313241289,0.9457451574110852,1,1,api,No Holiday
9,2026-07-08,False,111440.0,10433.33235424302,10070.351306297734,1.645,17162.83172272977,15.400961703813504,128602.83172272977,129000.0,0,160000.0,0.0,138000.0,0.9319045777009404,0.9531364617589114,0.9371219690052882,1,1,api,No Holiday
10,2026-07-09,False,108790.0,10433.33235424302,9647.997465444188,1.645,17162.83172272977,15.77611152011193,125952.83172272977,129000.0,0,160000.0,0.0,138000.0,0.9127016791502157,0.9420495052371722,0.926035012483549,1,0,api,No Holiday
11,2026-07-10,False,105790.0,10619.673931564517,10619.673931564517,1.645,17469.36361742363,16.513246637133594,123259.36361742363,129000.0,0,160000.0,0.0,138000.0,0.8931837943291567,0.9361548088219104,0.9198504609958235,1,0,api,No Holiday
12,2026-07-11,False,107140.0,10619.673931564517,10466.137692773396,1.645,17469.36361742363,16.305174180906878,124609.36361742363,129000.0,0,160000.0,0.0,138000.0,0.9029664030248089,0.9428214754885771,0.9261548088219104,1,0,api,No Holiday
13,2026-07-12,False,107950.0,10619.673931564517,9795.17502015125,1.645,17469.36361742363,16.182828733139075,125419.36361742363,129000.0,0,160000.0,0.0,138000.0,0.9088359682422003,0.9502127798364032,0.9326040841842292,1,0,api,No Holiday
14,2026-07-13,False,108010.0,10619.673931564517,8544.372916421957,1.645,17469.36361742363,16.17383910510474,125479.36361742363,129000.0,0,160000.0,0.0,138000.0,0.9092707508508959,0.9511548088219104,0.9319519102711857,1,0,api,No Holiday
