appliance_id,household_id,name,cls,quantity,p_rat_kw,duty_cycle,schedule,thermal_response,id
DHNC0001-A00,DHNC0001,refrigerator,critical,2,0.15,0.38,flat_always_on,refrigeration,DHNC0001-A00
DHNC0001-A01,DHNC0001,router_and_standby,critical,2,0.035,0.95,flat_always_on,none,DHNC0001-A01
DHNC0001-A02,DHNC0001,washing_machine,shiftable,1,0.5,0.85,res_morning_evening_chore,none,DHNC0001-A02
DHNC0001-A03,DHNC0001,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0001-A03
DHNC0001-A04,DHNC0001,water_pump,shiftable,1,0.75,0.95,pump_offpeak_capable,none,DHNC0001-A04
DHNC0001-A05,DHNC0001,rice_cooker,shiftable,1,0.7,0.6,res_cooking,none,DHNC0001-A05
DHNC0001-A06,DHNC0001,split_ac_1_5ton,curtailable,3,1.65,0.62,res_ac_affluent,cooling_ac,DHNC0001-A06
DHNC0001-A07,DHNC0001,ceiling_fan,curtailable,3,0.075,0.8,res_fan,cooling_fan,DHNC0001-A07
DHNC0001-A08,DHNC0001,lighting,curtailable,10,0.018,0.9,res_evening_dominant,none,DHNC0001-A08
DHNC0001-A09,DHNC0001,television,curtailable,2,0.095,0.85,res_evening_dominant,none,DHNC0001-A09
DHNC0002-A00,DHNC0002,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0002-A00
DHNC0002-A01,DHNC0002,water_pump,shiftable,1,0.75,0.95,pump_offpeak_capable,none,DHNC0002-A01
DHNC0002-A02,DHNC0002,ceiling_fan,curtailable,2,0.075,0.8,res_fan,cooling_fan,DHNC0002-A02
DHNC0002-A03,DHNC0002,lighting,curtailable,5,0.018,0.9,res_evening_dominant,none,DHNC0002-A03
DHNC0002-A04,DHNC0002,television,curtailable,1,0.095,0.85,res_evening_dominant,none,DHNC0002-A04
DHNC0003-A00,DHNC0003,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0003-A00
DHNC0003-A01,DHNC0003,washing_machine,shiftable,1,0.5,0.85,res_morning_evening_chore,none,DHNC0003-A01
DHNC0003-A02,DHNC0003,water_pump,shiftable,1,0.75,0.95,pump_offpeak_capable,none,DHNC0003-A02
DHNC0003-A03,DHNC0003,rice_cooker,shiftable,1,0.7,0.6,res_cooking,none,DHNC0003-A03
DHNC0003-A04,DHNC0003,ceiling_fan,curtailable,4,0.075,0.8,res_fan,cooling_fan,DHNC0003-A04
DHNC0003-A05,DHNC0003,lighting,curtailable,5,0.018,0.9,res_evening_dominant,none,DHNC0003-A05
DHNC0004-A00,DHNC0004,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0004-A00
DHNC0004-A01,DHNC0004,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0004-A01
DHNC0004-A02,DHNC0004,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0004-A02
DHNC0004-A03,DHNC0004,rice_cooker,shiftable,1,0.7,0.6,res_cooking,none,DHNC0004-A03
DHNC0004-A04,DHNC0004,split_ac_1_5ton,curtailable,1,1.65,0.62,res_ac_modest,cooling_ac,DHNC0004-A04
DHNC0004-A05,DHNC0004,ceiling_fan,curtailable,2,0.075,0.8,res_fan,cooling_fan,DHNC0004-A05
DHNC0004-A06,DHNC0004,lighting,curtailable,6,0.018,0.9,res_evening_dominant,none,DHNC0004-A06
DHNC0004-A07,DHNC0004,television,curtailable,1,0.095,0.85,res_evening_dominant,none,DHNC0004-A07
DHNC0005-A00,DHNC0005,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0005-A00
DHNC0005-A01,DHNC0005,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0005-A01
DHNC0005-A02,DHNC0005,ceiling_fan,curtailable,4,0.075,0.8,res_fan,cooling_fan,DHNC0005-A02
DHNC0005-A03,DHNC0005,lighting,curtailable,6,0.018,0.9,res_evening_dominant,none,DHNC0005-A03
DHNC0005-A04,DHNC0005,television,curtailable,1,0.095,0.85,res_evening_dominant,none,DHNC0005-A04
DHNC0006-A00,DHNC0006,refrigerator,critical,2,0.15,0.38,flat_always_on,refrigeration,DHNC0006-A00
DHNC0006-A01,DHNC0006,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0006-A01
DHNC0006-A02,DHNC0006,washing_machine,shiftable,1,0.5,0.85,res_morning_evening_chore,none,DHNC0006-A02
DHNC0006-A03,DHNC0006,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0006-A03
DHNC0006-A04,DHNC0006,water_pump,shiftable,1,0.75,0.95,pump_offpeak_capable,none,DHNC0006-A04
DHNC0006-A05,DHNC0006,split_ac_1_5ton,curtailable,2,1.65,0.62,res_ac_affluent,cooling_ac,DHNC0006-A05
DHNC0006-A06,DHNC0006,ceiling_fan,curtailable,6,0.075,0.8,res_fan,cooling_fan,DHNC0006-A06
DHNC0006-A07,DHNC0006,lighting,curtailable,11,0.018,0.9,res_evening_dominant,none,DHNC0006-A07
DHNC0006-A08,DHNC0006,television,curtailable,2,0.095,0.85,res_evening_dominant,none,DHNC0006-A08
DHNC0007-A00,DHNC0007,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0007-A00
DHNC0007-A01,DHNC0007,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0007-A01
DHNC0007-A02,DHNC0007,medical_device_home,critical,1,0.12,0.3,flat_always_on,none,DHNC0007-A02
DHNC0007-A03,DHNC0007,washing_machine,shiftable,1,0.5,0.85,res_morning_evening_chore,none,DHNC0007-A03
DHNC0007-A04,DHNC0007,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0007-A04
DHNC0007-A05,DHNC0007,split_ac_1_5ton,curtailable,1,1.65,0.62,res_ac_affluent,cooling_ac,DHNC0007-A05
DHNC0007-A06,DHNC0007,ceiling_fan,curtailable,5,0.075,0.8,res_fan,cooling_fan,DHNC0007-A06
DHNC0007-A07,DHNC0007,lighting,curtailable,14,0.018,0.9,res_evening_dominant,none,DHNC0007-A07
DHNC0007-A08,DHNC0007,television,curtailable,1,0.095,0.85,res_evening_dominant,none,DHNC0007-A08
DHNC0008-A00,DHNC0008,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0008-A00
DHNC0008-A01,DHNC0008,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0008-A01
DHNC0008-A02,DHNC0008,medical_device_home,critical,1,0.12,0.3,flat_always_on,none,DHNC0008-A02
DHNC0008-A03,DHNC0008,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0008-A03
DHNC0008-A04,DHNC0008,water_pump,shiftable,1,0.75,0.95,pump_offpeak_capable,none,DHNC0008-A04
DHNC0008-A05,DHNC0008,split_ac_1_5ton,curtailable,1,1.65,0.62,res_ac_modest,cooling_ac,DHNC0008-A05
DHNC0008-A06,DHNC0008,ceiling_fan,curtailable,4,0.075,0.8,res_fan,cooling_fan,DHNC0008-A06
DHNC0008-A07,DHNC0008,lighting,curtailable,5,0.018,0.9,res_evening_dominant,none,DHNC0008-A07
DHNC0008-A08,DHNC0008,television,curtailable,1,0.095,0.85,res_evening_dominant,none,DHNC0008-A08
DHNC0009-A00,DHNC0009,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0009-A00
DHNC0009-A01,DHNC0009,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0009-A01
DHNC0009-A02,DHNC0009,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0009-A02
DHNC0009-A03,DHNC0009,water_pump,shiftable,1,0.75,0.95,pump_offpeak_capable,none,DHNC0009-A03
DHNC0009-A04,DHNC0009,rice_cooker,shiftable,1,0.7,0.6,res_cooking,none,DHNC0009-A04
DHNC0009-A05,DHNC0009,lighting,curtailable,3,0.018,0.9,res_evening_dominant,none,DHNC0009-A05
DHNC0010-A00,DHNC0010,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0010-A00
DHNC0010-A01,DHNC0010,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0010-A01
DHNC0010-A02,DHNC0010,washing_machine,shiftable,1,0.5,0.85,res_morning_evening_chore,none,DHNC0010-A02
DHNC0010-A03,DHNC0010,water_pump,shiftable,1,0.75,0.95,pump_offpeak_capable,none,DHNC0010-A03
DHNC0010-A04,DHNC0010,ceiling_fan,curtailable,4,0.075,0.8,res_fan,cooling_fan,DHNC0010-A04
DHNC0010-A05,DHNC0010,lighting,curtailable,10,0.018,0.9,res_evening_dominant,none,DHNC0010-A05
DHNC0010-A06,DHNC0010,television,curtailable,1,0.095,0.85,res_evening_dominant,none,DHNC0010-A06
DHNC0011-A00,DHNC0011,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0011-A00
DHNC0011-A01,DHNC0011,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0011-A01
DHNC0011-A02,DHNC0011,water_pump,shiftable,1,0.75,0.95,pump_offpeak_capable,none,DHNC0011-A02
DHNC0011-A03,DHNC0011,rice_cooker,shiftable,1,0.7,0.6,res_cooking,none,DHNC0011-A03
DHNC0011-A04,DHNC0011,split_ac_1_5ton,curtailable,3,1.65,0.62,res_ac_affluent,cooling_ac,DHNC0011-A04
DHNC0011-A05,DHNC0011,ceiling_fan,curtailable,4,0.075,0.8,res_fan,cooling_fan,DHNC0011-A05
DHNC0011-A06,DHNC0011,lighting,curtailable,9,0.018,0.9,res_evening_dominant,none,DHNC0011-A06
DHNC0011-A07,DHNC0011,television,curtailable,1,0.095,0.85,res_evening_dominant,none,DHNC0011-A07
DHNC0012-A00,DHNC0012,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0012-A00
DHNC0012-A01,DHNC0012,router_and_standby,critical,2,0.035,0.95,flat_always_on,none,DHNC0012-A01
DHNC0012-A02,DHNC0012,washing_machine,shiftable,1,0.5,0.85,res_morning_evening_chore,none,DHNC0012-A02
DHNC0012-A03,DHNC0012,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0012-A03
DHNC0012-A04,DHNC0012,rice_cooker,shiftable,1,0.7,0.6,res_cooking,none,DHNC0012-A04
DHNC0012-A05,DHNC0012,split_ac_1_5ton,curtailable,1,1.65,0.62,res_ac_affluent,cooling_ac,DHNC0012-A05
DHNC0012-A06,DHNC0012,ceiling_fan,curtailable,3,0.075,0.8,res_fan,cooling_fan,DHNC0012-A06
DHNC0012-A07,DHNC0012,lighting,curtailable,9,0.018,0.9,res_evening_dominant,none,DHNC0012-A07
DHNC0012-A08,DHNC0012,television,curtailable,1,0.095,0.85,res_evening_dominant,none,DHNC0012-A08
DHNC0013-A00,DHNC0013,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0013-A00
DHNC0013-A01,DHNC0013,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0013-A01
DHNC0013-A02,DHNC0013,rice_cooker,shiftable,1,0.7,0.6,res_cooking,none,DHNC0013-A02
DHNC0013-A03,DHNC0013,ceiling_fan,curtailable,3,0.075,0.8,res_fan,cooling_fan,DHNC0013-A03
DHNC0013-A04,DHNC0013,lighting,curtailable,10,0.018,0.9,res_evening_dominant,none,DHNC0013-A04
DHNC0013-A05,DHNC0013,television,curtailable,1,0.095,0.85,res_evening_dominant,none,DHNC0013-A05
DHNC0014-A00,DHNC0014,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0014-A00
DHNC0014-A01,DHNC0014,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0014-A01
DHNC0014-A02,DHNC0014,washing_machine,shiftable,1,0.5,0.85,res_morning_evening_chore,none,DHNC0014-A02
DHNC0014-A03,DHNC0014,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0014-A03
DHNC0014-A04,DHNC0014,rice_cooker,shiftable,1,0.7,0.6,res_cooking,none,DHNC0014-A04
DHNC0014-A05,DHNC0014,split_ac_1_5ton,curtailable,1,1.65,0.62,res_ac_modest,cooling_ac,DHNC0014-A05
DHNC0014-A06,DHNC0014,ceiling_fan,curtailable,4,0.075,0.8,res_fan,cooling_fan,DHNC0014-A06
DHNC0014-A07,DHNC0014,lighting,curtailable,9,0.018,0.9,res_evening_dominant,none,DHNC0014-A07
DHNC0014-A08,DHNC0014,television,curtailable,1,0.095,0.85,res_evening_dominant,none,DHNC0014-A08
DHNC0015-A00,DHNC0015,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0015-A00
DHNC0015-A01,DHNC0015,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0015-A01
DHNC0015-A02,DHNC0015,medical_device_home,critical,1,0.12,0.3,flat_always_on,none,DHNC0015-A02
DHNC0015-A03,DHNC0015,washing_machine,shiftable,1,0.5,0.85,res_morning_evening_chore,none,DHNC0015-A03
DHNC0015-A04,DHNC0015,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0015-A04
DHNC0015-A05,DHNC0015,split_ac_1_5ton,curtailable,2,1.65,0.62,res_ac_affluent,cooling_ac,DHNC0015-A05
DHNC0015-A06,DHNC0015,ceiling_fan,curtailable,6,0.075,0.8,res_fan,cooling_fan,DHNC0015-A06
DHNC0015-A07,DHNC0015,lighting,curtailable,10,0.018,0.9,res_evening_dominant,none,DHNC0015-A07
DHNC0015-A08,DHNC0015,television,curtailable,1,0.095,0.85,res_evening_dominant,none,DHNC0015-A08
DHNC0016-A00,DHNC0016,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0016-A00
DHNC0016-A01,DHNC0016,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0016-A01
DHNC0016-A02,DHNC0016,washing_machine,shiftable,1,0.5,0.85,res_morning_evening_chore,none,DHNC0016-A02
DHNC0016-A03,DHNC0016,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0016-A03
DHNC0016-A04,DHNC0016,water_pump,shiftable,1,0.75,0.95,pump_offpeak_capable,none,DHNC0016-A04
DHNC0016-A05,DHNC0016,split_ac_1_5ton,curtailable,2,1.65,0.62,res_ac_affluent,cooling_ac,DHNC0016-A05
DHNC0016-A06,DHNC0016,ceiling_fan,curtailable,4,0.075,0.8,res_fan,cooling_fan,DHNC0016-A06
DHNC0016-A07,DHNC0016,lighting,curtailable,8,0.018,0.9,res_evening_dominant,none,DHNC0016-A07
DHNC0016-A08,DHNC0016,television,curtailable,2,0.095,0.85,res_evening_dominant,none,DHNC0016-A08
DHNC0017-A00,DHNC0017,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0017-A00
DHNC0017-A01,DHNC0017,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0017-A01
DHNC0017-A02,DHNC0017,ceiling_fan,curtailable,1,0.075,0.8,res_fan,cooling_fan,DHNC0017-A02
DHNC0017-A03,DHNC0017,lighting,curtailable,5,0.018,0.9,res_evening_dominant,none,DHNC0017-A03
DHNC0018-A00,DHNC0018,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0018-A00
DHNC0018-A01,DHNC0018,router_and_standby,critical,2,0.035,0.95,flat_always_on,none,DHNC0018-A01
DHNC0018-A02,DHNC0018,washing_machine,shiftable,1,0.5,0.85,res_morning_evening_chore,none,DHNC0018-A02
DHNC0018-A03,DHNC0018,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0018-A03
DHNC0018-A04,DHNC0018,water_pump,shiftable,1,0.75,0.95,pump_offpeak_capable,none,DHNC0018-A04
DHNC0018-A05,DHNC0018,rice_cooker,shiftable,1,0.7,0.6,res_cooking,none,DHNC0018-A05
DHNC0018-A06,DHNC0018,split_ac_1_5ton,curtailable,3,1.65,0.62,res_ac_affluent,cooling_ac,DHNC0018-A06
DHNC0018-A07,DHNC0018,ceiling_fan,curtailable,3,0.075,0.8,res_fan,cooling_fan,DHNC0018-A07
