date,is_dispatch_day,id
2026-06-14,True,2026-06-14
2026-06-15,True,2026-06-15
2026-06-16,True,2026-06-16
2026-06-17,True,2026-06-17
2026-06-18,True,2026-06-18
2026-06-19,True,2026-06-19
2026-06-20,True,2026-06-20
2026-06-21,True,2026-06-21
2026-06-22,True,2026-06-22
2026-06-23,True,2026-06-23
2026-06-24,True,2026-06-24
2026-06-25,True,2026-06-25
2026-06-26,True,2026-06-26
2026-06-27,True,2026-06-27
2026-06-28,True,2026-06-28
2026-06-29,True,2026-06-29
2026-06-30,True,2026-06-30
2026-07-01,True,2026-07-01
2026-07-02,True,2026-07-02
2026-07-03,True,2026-07-03
2026-07-04,True,2026-07-04
2026-07-05,True,2026-07-05
2026-07-06,True,2026-07-06
2026-07-07,True,2026-07-07
2026-07-08,True,2026-07-08
2026-07-09,True,2026-07-09
2026-07-10,True,2026-07-10
2026-07-11,True,2026-07-11
2026-07-12,True,2026-07-12
2026-07-13,True,2026-07-13
