var_type,value,unit,substation,date,slot_index,clock,equation,id
G,47026.85593567641,kW,Dhanmondi,2026-06-14,0,00:00,(17),DEC-DHN-2026-06-14-00-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,0,00:00,(17),DEC-DHN-2026-06-14-00-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,0,00:00,(17),DEC-DHN-2026-06-14-00-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,0,00:00,(17),DEC-DHN-2026-06-14-00-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,0,00:00,(17),DEC-DHN-2026-06-14-00-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,0,00:00,(17),DEC-DHN-2026-06-14-00-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,0,00:00,(17),DEC-DHN-2026-06-14-00-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,0,00:00,(17),DEC-DHN-2026-06-14-00-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,0,00:00,(17),DEC-DHN-2026-06-14-00-Z_curtailable
G,46935.75505605343,kW,Dhanmondi,2026-06-14,1,00:30,(17),DEC-DHN-2026-06-14-01-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,1,00:30,(17),DEC-DHN-2026-06-14-01-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,1,00:30,(17),DEC-DHN-2026-06-14-01-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,1,00:30,(17),DEC-DHN-2026-06-14-01-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,1,00:30,(17),DEC-DHN-2026-06-14-01-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,1,00:30,(17),DEC-DHN-2026-06-14-01-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,1,00:30,(17),DEC-DHN-2026-06-14-01-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,1,00:30,(17),DEC-DHN-2026-06-14-01-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,1,00:30,(17),DEC-DHN-2026-06-14-01-Z_curtailable
G,52926.7852618357,kW,Dhanmondi,2026-06-14,2,01:00,(17),DEC-DHN-2026-06-14-02-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,2,01:00,(17),DEC-DHN-2026-06-14-02-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,2,01:00,(17),DEC-DHN-2026-06-14-02-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,2,01:00,(17),DEC-DHN-2026-06-14-02-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,2,01:00,(17),DEC-DHN-2026-06-14-02-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,2,01:00,(17),DEC-DHN-2026-06-14-02-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,2,01:00,(17),DEC-DHN-2026-06-14-02-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,2,01:00,(17),DEC-DHN-2026-06-14-02-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,2,01:00,(17),DEC-DHN-2026-06-14-02-Z_curtailable
G,51604.01684841229,kW,Dhanmondi,2026-06-14,3,01:30,(17),DEC-DHN-2026-06-14-03-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,3,01:30,(17),DEC-DHN-2026-06-14-03-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,3,01:30,(17),DEC-DHN-2026-06-14-03-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,3,01:30,(17),DEC-DHN-2026-06-14-03-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,3,01:30,(17),DEC-DHN-2026-06-14-03-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,3,01:30,(17),DEC-DHN-2026-06-14-03-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,3,01:30,(17),DEC-DHN-2026-06-14-03-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,3,01:30,(17),DEC-DHN-2026-06-14-03-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,3,01:30,(17),DEC-DHN-2026-06-14-03-Z_curtailable
G,46501.56469016588,kW,Dhanmondi,2026-06-14,4,02:00,(17),DEC-DHN-2026-06-14-04-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,4,02:00,(17),DEC-DHN-2026-06-14-04-B_ch
B_dis,4000.0,kW,Dhanmondi,2026-06-14,4,02:00,(17),DEC-DHN-2026-06-14-04-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,4,02:00,(17),DEC-DHN-2026-06-14-04-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,4,02:00,(17),DEC-DHN-2026-06-14-04-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,4,02:00,(17),DEC-DHN-2026-06-14-04-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,4,02:00,(17),DEC-DHN-2026-06-14-04-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,4,02:00,(17),DEC-DHN-2026-06-14-04-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,4,02:00,(17),DEC-DHN-2026-06-14-04-Z_curtailable
G,45456.40754325543,kW,Dhanmondi,2026-06-14,5,02:30,(17),DEC-DHN-2026-06-14-05-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,5,02:30,(17),DEC-DHN-2026-06-14-05-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,5,02:30,(17),DEC-DHN-2026-06-14-05-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,5,02:30,(17),DEC-DHN-2026-06-14-05-T_out
