event_id,timestamp,date,substation,trigger,regime,regime_name,stress_indicator,forecast_peak_kw,robust_peak_kw,p_str_kw,p_max_kw,deficit_kw,kappa,actual_peak_kw,n_affected_consumers,energy_shifted_kwh,energy_curtailed_kwh,energy_reduction_kwh,reserve_shortfall_kwh,unserved_kwh,transfer_out_kwh,cost_impact_tk,pi_min_tk_per_kwh,pi_max_tk_per_kwh,n_threshold_records,id
EV-DHN-2026-06-14-demand_response,2026-06-14T00:00:00,2026-06-14,Dhanmondi,demand_response,1,nominal,0,128600.0,128600.0,151000.0,200000.0,0.0,0.942124542124542,127165.85808100576,54,0.0,15428.221509567824,15428.221509567824,0.0,0.0,0.0,17156967.142987244,8.39,8.39,228,EV-DHN-2026-06-14-demand_response
EV-KLN-2026-06-14-demand_response,2026-06-14T00:00:00,2026-06-14,Kalyanpur,demand_response,1,nominal,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608696,124390.92641846467,88,4509.669092626396,21760.91757871176,21760.91757871176,0.0,0.0,0.0,16685827.68877999,8.39,8.39,508,EV-KLN-2026-06-14-demand_response
EV-DHN-2026-06-15-demand_response,2026-06-15T00:00:00,2026-06-15,Dhanmondi,demand_response,1,nominal,0,133000.0,133000.0,151000.0,200000.0,0.0,0.9743589743589745,129409.80242325204,55,0.0,16580.73025496024,16580.73025496024,0.0,0.0,0.0,17674744.850817263,8.39,8.39,232,EV-DHN-2026-06-15-demand_response
EV-KLN-2026-06-15-demand_response,2026-06-15T00:00:00,2026-06-15,Kalyanpur,demand_response,1,nominal,0,123000.0,123000.0,129000.0,160000.0,0.0,0.8913043478260869,126669.36424028828,88,4509.669092626396,22333.01454318926,22333.01454318926,0.0,0.0,0.0,16377087.69766817,8.39,8.39,504,EV-KLN-2026-06-15-demand_response
EV-DHN-2026-06-16-demand_response,2026-06-16T00:00:00,2026-06-16,Dhanmondi,demand_response,1,nominal,0,106000.0,106000.0,151000.0,200000.0,0.0,0.7765567765567766,128776.04921224822,54,0.0,16262.577592835196,16262.577592835196,0.0,0.0,0.0,13877760.751997871,8.39,8.39,228,EV-DHN-2026-06-16-demand_response
EV-KLN-2026-06-16-demand_response,2026-06-16T00:00:00,2026-06-16,Kalyanpur,demand_response,1,nominal,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608696,127631.37480575804,88,4509.669092626396,22029.409450301584,22029.409450301584,0.0,0.0,0.0,16731405.040558107,8.39,8.39,504,EV-KLN-2026-06-16-demand_response
EV-DHN-2026-06-17-demand_response,2026-06-17T00:00:00,2026-06-17,Dhanmondi,demand_response,1,nominal,0,133400.0,133400.0,151000.0,200000.0,0.0,0.9772893772893771,129793.26946614675,55,0.0,16528.752946935536,16528.752946935536,0.0,0.0,0.0,17836933.38833596,8.39,8.39,232,EV-DHN-2026-06-17-demand_response
EV-KLN-2026-06-17-regime_stress,2026-06-17T00:00:00,2026-06-17,Kalyanpur,regime_stress,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,126706.46028156944,96,4509.669092626396,28075.30843958525,28075.30843958525,0.0,0.0,0.0,17153845.74821127,8.39,8.39,567,EV-KLN-2026-06-17-regime_stress
EV-KLN-2026-06-17-demand_response,2026-06-17T00:00:00,2026-06-17,Kalyanpur,demand_response,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,126706.46028156944,96,4509.669092626396,28075.30843958525,28075.30843958525,0.0,0.0,0.0,17153845.74821127,8.39,8.39,567,EV-KLN-2026-06-17-demand_response
EV-DHN-2026-06-18-demand_response,2026-06-18T00:00:00,2026-06-18,Dhanmondi,demand_response,1,nominal,0,129000.0,129000.0,151000.0,200000.0,0.0,0.945054945054945,128715.06367572732,55,0.0,16563.40412261056,16563.40412261056,0.0,0.0,0.0,17037899.285423484,8.39,8.39,232,EV-DHN-2026-06-18-demand_response
