substation,date,mode,in_dispatch_horizon,p_hat_kw,sigma_kw,z_beta,p_tilde_kw,uncertainty_margin_kw,p_str_kw,s_stress,deficit_kw,p_max_kw,kappa,p_ref_kw,reference_day,weather_source,model,id,horizon_k,holiday_type,sigma_method
Dhanmondi,2026-06-14,observed,True,128600.0,0.0,0.0,128600.0,0.0,151000.0,0,0.0,200000.0,0.9421245421245421,136500.0,2026-06-29,observed,measured (BPDB),FC-DHN-2026-06-14,,,
Dhanmondi,2026-06-15,observed,True,133000.0,0.0,0.0,133000.0,0.0,151000.0,0,0.0,200000.0,0.9743589743589743,136500.0,2026-06-29,observed,measured (BPDB),FC-DHN-2026-06-15,,,
Dhanmondi,2026-06-16,observed,True,106000.0,0.0,0.0,106000.0,0.0,151000.0,0,0.0,200000.0,0.7765567765567766,136500.0,2026-06-29,observed,measured (BPDB),FC-DHN-2026-06-16,,,
Dhanmondi,2026-06-17,observed,True,133400.0,0.0,0.0,133400.0,0.0,151000.0,0,0.0,200000.0,0.9772893772893773,136500.0,2026-06-29,observed,measured (BPDB),FC-DHN-2026-06-17,,,
Dhanmondi,2026-06-18,observed,True,129000.0,0.0,0.0,129000.0,0.0,151000.0,0,0.0,200000.0,0.945054945054945,136500.0,2026-06-29,observed,measured (BPDB),FC-DHN-2026-06-18,,,
Dhanmondi,2026-06-19,observed,True,90000.0,0.0,0.0,90000.0,0.0,151000.0,0,0.0,200000.0,0.6593406593406593,136500.0,2026-06-29,observed,measured (BPDB),FC-DHN-2026-06-19,,,
Dhanmondi,2026-06-20,observed,True,112000.0,0.0,0.0,112000.0,0.0,151000.0,0,0.0,200000.0,0.8205128205128205,136500.0,2026-06-29,observed,measured (BPDB),FC-DHN-2026-06-20,,,
Dhanmondi,2026-06-21,observed,True,140400.0,0.0,0.0,140400.0,0.0,151000.0,0,0.0,200000.0,1.0285714285714285,136500.0,2026-06-29,observed,measured (BPDB),FC-DHN-2026-06-21,,,
Dhanmondi,2026-06-22,observed,True,126700.0,0.0,0.0,126700.0,0.0,151000.0,0,0.0,200000.0,0.9282051282051282,136500.0,2026-06-29,observed,measured (BPDB),FC-DHN-2026-06-22,,,
Dhanmondi,2026-06-23,observed,True,110500.0,0.0,0.0,110500.0,0.0,151000.0,0,0.0,200000.0,0.8095238095238095,136500.0,2026-06-29,observed,measured (BPDB),FC-DHN-2026-06-23,,,
Dhanmondi,2026-06-24,observed,True,132000.0,0.0,0.0,132000.0,0.0,151000.0,0,0.0,200000.0,0.967032967032967,136500.0,2026-06-29,observed,measured (BPDB),FC-DHN-2026-06-24,,,
Dhanmondi,2026-06-25,observed,True,133000.0,0.0,0.0,133000.0,0.0,151000.0,0,0.0,200000.0,0.9743589743589743,136500.0,2026-06-29,observed,measured (BPDB),FC-DHN-2026-06-25,,,
Dhanmondi,2026-06-26,observed,True,92400.0,0.0,0.0,92400.0,0.0,151000.0,0,0.0,200000.0,0.676923076923077,136500.0,2026-06-29,observed,measured (BPDB),FC-DHN-2026-06-26,,,
Dhanmondi,2026-06-27,observed,True,121500.0,0.0,0.0,121500.0,0.0,151000.0,0,0.0,200000.0,0.8901098901098901,136500.0,2026-06-29,observed,measured (BPDB),FC-DHN-2026-06-27,,,
Dhanmondi,2026-06-28,observed,True,137000.0,0.0,0.0,137000.0,0.0,151000.0,0,0.0,200000.0,1.0036630036630036,136500.0,2026-06-29,observed,measured (BPDB),FC-DHN-2026-06-28,,,
Dhanmondi,2026-06-29,observed,True,136500.0,0.0,0.0,136500.0,0.0,151000.0,0,0.0,200000.0,1.0,136500.0,2026-06-29,observed,measured (BPDB),FC-DHN-2026-06-29,,,
Dhanmondi,2026-06-30,forecast,True,125690.0,12176.158636497987,1.645,145719.78095703918,20029.780957039187,151000.0,0,0.0,200000.0,1.067544182835452,136500.0,2026-06-29,climatology,BiGRU (frozen),FC-DHN-2026-06-30,1.0,No Holiday,backtest_rmse/envelope
Dhanmondi,2026-07-01,forecast,True,135320.0,12962.23642470598,1.645,156642.87891864133,21322.878918641338,151000.0,1,0.0,200000.0,1.147566878524845,136500.0,2026-06-29,climatology,BiGRU (frozen),FC-DHN-2026-07-01,2.0,No Holiday,backtest_rmse/envelope
Dhanmondi,2026-07-02,forecast,True,134320.0,12962.23642470598,1.645,155642.87891864133,21322.878918641338,151000.0,1,0.0,200000.0,1.1402408711988377,136500.0,2026-06-29,climatology,BiGRU (frozen),FC-DHN-2026-07-02,3.0,No Holiday,backtest_rmse/envelope
Dhanmondi,2026-07-03,forecast,False,104490.0,14058.06927655407,1.645,127615.52395993145,23125.523959931445,151000.0,0,0.0,200000.0,0.9349122634427213,136500.0,2026-06-29,climatology,BiGRU (frozen),FC-DHN-2026-07-03,4.0,No Holiday,backtest_rmse/envelope
Dhanmondi,2026-07-04,forecast,False,117840.0,16074.477168867536,1.645,144282.5149427871,26442.514942787097,151000.0,0,0.0,200000.0,1.0570147614856198,136500.0,2026-06-29,climatology,BiGRU (frozen),FC-DHN-2026-07-04,5.0,No Holiday,backtest_rmse/envelope
Dhanmondi,2026-07-05,forecast,False,137620.0,16074.477168867536,1.645,164062.5149427871,26442.514942787097,151000.0,1,0.0,200000.0,1.2019231863940447,136500.0,2026-06-29,climatology,BiGRU (frozen),FC-DHN-2026-07-05,6.0,No Holiday,backtest_rmse/envelope
Dhanmondi,2026-07-06,forecast,False,131560.0,17915.609438969066,1.645,161031.17752710413,29471.177527104115,151000.0,1,0.0,200000.0,1.179715586279151,136500.0,2026-06-29,api,BiGRU (frozen),FC-DHN-2026-07-06,7.0,No Holiday,backtest_rmse/envelope
Dhanmondi,2026-07-07,forecast,False,126680.0,17915.609438969066,1.645,156151.17752710413,29471.177527104115,151000.0,1,0.0,200000.0,1.1439646705282354,136500.0,2026-06-29,api,BiGRU (frozen),FC-DHN-2026-07-07,8.0,No Holiday,backtest_rmse/envelope
