substation,date,slot_index,clock,post_response_kw,soc_kwh,pi_tk_per_kwh,c1_slack_kw,id
Dhanmondi,2026-06-14,0,00:00,45316.98556113005,20000.0,8.39,0.0,LP-DHN-2026-06-14-00
Dhanmondi,2026-06-14,1,00:30,45604.44842599239,20000.0,8.39,0.0,LP-DHN-2026-06-14-01
Dhanmondi,2026-06-14,2,01:00,51789.85366741027,20000.0,8.39,0.0,LP-DHN-2026-06-14-02
Dhanmondi,2026-06-14,3,01:30,48306.25491548084,20000.0,8.39,0.0,LP-DHN-2026-06-14-03
Dhanmondi,2026-06-14,4,02:00,45550.36835565871,20000.0,8.39,0.0,LP-DHN-2026-06-14-04
Dhanmondi,2026-06-14,5,02:30,48998.513946586245,20000.0,8.39,0.0,LP-DHN-2026-06-14-05
Dhanmondi,2026-06-14,6,03:00,43659.94645730038,15000.0,8.39,0.0,LP-DHN-2026-06-14-06
Dhanmondi,2026-06-14,7,03:30,43996.79578624168,15000.0,8.39,0.0,LP-DHN-2026-06-14-07
Dhanmondi,2026-06-14,8,04:00,44868.36005355461,15000.0,8.39,0.0,LP-DHN-2026-06-14-08
Dhanmondi,2026-06-14,9,04:30,51406.88564155856,15000.0,8.39,0.0,LP-DHN-2026-06-14-09
Dhanmondi,2026-06-14,10,05:00,60543.83553884274,15000.0,8.39,0.0,LP-DHN-2026-06-14-10
Dhanmondi,2026-06-14,11,05:30,60611.37732181963,15000.0,8.39,0.0,LP-DHN-2026-06-14-11
Dhanmondi,2026-06-14,12,06:00,64312.178484850825,15000.0,8.39,0.0,LP-DHN-2026-06-14-12
Dhanmondi,2026-06-14,13,06:30,79785.28261770877,15000.0,8.39,0.0,LP-DHN-2026-06-14-13
Dhanmondi,2026-06-14,14,07:00,72539.54507245938,15000.0,8.39,-1.4551915228366852e-11,LP-DHN-2026-06-14-14
Dhanmondi,2026-06-14,15,07:30,86506.0884602161,15000.0,8.39,-1.4551915228366852e-11,LP-DHN-2026-06-14-15
Dhanmondi,2026-06-14,16,08:00,77985.32050038232,15000.0,8.39,-2.9103830456733704e-11,LP-DHN-2026-06-14-16
Dhanmondi,2026-06-14,17,08:30,76251.13065729132,15000.0,8.39,0.0,LP-DHN-2026-06-14-17
Dhanmondi,2026-06-14,18,09:00,95899.15255248552,15000.0,8.39,1.4551915228366852e-11,LP-DHN-2026-06-14-18
Dhanmondi,2026-06-14,19,09:30,92071.2149569218,15000.0,8.39,0.0,LP-DHN-2026-06-14-19
Dhanmondi,2026-06-14,20,10:00,88044.8788312636,15000.0,8.39,-1.4551915228366852e-11,LP-DHN-2026-06-14-20
Dhanmondi,2026-06-14,21,10:30,95298.18311676804,15000.0,8.39,0.0,LP-DHN-2026-06-14-21
Dhanmondi,2026-06-14,22,11:00,98218.62259588038,15000.0,8.39,-1.4551915228366852e-11,LP-DHN-2026-06-14-22
Dhanmondi,2026-06-14,23,11:30,111620.07129089648,15000.0,8.39,-1.4551915228366852e-11,LP-DHN-2026-06-14-23
Dhanmondi,2026-06-14,24,12:00,111634.79911669872,15000.0,8.39,0.0,LP-DHN-2026-06-14-24
Dhanmondi,2026-06-14,25,12:30,114414.65805572266,15000.0,8.39,1.4551915228366852e-11,LP-DHN-2026-06-14-25
Dhanmondi,2026-06-14,26,13:00,114453.93349516904,15000.0,8.39,0.0,LP-DHN-2026-06-14-26
Dhanmondi,2026-06-14,27,13:30,109986.60457724068,15000.0,8.39,0.0,LP-DHN-2026-06-14-27
Dhanmondi,2026-06-14,28,14:00,101519.10878773742,15000.0,8.39,0.0,LP-DHN-2026-06-14-28
Dhanmondi,2026-06-14,29,14:30,97107.8182712301,10000.0,8.39,-1.4551915228366852e-11,LP-DHN-2026-06-14-29
Dhanmondi,2026-06-14,30,15:00,95096.78928072394,10000.0,8.39,-1.4551915228366852e-11,LP-DHN-2026-06-14-30
Dhanmondi,2026-06-14,31,15:30,105327.84724673563,10000.0,8.39,-1.4551915228366852e-11,LP-DHN-2026-06-14-31
Dhanmondi,2026-06-14,32,16:00,103586.3807973341,10000.0,8.39,-2.9103830456733704e-11,LP-DHN-2026-06-14-32
Dhanmondi,2026-06-14,33,16:30,99662.13537814729,10000.0,8.39,1.4551915228366852e-11,LP-DHN-2026-06-14-33
Dhanmondi,2026-06-14,34,17:00,103732.90610615618,10000.0,8.39,-1.4551915228366852e-11,LP-DHN-2026-06-14-34
Dhanmondi,2026-06-14,35,17:30,104469.74114575709,10000.0,8.39,-1.4551915228366852e-11,LP-DHN-2026-06-14-35
Dhanmondi,2026-06-14,36,18:00,111742.81248573362,10000.0,8.39,0.0,LP-DHN-2026-06-14-36
Dhanmondi,2026-06-14,37,18:30,119168.38151899872,10000.0,8.39,-1.4551915228366852e-11,LP-DHN-2026-06-14-37
Dhanmondi,2026-06-14,38,19:00,112533.35805251935,10000.0,8.39,1.4551915228366852e-11,LP-DHN-2026-06-14-38
Dhanmondi,2026-06-14,39,19:30,122395.49753322604,10000.0,8.39,-1.4551915228366852e-11,LP-DHN-2026-06-14-39
Dhanmondi,2026-06-14,40,20:00,126008.16286805186,10000.0,8.39,0.0,LP-DHN-2026-06-14-40
Dhanmondi,2026-06-14,41,20:30,99714.76331298388,10000.0,8.39,-2.9103830456733704e-11,LP-DHN-2026-06-14-41
Dhanmondi,2026-06-14,42,21:00,95321.499038575,10000.0,8.39,0.0,LP-DHN-2026-06-14-42
Dhanmondi,2026-06-14,43,21:30,81486.3215661768,10000.0,8.39,-1.4551915228366852e-11,LP-DHN-2026-06-14-43
Dhanmondi,2026-06-14,44,22:00,74308.0951057287,8000.0,8.39,0.0,LP-DHN-2026-06-14-44
Dhanmondi,2026-06-14,45,22:30,67296.37943315403,8000.0,8.39,-1.4551915228366852e-11,LP-DHN-2026-06-14-45
Dhanmondi,2026-06-14,46,23:00,56804.27050943343,8000.0,8.39,0.0,LP-DHN-2026-06-14-46
Dhanmondi,2026-06-14,47,23:30,52241.44208185347,8000.0,8.39,0.0,LP-DHN-2026-06-14-47
Kalyanpur,2026-06-14,0,00:00,51753.28701285306,15000.0,8.39,0.0,LP-KLN-2026-06-14-00
Kalyanpur,2026-06-14,1,00:30,49204.55553160464,15000.0,8.39,0.0,LP-KLN-2026-06-14-01
Kalyanpur,2026-06-14,2,01:00,59251.368642014095,15000.0,8.39,0.0,LP-KLN-2026-06-14-02
Kalyanpur,2026-06-14,3,01:30,50617.76227817313,15000.0,8.39,0.0,LP-KLN-2026-06-14-03
Kalyanpur,2026-06-14,4,02:00,48179.20345786896,14000.0,8.39,0.0,LP-KLN-2026-06-14-04
Kalyanpur,2026-06-14,5,02:30,51331.78983716095,14000.0,8.39,7.275957614183426e-12,LP-KLN-2026-06-14-05
Kalyanpur,2026-06-14,6,03:00,47139.97647017566,14000.0,8.39,0.0,LP-KLN-2026-06-14-06
Kalyanpur,2026-06-14,7,03:30,44136.20250023715,14000.0,8.39,0.0,LP-KLN-2026-06-14-07
