meter_id,household_id,substation,n_appliances,id
DHNC0001-M,DHNC0001,Dhanmondi,10,DHNC0001-M
DHNC0002-M,DHNC0002,Dhanmondi,9,DHNC0002-M
DHNC0003-M,DHNC0003,Dhanmondi,7,DHNC0003-M
DHNC0004-M,DHNC0004,Dhanmondi,7,DHNC0004-M
DHNC0005-M,DHNC0005,Dhanmondi,9,DHNC0005-M
DHNC0006-M,DHNC0006,Dhanmondi,5,DHNC0006-M
DHNC0007-M,DHNC0007,Dhanmondi,5,DHNC0007-M
DHNC0008-M,DHNC0008,Dhanmondi,7,DHNC0008-M
DHNC0009-M,DHNC0009,Dhanmondi,8,DHNC0009-M
DHNC0010-M,DHNC0010,Dhanmondi,9,DHNC0010-M
DHNC0011-M,DHNC0011,Dhanmondi,9,DHNC0011-M
DHNC0012-M,DHNC0012,Dhanmondi,8,DHNC0012-M
DHNC0013-M,DHNC0013,Dhanmondi,7,DHNC0013-M
DHNC0014-M,DHNC0014,Dhanmondi,7,DHNC0014-M
DHNC0015-M,DHNC0015,Dhanmondi,9,DHNC0015-M
DHNC0016-M,DHNC0016,Dhanmondi,8,DHNC0016-M
DHNC0017-M,DHNC0017,Dhanmondi,9,DHNC0017-M
DHNC0018-M,DHNC0018,Dhanmondi,8,DHNC0018-M
DHNC0019-M,DHNC0019,Dhanmondi,8,DHNC0019-M
DHNC0020-M,DHNC0020,Dhanmondi,10,DHNC0020-M
DHNC0021-M,DHNC0021,Dhanmondi,10,DHNC0021-M
DHNC0022-M,DHNC0022,Dhanmondi,6,DHNC0022-M
DHNC0023-M,DHNC0023,Dhanmondi,6,DHNC0023-M
DHNC0024-M,DHNC0024,Dhanmondi,10,DHNC0024-M
DHNC0025-M,DHNC0025,Dhanmondi,10,DHNC0025-M
DHNC0026-M,DHNC0026,Dhanmondi,10,DHNC0026-M
DHNC0027-M,DHNC0027,Dhanmondi,9,DHNC0027-M
DHNC0028-M,DHNC0028,Dhanmondi,10,DHNC0028-M
DHNC0029-M,DHNC0029,Dhanmondi,8,DHNC0029-M
DHNC0030-M,DHNC0030,Dhanmondi,10,DHNC0030-M
DHNC0031-M,DHNC0031,Dhanmondi,9,DHNC0031-M
DHNC0032-M,DHNC0032,Dhanmondi,11,DHNC0032-M
DHNC0033-M,DHNC0033,Dhanmondi,9,DHNC0033-M
DHNC0034-M,DHNC0034,Dhanmondi,10,DHNC0034-M
DHNC0035-M,DHNC0035,Dhanmondi,10,DHNC0035-M
DHNC0036-M,DHNC0036,Dhanmondi,10,DHNC0036-M
DHNC0037-M,DHNC0037,Dhanmondi,7,DHNC0037-M
DHNC0038-M,DHNC0038,Dhanmondi,6,DHNC0038-M
DHNC0039-M,DHNC0039,Dhanmondi,9,DHNC0039-M
DHNC0040-M,DHNC0040,Dhanmondi,9,DHNC0040-M
DHNC0041-M,DHNC0041,Dhanmondi,10,DHNC0041-M
DHNC0042-M,DHNC0042,Dhanmondi,8,DHNC0042-M
DHNC0043-M,DHNC0043,Dhanmondi,10,DHNC0043-M
DHNC0044-M,DHNC0044,Dhanmondi,8,DHNC0044-M
DHNC0045-M,DHNC0045,Dhanmondi,10,DHNC0045-M
DHNC0046-M,DHNC0046,Dhanmondi,8,DHNC0046-M
DHNC0047-M,DHNC0047,Dhanmondi,6,DHNC0047-M
DHNC0048-M,DHNC0048,Dhanmondi,8,DHNC0048-M
DHNC0049-M,DHNC0049,Dhanmondi,6,DHNC0049-M
DHNC0050-M,DHNC0050,Dhanmondi,8,DHNC0050-M
DHNC0051-M,DHNC0051,Dhanmondi,9,DHNC0051-M
DHNC0052-M,DHNC0052,Dhanmondi,6,DHNC0052-M
DHNC0053-M,DHNC0053,Dhanmondi,10,DHNC0053-M
DHNC0054-M,DHNC0054,Dhanmondi,10,DHNC0054-M
DHNC0055-M,DHNC0055,Dhanmondi,7,DHNC0055-M
DHNC0056-M,DHNC0056,Dhanmondi,8,DHNC0056-M
DHNC0057-M,DHNC0057,Dhanmondi,10,DHNC0057-M
DHNC0058-M,DHNC0058,Dhanmondi,4,DHNC0058-M
DHNC0059-M,DHNC0059,Dhanmondi,8,DHNC0059-M
DHNC0060-M,DHNC0060,Dhanmondi,9,DHNC0060-M
DHNC0061-M,DHNC0061,Dhanmondi,10,DHNC0061-M
DHNC0062-M,DHNC0062,Dhanmondi,10,DHNC0062-M
DHNC0063-M,DHNC0063,Dhanmondi,8,DHNC0063-M
DHNC0064-M,DHNC0064,Dhanmondi,9,DHNC0064-M
DHNC0065-M,DHNC0065,Dhanmondi,10,DHNC0065-M
DHNC0066-M,DHNC0066,Dhanmondi,7,DHNC0066-M
DHNC0067-M,DHNC0067,Dhanmondi,5,DHNC0067-M
DHNC0068-M,DHNC0068,Dhanmondi,3,DHNC0068-M
DHNC0069-M,DHNC0069,Dhanmondi,9,DHNC0069-M
DHNC0070-M,DHNC0070,Dhanmondi,9,DHNC0070-M
DHNC0071-M,DHNC0071,Dhanmondi,5,DHNC0071-M
DHNC0072-M,DHNC0072,Dhanmondi,7,DHNC0072-M
DHNC0073-M,DHNC0073,Dhanmondi,4,DHNC0073-M
DHNC0074-M,DHNC0074,Dhanmondi,5,DHNC0074-M
DHNC0075-M,DHNC0075,Dhanmondi,11,DHNC0075-M
DHNC0076-M,DHNC0076,Dhanmondi,6,DHNC0076-M
DHNC0077-M,DHNC0077,Dhanmondi,7,DHNC0077-M
DHNC0078-M,DHNC0078,Dhanmondi,9,DHNC0078-M
DHNC0079-M,DHNC0079,Dhanmondi,9,DHNC0079-M
DHNC0080-M,DHNC0080,Dhanmondi,7,DHNC0080-M
DHNC0081-M,DHNC0081,Dhanmondi,9,DHNC0081-M
DHNC0082-M,DHNC0082,Dhanmondi,10,DHNC0082-M
DHNC0083-M,DHNC0083,Dhanmondi,6,DHNC0083-M
DHNC0084-M,DHNC0084,Dhanmondi,9,DHNC0084-M
DHNC0085-M,DHNC0085,Dhanmondi,8,DHNC0085-M
DHNC0086-M,DHNC0086,Dhanmondi,9,DHNC0086-M
