household_id,substation,period_start,period_end,days,energy_before_kwh,bill_before_tk,energy_after_kwh,bill_after_tk,bill_saving_tk,bill_saving_pct,energy_saving_kwh,incentive_received_tk,discomfort_cost_tk,net_benefit_tk,gained,qoe,n_dr_events,n_shift_slots,n_curtail_slots,energy_shifted_kwh,energy_curtailed_kwh,peak_before_kw,peak_after_kw,peak_reduction_pct,participated,tariff_class,slab_before,slab_after,eff_rate_before,eff_rate_after,surcharge_tk,J1_before_tk,J1_after_tk,marginal_rate_tk_per_kwh,income_band,monthly_income_bdt,household_size,w_h,equation,id
DHNC0001,Dhanmondi,2026-06-14,2026-07-13,30,571.5137687469058,6543.624852335609,485.78670343486993,5192.523439485267,1351.101412850342,20.64759889723958,85.7270653120359,84.13671257001302,1752.730021997707,-317.49189657735155,False,0.85,30,0,542,0.0,85.72706531203589,3.51773257994839,3.51773257994839,0.0,True,LT-A,401-600,401-600,11.449636404531567,10.68889577003714,0.0,8298.66227434617,6876.9080323887065,15.01,upper-middle,174354.85781382807,4,624.1576541510876,"(20),(21) + BERC slab bill",MB-DHNC0001-2026-06-14
DHNC0002,Dhanmondi,2026-06-14,2026-07-13,30,53.58179949121829,391.81434689851545,53.58179949121829,391.81434689851545,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0,0,0,0.0,0.0,0.6367998302788257,0.6367998302788257,0.0,False,LT-A,1-75,1-75,7.312452187477042,7.312452187477042,0.0,305.4274073774816,305.4274073774816,6.18,lower-middle,13466.875557381318,4,624.1576541510876,"(20),(21) + BERC slab bill",MB-DHNC0002-2026-06-14
DHNC0003,Dhanmondi,2026-06-14,2026-07-13,30,146.01897337555084,1218.1787873767912,129.16343536426965,1067.7431106261065,150.4356767506847,12.349228069767223,16.855538011281197,21.7780479912374,215.1479739194987,-42.93424917757659,False,0.8845661106798093,25,0,488,0.0,16.85553801128121,1.6709511352137625,1.6709511352137625,0.0,True,LT-A,76-200,76-200,8.342606164225785,8.266605077627682,0.0,1133.05643191717,979.5877586339104,8.5,middle,37403.4718797451,5,624.1576541510876,"(20),(21) + BERC slab bill",MB-DHNC0003-2026-06-14
DHNC0004,Dhanmondi,2026-06-14,2026-07-13,30,172.9555704162361,1490.3796059649071,172.9555704162361,1490.3796059649071,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0,0,0,0.0,0.0,1.4555060460656335,1.4555060460656335,0.0,False,LT-A,76-200,76-200,8.61712405317822,8.61712405317822,0.0,1349.1407423027636,1349.1407423027636,8.5,lower-middle,18000.40864776403,4,624.1576541510876,"(20),(21) + BERC slab bill",MB-DHNC0004-2026-06-14
DHNC0005,Dhanmondi,2026-06-14,2026-07-13,30,147.72884978733393,1157.8476243519551,138.0202800189622,1071.1986391692378,86.64898518271752,7.483625941817237,9.708569768371715,21.955536103134,159.66082772911028,-51.05630644325876,False,0.9342811523791872,20,0,246,0.0,9.708569768371724,0.4449729328061469,0.4449729328061469,0.0,True,LT-A,76-200,76-200,7.837654094097114,7.761168424104551,0.0,1166.56482894468,1064.5439143128808,8.5,middle,45089.15300830378,5,624.1576541510876,"(20),(21) + BERC slab bill",MB-DHNC0005-2026-06-14
DHNC0006,Dhanmondi,2026-06-14,2026-07-13,30,429.7782077883496,4247.395633848283,365.3114766200971,3427.6874153396006,819.7082185086824,19.299078521818775,64.46673116825247,63.66915081092313,1205.714220856735,-322.3368515371294,False,0.85,30,0,611,0.0,64.46673116825245,2.148862498522333,2.143388349239195,0.2547463733441359,True,LT-A,401-600,301-400,9.882761752173284,9.382917413525988,0.0,6030.987519523264,5029.372169402794,15.01,upper-middle,71566.17369647385,4,624.1576541510876,"(20),(21) + BERC slab bill",MB-DHNC0006-2026-06-14
DHNC0007,Dhanmondi,2026-06-14,2026-07-13,30,286.4994050050153,2564.171174822922,243.52449425426303,2153.5459025994837,410.6252722234385,16.01395711235213,42.97491075075229,42.307911349141634,703.8844388374637,-250.9512552648835,False,0.85,30,0,665,0.0,42.9749107507523,1.2928784985500148,1.131632621592311,12.47185076854042,True,LT-A,201-300,201-300,8.95000523571082,8.843241453777434,0.0,2475.678222626317,2046.4761020214864,9.1,upper-middle,191024.38027519392,5,624.1576541510876,"(20),(21) + BERC slab bill",MB-DHNC0007-2026-06-14
DHNC0008,Dhanmondi,2026-06-14,2026-07-13,30,250.50399584781505,2225.3462303258725,224.14037217305088,1973.441806113501,251.9044242123714,11.319785693549507,26.363623674764145,37.11562225741142,498.8731051043687,-209.85305863458584,False,0.894757672086075,26,0,472,0.0,26.36362367476425,1.0388967635580524,1.0388967635580524,0.0,True,LT-A,201-300,201-300,8.883475981268594,8.804490627819053,0.0,2120.510906072385,1851.4778006446888,9.1,middle,35586.75840057057,4,624.1576541510876,"(20),(21) + BERC slab bill",MB-DHNC0008-2026-06-14
DHNC0009,Dhanmondi,2026-06-14,2026-07-13,30,82.1478846166867,667.9831402039287,82.1478846166867,667.9831402039287,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0,0,0,0.0,0.0,0.6545763315066526,0.6545763315066526,0.0,False,LT-A,76-200,76-200,8.131470984564357,8.131470984564357,0.0,643.0979460502544,643.0979460502544,8.5,lower-middle,17549.61363711169,3,624.1576541510876,"(20),(21) + BERC slab bill",MB-DHNC0009-2026-06-14
DHNC0010,Dhanmondi,2026-06-14,2026-07-13,30,141.05053621708373,1155.1150357374725,136.10858788300982,1111.0081468558628,44.10688888160962,3.8183979531917354,4.941948334073913,14.82584500222182,100.8678609066125,-41.93512702278107,False,0.9649632786473916,10,0,210,0.0,4.94194833407394,0.9461362814696508,0.9461362814696508,0.0,True,LT-A,76-200,76-200,8.189370042235737,8.1626601534564,0.0,1104.0523443029674,1050.54068533002,8.5,middle,31375.265750046,4,624.1576541510876,"(20),(21) + BERC slab bill",MB-DHNC0010-2026-06-14
DHNC0011,Dhanmondi,2026-06-14,2026-07-13,30,690.4289744691732,8563.859752392164,586.8646282987971,6709.449884303192,1854.409868088971,21.65390281608681,103.5643461703761,101.43472834826436,2513.6482673247133,-557.8036708874779,False,0.85,30,0,456,0.0,103.56434617037598,3.418409534234189,3.418409534234189,0.0,True,LT-A,601-above,401-600,12.403679551508349,11.432704512712824,0.0,10943.211223844934,9207.407077247994,17.35,upper-middle,95554.41103186182,6,624.1576541510876,"(20),(21) + BERC slab bill",MB-DHNC0011-2026-06-14
DHNC0012,Dhanmondi,2026-06-14,2026-07-13,30,336.5922487652551,3083.757214777842,286.10341145046704,2581.3570064092128,502.40020836862914,16.291821092823053,50.48883731478804,49.79585950086228,1015.0785881199592,-462.8825202504677,False,0.85,30,0,604,0.0,50.48883731478827,1.3637284878893277,1.3637284878893277,0.0,True,LT-A,301-400,201-300,9.161700027526496,9.02246147056559,0.0,3046.0156734354214,2509.1814627622657,9.62,upper-middle,188456.64553100435,6,624.1576541510876,"(20),(21) + BERC slab bill",MB-DHNC0012-2026-06-14
DHNC0013,Dhanmondi,2026-06-14,2026-07-13,30,145.45964945767895,1168.2268714097847,134.21834651574605,1067.8982426530335,100.3286287567512,8.588111711184771,11.2413029419329,21.65553943024305,209.08001593258015,-87.09584774558596,False,0.9227187540747958,25,0,447,0.0,11.241302941932888,0.7146427167428703,0.7146427167428703,0.0,True,LT-A,76-200,76-200,8.031277923226927,7.956425260593948,0.0,1137.5168905485289,1027.502778235595,8.5,middle,56871.27210808263,5,624.1576541510876,"(20),(21) + BERC slab bill",MB-DHNC0013-2026-06-14
DHNC0014,Dhanmondi,2026-06-14,2026-07-13,30,316.0103882859033,2876.3008420759093,273.48196923825003,2461.200126071479,415.10071600443007,14.431755883534072,42.52841904765325,46.76243099035531,658.1447493701679,-196.28160237538253,False,0.860165114365675,30,18,566,4.152143643911811,42.528419047653216,1.6942064457208377,1.2594086752275195,25.66380098432005,True,LT-A,301-400,201-300,9.101918635262209,8.999496869672416,0.0,2860.3538852768806,2405.497818887781,9.62,middle,32958.08792034221,5,624.1576541510876,"(20),(21) + BERC slab bill",MB-DHNC0014-2026-06-14
DHNC0015,Dhanmondi,2026-06-14,2026-07-13,30,391.511785526636,3654.15054560455,332.7850176976407,3060.951463763869,593.1990818406816,16.233569866305043,58.72676782899532,57.73655046380167,1423.0256861209962,-772.0900538165129,False,0.85,30,0,470,0.0,58.72676782899542,2.502401967268412,2.502401967268412,0.0,True,LT-A,301-400,301-400,9.333436899451764,9.197984587590312,0.0,3470.6899127750235,2877.054862428733,9.62,upper-middle,86315.65832621802,4,624.1576541510876,"(20),(21) + BERC slab bill",MB-DHNC0015-2026-06-14
