date,objective_F_tk,theta1,theta2,theta3,delta_h,slots_per_day,solver,qoe_min,max_c1_slack_kw,n_c7_binding,formulation,id
2026-06-14,55811739.143501535,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,301,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-06-14
2026-06-15,56561248.191567376,1.0,1.0,1.0,0.5,48,highs,0.85,4.365574568510056e-11,302,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-06-15
2026-06-16,53177833.52185874,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,281,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-06-16
2026-06-17,57271478.39661096,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,325,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-06-17
2026-06-18,55395453.55210581,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,295,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-06-18
2026-06-19,49443310.098216966,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,265,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-06-19
2026-06-20,54746929.5449958,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,309,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-06-20
2026-06-21,57574136.312072605,1.0,1.0,1.0,0.5,48,highs,0.85,1.4551915228366852e-11,307,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-06-21
2026-06-22,55351607.305359244,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,298,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-06-22
2026-06-23,54703148.12490075,1.0,1.0,1.0,0.5,48,highs,0.85,5.820766091346741e-11,309,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-06-23
2026-06-24,57159057.57994576,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,324,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-06-24
2026-06-25,56867364.87186611,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,302,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-06-25
2026-06-26,52959712.23906861,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,292,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-06-26
2026-06-27,57547970.10694376,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,318,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-06-27
2026-06-28,59852050.844908245,1.0,1.0,1.0,0.5,48,highs,0.85,5.820766091346741e-11,336,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-06-28
2026-06-29,58717227.19353248,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,334,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-06-29
2026-06-30,58955695.46864818,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,343,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-06-30
2026-07-01,59742078.76508679,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,362,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-07-01
2026-07-02,59105429.06922354,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,359,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-07-02
2026-07-03,55630118.10496735,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,327,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-07-03
2026-07-04,57926943.35187104,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,339,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-07-04
2026-07-05,60034093.61474373,1.0,1.0,1.0,0.5,48,highs,0.85,5.820766091346741e-11,366,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-07-05
2026-07-06,59511605.787459165,1.0,1.0,1.0,0.5,48,highs,0.85,5.820766091346741e-11,363,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-07-06
2026-07-07,58907536.65513901,1.0,1.0,1.0,0.5,48,highs,0.85,5.820766091346741e-11,358,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-07-07
2026-07-08,59638548.13564732,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,340,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-07-08
2026-07-09,59044966.470955685,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,334,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-07-09
2026-07-10,56010564.24606538,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,303,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-07-10
2026-07-11,58065575.116171226,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,326,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-07-11
2026-07-12,60624991.69266807,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,340,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-07-12
2026-07-13,59968321.91598697,1.0,1.0,1.0,0.5,48,highs,0.85,2.9103830456733704e-11,338,"GenTwinSG revised, Eqs. (17)-(35)",RUN-2026-07-13
