consumer_id,date,substation,archetype,category,w_h,n_shift_slots,n_curtail_slots,energy_shifted_kwh,energy_curtailed_kwh,max_y,never_curtailed,never_shifted,participated,id
DHNC0001,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0001-2026-06-14
DHNC0002,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,5,0.0,196.20784943983438,0.414940412951751,False,True,True,PS-DHNC0002-2026-06-14
DHNC0003,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0003-2026-06-14
DHNC0004,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0004-2026-06-14
DHNC0005,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0005-2026-06-14
DHNC0006,2026-06-14,Dhanmondi,Res-C,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0006-2026-06-14
DHNC0007,2026-06-14,Dhanmondi,Res-C,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0007-2026-06-14
DHNC0008,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0008-2026-06-14
DHNC0009,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0009-2026-06-14
DHNC0010,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0010-2026-06-14
DHNC0011,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0011-2026-06-14
DHNC0012,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0012-2026-06-14
DHNC0013,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0013-2026-06-14
DHNC0014,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0014-2026-06-14
DHNC0015,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0015-2026-06-14
DHNC0016,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0016-2026-06-14
DHNC0017,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,2,0.0,629.175034486416,0.4145115255896588,False,True,True,PS-DHNC0017-2026-06-14
DHNC0018,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0018-2026-06-14
DHNC0019,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0019-2026-06-14
DHNC0020,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0020-2026-06-14
DHNC0021,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,5,0.0,610.0838950759696,0.3681283111661034,False,True,True,PS-DHNC0021-2026-06-14
DHNC0022,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0022-2026-06-14
DHNC0023,2026-06-14,Dhanmondi,Res-C,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0023-2026-06-14
DHNC0024,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0024-2026-06-14
DHNC0025,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,5,0.0,337.98631253571676,0.4066940708730502,False,True,True,PS-DHNC0025-2026-06-14
DHNC0026,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0026-2026-06-14
DHNC0027,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0027-2026-06-14
