entity_id,kind,substation,date,chi,gcs_score,pool,rank,equation,id
DHNC0194-A06,ap,Dhanmondi,2026-06-30,0.5527634352282379,0.5527634352282379,PH,1,"(49),(53)",PE-DHNC0194-A06-2026-06-30
DHNC0058-A06,ap,Dhanmondi,2026-06-30,0.5526094735431412,0.5526094735431412,PH,2,"(49),(53)",PE-DHNC0058-A06-2026-06-30
DHNC0271-A03,ap,Dhanmondi,2026-06-30,0.5524441088789704,0.5524441088789704,PH,3,"(49),(53)",PE-DHNC0271-A03-2026-06-30
DHNC0011-A04,ap,Dhanmondi,2026-06-30,0.5523474959780146,0.5523474959780146,PH,4,"(49),(53)",PE-DHNC0011-A04-2026-06-30
DHNC0038-A05,ap,Dhanmondi,2026-06-30,0.5522313544330523,0.5522313544330523,PH,5,"(49),(53)",PE-DHNC0038-A05-2026-06-30
DHNC0289-A04,ap,Dhanmondi,2026-06-30,0.5520963355563502,0.5520963355563502,PH,6,"(49),(53)",PE-DHNC0289-A04-2026-06-30
DHNC0001-A06,ap,Dhanmondi,2026-06-30,0.5519340031278251,0.5519340031278251,PH,7,"(49),(53)",PE-DHNC0001-A06-2026-06-30
DHNC0061-A05,ap,Dhanmondi,2026-06-30,0.5518911088031982,0.5518911088031982,PH,8,"(49),(53)",PE-DHNC0061-A05-2026-06-30
DHNC0063-A06,ap,Dhanmondi,2026-06-30,0.5518779966646451,0.5518779966646451,PH,9,"(49),(53)",PE-DHNC0063-A06-2026-06-30
DHNC0202-A05,ap,Dhanmondi,2026-06-30,0.5518668412404659,0.5518668412404659,PH,10,"(49),(53)",PE-DHNC0202-A05-2026-06-30
DHNC0258-A04,ap,Dhanmondi,2026-06-30,0.5517540966468107,0.5517540966468107,PH,11,"(49),(53)",PE-DHNC0258-A04-2026-06-30
DHNC0138-A06,ap,Dhanmondi,2026-06-30,0.5517522326305974,0.5517522326305974,PH,12,"(49),(53)",PE-DHNC0138-A06-2026-06-30
DHNC0021-A06,ap,Dhanmondi,2026-06-30,0.551731913349743,0.551731913349743,PH,13,"(49),(53)",PE-DHNC0021-A06-2026-06-30
DHNC0230-A04,ap,Dhanmondi,2026-06-30,0.551724988704,0.551724988704,PH,14,"(49),(53)",PE-DHNC0230-A04-2026-06-30
DHNC0081-A06,ap,Dhanmondi,2026-06-30,0.5517082560878418,0.5517082560878418,PH,15,"(49),(53)",PE-DHNC0081-A06-2026-06-30
DHNC0156-A06,ap,Dhanmondi,2026-06-30,0.5516745766911347,0.5516745766911347,PH,16,"(49),(53)",PE-DHNC0156-A06-2026-06-30
DHNC0183-A05,ap,Dhanmondi,2026-06-30,0.551656514534866,0.551656514534866,PH,17,"(49),(53)",PE-DHNC0183-A05-2026-06-30
DHNC0028-A06,ap,Dhanmondi,2026-06-30,0.5516223055574816,0.5516223055574816,PH,18,"(49),(53)",PE-DHNC0028-A06-2026-06-30
DHNC0119-A06,ap,Dhanmondi,2026-06-30,0.5516126679354457,0.5516126679354457,PH,19,"(49),(53)",PE-DHNC0119-A06-2026-06-30
DHNC0228-A03,ap,Dhanmondi,2026-06-30,0.5516105301942258,0.5516105301942258,PH,20,"(49),(53)",PE-DHNC0228-A03-2026-06-30
DHNC0261-A03,ap,Dhanmondi,2026-06-30,0.5516095153245146,0.5516095153245146,PH,21,"(49),(53)",PE-DHNC0261-A03-2026-06-30
DHNC0023-A05,ap,Dhanmondi,2026-06-30,0.5516094164568754,0.5516094164568754,PH,22,"(49),(53)",PE-DHNC0023-A05-2026-06-30
DHNC0075-A06,ap,Dhanmondi,2026-06-30,0.551608599817343,0.551608599817343,PH,23,"(49),(53)",PE-DHNC0075-A06-2026-06-30
DHNC0173-A05,ap,Dhanmondi,2026-06-30,0.5516001730580032,0.5516001730580032,PH,24,"(49),(53)",PE-DHNC0173-A05-2026-06-30
DHNC0171-A05,ap,Dhanmondi,2026-06-30,0.5515949000462327,0.5515949000462327,PH,25,"(49),(53)",PE-DHNC0171-A05-2026-06-30
DHNC0073-A06,ap,Dhanmondi,2026-06-30,0.5515827409779928,0.5515827409779928,PH,26,"(49),(53)",PE-DHNC0073-A06-2026-06-30
DHNC0123-A06,ap,Dhanmondi,2026-06-30,0.5515735661837752,0.5515735661837752,PH,27,"(49),(53)",PE-DHNC0123-A06-2026-06-30
