substation,date,r,regime_name,s_stress,trigger_capacity_deficit,trigger_transfer,trigger_reserve_shortfall,beta1,equation,computed_after_solve,id
Dhanmondi,2026-06-14,1,nominal,0,False,False,False,0.55,(48),True,REG-DHN-2026-06-14
Kalyanpur,2026-06-14,1,nominal,0,False,False,False,0.55,(48),True,REG-KLN-2026-06-14
Dhanmondi,2026-06-15,1,nominal,0,False,False,False,0.55,(48),True,REG-DHN-2026-06-15
Kalyanpur,2026-06-15,1,nominal,0,False,False,False,0.55,(48),True,REG-KLN-2026-06-15
Dhanmondi,2026-06-16,1,nominal,0,False,False,False,0.55,(48),True,REG-DHN-2026-06-16
Kalyanpur,2026-06-16,1,nominal,0,False,False,False,0.55,(48),True,REG-KLN-2026-06-16
Dhanmondi,2026-06-17,1,nominal,0,False,False,False,0.55,(48),True,REG-DHN-2026-06-17
Kalyanpur,2026-06-17,2,stressed,1,False,False,False,0.3,(48),True,REG-KLN-2026-06-17
Dhanmondi,2026-06-18,1,nominal,0,False,False,False,0.55,(48),True,REG-DHN-2026-06-18
Kalyanpur,2026-06-18,1,nominal,0,False,False,False,0.55,(48),True,REG-KLN-2026-06-18
Dhanmondi,2026-06-19,1,nominal,0,False,False,False,0.55,(48),True,REG-DHN-2026-06-19
Kalyanpur,2026-06-19,1,nominal,0,False,False,False,0.55,(48),True,REG-KLN-2026-06-19
Dhanmondi,2026-06-20,1,nominal,0,False,False,False,0.55,(48),True,REG-DHN-2026-06-20
Kalyanpur,2026-06-20,2,stressed,1,False,False,False,0.3,(48),True,REG-KLN-2026-06-20
Dhanmondi,2026-06-21,1,nominal,0,False,False,False,0.55,(48),True,REG-DHN-2026-06-21
Kalyanpur,2026-06-21,1,nominal,0,False,False,False,0.55,(48),True,REG-KLN-2026-06-21
Dhanmondi,2026-06-22,1,nominal,0,False,False,False,0.55,(48),True,REG-DHN-2026-06-22
Kalyanpur,2026-06-22,1,nominal,0,False,False,False,0.55,(48),True,REG-KLN-2026-06-22
Dhanmondi,2026-06-23,1,nominal,0,False,False,False,0.55,(48),True,REG-DHN-2026-06-23
Kalyanpur,2026-06-23,2,stressed,1,False,False,False,0.3,(48),True,REG-KLN-2026-06-23
Dhanmondi,2026-06-24,1,nominal,0,False,False,False,0.55,(48),True,REG-DHN-2026-06-24
Kalyanpur,2026-06-24,2,stressed,1,False,False,False,0.3,(48),True,REG-KLN-2026-06-24
Dhanmondi,2026-06-25,1,nominal,0,False,False,False,0.55,(48),True,REG-DHN-2026-06-25
