substation,date,varpi_tk_per_kwh,f_cost_tk,f_rel_tk,f_wel_tk,G_id_kwh,B_id_kwh,T_ijd_kwh,F_i_tk,id
Dhanmondi,2026-06-14,0.0,15767560.22148385,0.0,12790867.066358585,1877182.386350876,12000.0,0.0,28558427.28784244,SUR-Dhanmondi-2026-06-14
Kalyanpur,2026-06-14,0.0,15841445.923573654,0.0,11781820.725129824,1886525.1398776704,9000.0,0.0,27623266.64870348,SUR-Kalyanpur-2026-06-14
Dhanmondi,2026-06-15,0.0,16614822.908714663,0.0,13147221.491677182,1980312.6232079451,0.0,0.0,29762044.400391847,SUR-Dhanmondi-2026-06-15
Kalyanpur,2026-06-15,0.0,15740730.176378189,0.0,12007260.75054854,1876129.937589772,0.0,0.0,27747990.926926725,SUR-Kalyanpur-2026-06-15
Dhanmondi,2026-06-16,0.0,13287581.829680745,0.0,12843449.68004282,1583740.3849440694,0.0,0.0,26131031.509723563,SUR-Dhanmondi-2026-06-16
Kalyanpur,2026-06-16,0.0,16017123.702918498,0.0,11916101.75500842,1909073.1469509527,0.0,0.0,27933225.45792692,SUR-Kalyanpur-2026-06-16
Dhanmondi,2026-06-17,0.0,16721579.669655528,0.0,13217381.98117441,1993036.909374914,0.0,0.0,29938961.650829937,SUR-Dhanmondi-2026-06-17
Kalyanpur,2026-06-17,0.0,16379011.14093573,0.0,11990757.233172782,1952206.3338421609,0.0,0.0,28369768.374108512,SUR-Kalyanpur-2026-06-17
Dhanmondi,2026-06-18,0.0,16050393.504542235,0.0,12991488.356783492,1913038.5583483,0.0,0.0,29041881.86132573,SUR-Dhanmondi-2026-06-18
Kalyanpur,2026-06-18,0.0,15287560.178389696,0.0,11918139.163557235,1822116.8269832768,0.0,0.0,27205699.341946933,SUR-Kalyanpur-2026-06-18
Dhanmondi,2026-06-19,0.0,11090700.401280291,0.0,12363716.461907228,1321895.1610584375,0.0,0.0,23454416.86318752,SUR-Dhanmondi-2026-06-19
Kalyanpur,2026-06-19,0.0,14648629.225665225,0.0,11531709.808244688,1745962.9589589064,0.0,0.0,26180339.03390991,SUR-Kalyanpur-2026-06-19
Dhanmondi,2026-06-20,0.0,14370300.926893571,0.0,13360047.618578589,1712789.1450409505,0.0,0.0,27730348.54547216,SUR-Dhanmondi-2026-06-20
Kalyanpur,2026-06-20,0.0,16577048.911750596,0.0,12199280.259507235,1975810.3589690817,0.0,0.0,28776329.17125783,SUR-Kalyanpur-2026-06-20
Dhanmondi,2026-06-21,0.0,17609981.325678,0.0,13265659.501918228,2098925.068614779,0.0,0.0,30875640.827596225,SUR-Dhanmondi-2026-06-21
Kalyanpur,2026-06-21,0.0,16168397.161297671,0.0,12110524.524099132,1927103.356531308,0.0,0.0,28278921.685396805,SUR-Kalyanpur-2026-06-21
Dhanmondi,2026-06-22,0.0,15678877.325638346,0.0,12864543.146556972,1868757.726536156,0.0,0.0,28543420.47219532,SUR-Dhanmondi-2026-06-22
Kalyanpur,2026-06-22,0.0,15580781.659200678,0.0,11839921.811857194,1857065.7519905453,0.0,0.0,27420703.47105787,SUR-Kalyanpur-2026-06-22
Dhanmondi,2026-06-23,0.0,14010316.538420592,0.0,13146021.712400544,1669882.7816949452,0.0,0.0,27156338.250821136,SUR-Dhanmondi-2026-06-23
Kalyanpur,2026-06-23,0.0,16780577.477271423,0.0,12044084.59472216,2000068.829233781,0.0,0.0,28824662.071993586,SUR-Kalyanpur-2026-06-23
Dhanmondi,2026-06-24,0.0,16456421.393826116,0.0,13108607.546399768,1961432.824055556,0.0,0.0,29565028.940225884,SUR-Dhanmondi-2026-06-24
Kalyanpur,2026-06-24,0.0,16654948.828581436,0.0,11878644.901615866,1985095.211988252,0.0,0.0,28533593.730197303,SUR-Kalyanpur-2026-06-24
Dhanmondi,2026-06-25,0.0,16702407.69488874,0.0,13249525.312922131,1990751.8110713635,0.0,0.0,29951933.00781087,SUR-Dhanmondi-2026-06-25
Kalyanpur,2026-06-25,0.0,16176081.922331698,0.0,12116326.364971029,1928019.2994435872,0.0,0.0,28292408.287302725,SUR-Kalyanpur-2026-06-25
Dhanmondi,2026-06-26,0.0,11816324.257327974,0.0,13108929.897876834,1408381.9138650745,0.0,0.0,24925254.15520481,SUR-Dhanmondi-2026-06-26
Kalyanpur,2026-06-26,0.0,17177960.257720783,0.0,12081798.53660997,2047432.6886437167,0.0,0.0,29259758.794330757,SUR-Kalyanpur-2026-06-26
Dhanmondi,2026-06-27,0.0,15786880.035434414,0.0,13721931.773936337,1881630.516738309,0.0,0.0,29508811.80937075,SUR-Dhanmondi-2026-06-27
Kalyanpur,2026-06-27,0.0,17566022.28745542,0.0,12494861.65468259,2093685.6123308009,0.0,0.0,30060883.94213801,SUR-Kalyanpur-2026-06-27
Dhanmondi,2026-06-28,0.0,17528538.708362486,0.0,13560683.37062932,2089217.962856077,0.0,0.0,31089222.078991808,SUR-Dhanmondi-2026-06-28
