src_label,src,type,dst_label,dst,rank
Substation,Dhanmondi,HAS_TOU_WINDOW,TouWindow,TOU-Dhanmondi,
Substation,Kalyanpur,HAS_TOU_WINDOW,TouWindow,TOU-Kalyanpur,
Substation,Dhanmondi,CONNECTS,TieLine,TL-Dhanmondi-Kalyanpur,
TieLine,TL-Dhanmondi-Kalyanpur,CONNECTS,Substation,Kalyanpur,
Substation,Kalyanpur,CONNECTS,TieLine,TL-Kalyanpur-Dhanmondi,
TieLine,TL-Kalyanpur-Dhanmondi,CONNECTS,Substation,Dhanmondi,
Archetype,Res-A,SUBJECT_TO,TariffClass,LT-A,
Archetype,Res-B,SUBJECT_TO,TariffClass,LT-A,
Archetype,Res-C,SUBJECT_TO,TariffClass,LT-A,
Archetype,Commercial,SUBJECT_TO,TariffClass,LT-E,
Archetype,Industrial,SUBJECT_TO,TariffClass,LT-C1,
Archetype,Hospital,SUBJECT_TO,TariffClass,LT-D1,
Archetype,Educational,SUBJECT_TO,TariffClass,LT-D1,
Archetype,Government,SUBJECT_TO,TariffClass,LT-E,
TimeSlot,2026-06-30-S00,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S01,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S02,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S03,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S04,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S05,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S06,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S07,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S08,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S09,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S10,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S11,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S12,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S13,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S14,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S15,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S16,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S17,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S18,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S19,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S20,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S21,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S22,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S23,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S24,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S25,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S26,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S27,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S28,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S29,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S30,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S31,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S32,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S33,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S34,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S35,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S36,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S37,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S38,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S39,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S40,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S41,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S42,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S43,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S44,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S45,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S46,AT_DAY,Day,2026-06-30,
TimeSlot,2026-06-30-S47,AT_DAY,Day,2026-06-30,
TimeSlot,2026-07-01-S00,AT_DAY,Day,2026-07-01,
TimeSlot,2026-07-01-S01,AT_DAY,Day,2026-07-01,
TimeSlot,2026-07-01-S02,AT_DAY,Day,2026-07-01,
TimeSlot,2026-07-01-S03,AT_DAY,Day,2026-07-01,
TimeSlot,2026-07-01-S04,AT_DAY,Day,2026-07-01,
