slot,clock,theta_c,lambda_kw,critical_kw,shiftable_kw,curtailable_kw,cat_Residential_kw,cat_Commercial_kw,cat_Industrial_kw,cat_Hospital_kw,cat_Educational_kw,cat_Government_kw
0,00:00,27.563958309530364,49316.722669706025,21777.902496368726,726.4001125593601,26812.420060777942,30432.710542753364,6502.263497658334,259.48621424078385,7431.2256723460305,1942.6075019641978,2748.4292407433036
1,00:30,27.41743613472211,54510.39339365711,21492.14970117877,470.92358176480747,32547.320110713532,36100.076852252474,7264.08434860846,218.2063685890066,6910.560486698094,1688.7081955258172,2328.7571419832325
2,01:00,27.28543021732216,53180.19851693585,22171.405750520702,396.77206346563975,30612.02070294951,31955.854823090354,9026.177709934513,535.0787483430502,7788.859699986374,1277.7854380328863,2596.4420975486514
3,01:30,27.166502401437594,57368.374448204886,21993.0231458853,469.54935776668617,34905.8019445529,38059.72986513334,7850.072251037365,226.02851325301432,7670.271768125759,1294.1687188057963,2268.1033318496184
4,02:00,27.059357012278863,53461.30539374259,21629.849908210155,476.30665806825823,31355.148827464174,32979.24239258441,8801.19726218881,345.162901428981,7432.17292087231,1346.4296975480497,2557.100219120018
5,02:30,26.96282674025975,53092.64849119035,21744.70785565275,389.1452201461792,30958.79541539143,33803.86118761367,7241.43936881272,97.81859202107817,7784.8691180364185,2370.2285443133273,1794.4316803931072
6,03:00,26.875859923588997,51119.29206080217,21384.51051030406,399.9507580315967,29334.830792466517,33000.0616893408,6866.042431271601,192.84802544370933,7485.838115784375,1032.285985379548,2542.215813582127
7,03:30,26.797509090802087,51630.238365209276,22035.592494446093,630.4190580585249,28964.22681270466,32647.72208889017,7574.080559545555,328.9773201131881,7230.317571380247,1962.2914017091425,1886.849423570969
8,04:00,26.726920638408306,53222.500348673035,21599.689803426354,999.4190592256477,30623.39148602103,31437.042650649208,10009.440609581145,342.34584477757653,7426.57071894608,2066.8448574318318,1940.2556672871833
9,04:30,26.663325531194822,54948.54586751597,22430.37047905738,1076.3657092176923,31441.809679240898,32937.99718646345,9737.53308768805,337.16245185238915,7522.673816570032,1614.9795514452553,2798.199773496801
10,05:00,26.60603092387105,69847.63156499155,21495.42672852621,12708.75891969177,35643.44591677357,44027.469516745274,10682.6100513876,259.55188945718965,7659.1313457564875,4551.2135634736405,2667.6551981713487
11,05:30,26.695371407603837,68346.30919619554,21416.625948085137,15235.112027577887,31694.571220532518,42636.443824841735,11232.772086803088,507.2856743124323,7434.924999010976,3458.1321302256683,3076.7504810016208
12,06:00,27.328559621764764,68681.8961366794,21247.80798573323,26110.147700608588,21323.94045033758,47342.294460101846,8808.816538291623,486.75343233235026,7146.906257289347,2624.45066505347,2272.674783610755
13,06:30,27.951685644088606,81095.83166437817,21600.665439206685,34732.64741817653,24762.518806994958,57554.73184885543,10651.909718978346,521.4699280812024,6989.234122571433,3346.745675551958,2031.74037033982
14,07:00,28.559707432290253,78482.5572079258,21707.256273859908,29336.01376489637,27439.287169169525,52766.27323896785,10847.364790473579,337.16897558312905,8231.359929330416,3193.733350274504,3106.6569232963006
15,07:30,29.14770516043312,95039.55260838728,22516.129598627314,27042.07964546955,45481.34336429043,56697.34445362591,11633.61718976539,586.0508878975288,8545.723553164782,15276.978150741297,2299.838373192417
16,08:00,29.71092102784345,83943.28981060877,22790.29682595278,17283.625528268913,43869.36745638707,49660.98494159393,6594.620797044181,1542.8926403355688,8946.899590651557,15505.450859256618,1692.4409817269016
17,08:30,30.244797756992472,83693.92514769753,23254.233460500378,19784.527023881146,40655.16466331602,46566.23929132038,8805.506146468113,1709.536597481649,9013.075841843087,15381.086107998653,2218.481162585615
18,09:00,30.745015468839714,106426.55145496843,23975.2360363951,12998.253859808465,69453.06155876486,43270.46649366043,29376.980492321665,1691.9215388218488,9480.81206136,14787.375946416363,7818.994922388111
19,09:30,31.207526637259566,102753.44568172815,24182.325902338038,7364.875241281206,71206.2445381089,38169.16424968452,28843.82239491195,1348.7248295216032,9144.864320679677,15697.208683547131,9549.661203383252
20,10:00,31.628588839716357,104538.07539003753,24734.087570539763,5888.747085196757,73915.24073430101,39608.21440704433,29446.663568376094,1786.6696324960349,8896.50940202027,16615.64287662669,8184.375503474118
21,10:30,32.00479503918484,101097.95577408696,24861.439231411037,6380.4938807608905,69856.02266191503,37940.63644981617,28172.38737718252,1541.6031867844604,9977.745941679757,15972.979360971769,7492.603457652245
22,11:00,32.33310115228912,112186.17244747364,24803.255527384827,15298.638739443397,72084.27818064541,38835.19609958192,34843.6068607186,1841.1859589881064,9526.81514966163,17432.844709722347,9706.523668800992
23,11:30,32.61085068059158,118729.198878499,24307.021615332902,12108.647598764463,82313.52966440163,42765.62678548454,39213.01017627083,1765.6681218993795,9316.1117950657,16723.210292361204,8945.571707417275
24,12:00,32.83579620572711,128849.91720525193,24630.53413345369,15389.769992615691,88829.61307918254,53875.94144994385,37168.45925961389,2008.3547434960847,9415.270960162607,16500.33422108979,9881.55657094572
25,12:30,33.00611757445387,128997.39632021324,24997.741583943603,17582.30358204376,86417.35115422588,56887.309884034694,37627.343108248795,1868.7027410691112,9644.612282214906,14507.521563922286,8461.906740723485
26,13:00,33.12043662647618,130444.03115814472,24687.215775875848,7683.039438984477,98073.77594328439,58711.41653477172,35253.792010288686,1469.8803896604923,9709.951894468133,16272.029131781632,9026.961197174076
27,13:30,33.17782834586846,124168.6618280214,25027.92926165509,8020.129281833392,91120.60328453293,52206.5986567235,36202.98375476484,1668.2288534787442,9243.959350686615,17329.8218220177,7517.06939034997
28,14:00,33.17782834586846,114700.65177762939,24342.413946401004,2733.159424250839,87625.07840697755,46120.849062840985,33640.157949428096,1698.265473921948,9466.701878346516,15384.428176464513,8390.24923662732
29,14:30,33.12043662647618,119981.06420294245,24340.77016567761,2812.9027475502917,92827.39128971455,48773.631894442144,33907.55286205002,1830.6276761002869,9544.31565288187,16985.136756177,8939.799361291116
30,15:00,33.00611757445387,115342.26676819565,24885.03885254618,2830.4988171785735,87626.7290984709,46057.03000665997,36077.068132564906,1854.2670968189925,9465.56882475782,14373.027032077125,7515.305675316833
31,15:30,32.83579620572711,111769.25915915098,24275.124904888635,2347.0607914932652,85147.07346276908,46512.63806271473,33737.85175071858,1519.0277023884585,9725.54461839027,12273.056343269847,8001.140681669089
32,16:00,32.61085068059158,108781.18289816439,24824.82752524419,2635.3344945381796,81321.02087838203,45879.48917621097,33362.872308104,1715.1034794621007,9069.68244156036,10388.717376737146,8365.318116089778
33,16:30,32.33310115228912,106000.03289253903,24671.980440489817,3461.1213381358825,77866.93111391334,43647.096184645234,34479.39888109414,1929.1729312427287,9007.411197293646,9041.941383197776,7895.012315065411
34,17:00,32.00479503918484,123728.33217788658,24329.23850134361,21416.82758315313,77982.26609338984,59858.147187848735,35722.57227594957,1963.0988292203565,8977.94138956202,11362.4397826128,5844.132712693148
35,17:30,31.628588839716357,125650.24587129027,24607.089378104167,21908.040319883927,79135.11617330217,63185.71050532669,35883.23775945415,1946.3845819760281,8909.695063307869,10098.916362283026,5626.30159894251
36,18:00,31.207526637259566,125927.0990311915,23951.501764755532,15396.292690804414,86579.30457563156,65310.19786528377,36058.48399202987,597.0934965155432,8794.173110881788,9476.761221184595,5690.389345295952
37,18:30,30.7447520199074,136499.99999999994,22984.435526076082,34060.79415673103,79454.77031719284,78713.47874986159,36388.96433572466,356.0388827573163,9025.792849947396,8582.320262629748,3433.4049190792916
38,19:00,30.28310197914315,127477.79958620554,23519.26089337365,16417.33611029641,87541.20258253548,74301.12780511736,34164.565368600204,352.19572570900675,8584.954010363137,7671.807879453017,2403.1487969627697
39,19:30,29.867188570619444,130278.56584129922,22975.34494638455,21355.025761406243,85948.19513350843,79852.42678746207,31839.543040094904,137.73827529273126,8789.764254831993,7693.905282885789,1965.1882007316754
40,20:00,29.492480570803306,131888.66005800298,23147.39442186605,21491.533610311264,87249.73202582565,80125.09378719576,32998.39206929719,150.19416798838367,7739.152985681532,7327.698235035884,3548.1288128042147
41,20:30,29.154895673926372,116233.78443179256,23233.807529819358,10106.66224397004,82893.31465800316,65410.07326408667,31684.981549821165,247.64721384870398,8123.914777518969,8045.932762294162,2721.2348642228367
42,21:00,28.850756016765786,101185.9254822346,23017.775936083824,10360.688906416986,67807.46063973378,61012.89110310487,26704.257673494354,455.7491696904599,7738.2890514403925,2606.162443463318,2668.576041041158
43,21:30,28.576748109677805,91459.3816711118,23290.491142663213,1151.3304932440483,67017.56003520453,53022.08421717541,25161.231789597616,453.5913861361412,7750.998029310169,2924.9671944637657,2146.5090544286395
44,22:00,28.329886737347486,93729.9383564278,22068.086091020537,836.1975088614914,70825.65475654576,55059.42694604305,25772.05337071461,347.9593549370205,7758.79688610368,2159.9845281518137,2631.7172704775658
45,22:30,28.107482435966354,73423.0091279241,21736.6710477207,483.26154837750306,51203.07653182589,51993.75956922526,8008.026605157224,329.16539743408356,7825.725828856351,2973.692938549634,2292.638788701501
46,23:00,27.907112192513914,61666.78562337005,22240.81445924532,676.162427125525,38749.808736999206,39247.98482283483,9461.141309023025,536.2905562784925,7863.44847184777,1631.2809045059541,2926.639558879998
47,23:30,27.726593046922442,63398.55137924111,21874.00364524461,515.7017615438316,41008.84597245267,42153.69192746453,8259.886817051223,738.5751541967729,7677.423973830513,2071.298114451642,2497.675392246402
