slot,clock,theta_c,lambda_kw,critical_kw,shiftable_kw,curtailable_kw,cat_Residential_kw,cat_Commercial_kw,cat_Industrial_kw,cat_Hospital_kw,cat_Educational_kw,cat_Government_kw
0,00:00,27.563958309530364,58240.00375230178,24502.313838143917,334.0533329665762,33403.63658119129,48404.89055709664,3753.720417280545,1786.0906898791854,2475.2944957999525,630.2230936518405,1189.7844985936374
1,00:30,27.41743613472211,55857.92458930862,25617.00147659145,426.0125014167943,29814.910611300376,46071.22680757602,3538.8015547008104,1806.2784274987114,2606.0625057645857,616.333480179549,1219.2218135889484
2,01:00,27.28543021732216,62540.94170132354,23777.614290759597,739.3779411965912,38023.949469367355,53045.160041393174,4108.4360225918235,828.8080376489847,2668.35261679756,819.7777675729859,1070.4072153189195
3,01:30,27.166502401437594,53021.88861018223,24700.59384993408,282.17903439912914,28039.115725849017,41111.074005666786,6399.997727383464,617.6783771797645,2574.326658507277,1098.1576911909485,1220.65415025401
4,02:00,27.059357012278863,54681.12831236705,24611.433883606987,312.5218370092178,29757.172591750845,44243.444851527805,4200.783127727286,1307.505866290734,2571.9247497373317,748.5753478827257,1608.8943692011662
5,02:30,26.96282674025975,59639.95924762008,23999.946766901212,667.1892303310244,34972.823250387846,50211.35529018452,3893.333582578429,1102.10946548095,2410.864134729233,554.2856224362253,1468.0111522106945
6,03:00,26.875859923588997,54511.59406889329,24804.037421715595,340.1567698955961,29367.3998772821,42617.49825102347,4812.547104764583,1574.6279151201109,2759.4020521252924,1735.8748535164389,1011.6438923433766
7,03:30,26.797509090802087,49223.18141082471,24040.979813270234,271.8886042088184,24910.31299334566,38867.75265649558,4515.383126810103,872.6162499954287,2783.688047702354,848.8178330984667,1334.9234967227612
8,04:00,26.726920638408306,56278.60285353204,24662.89432775064,269.77588335180394,31345.932642429594,45267.927077630484,4887.749928353206,1808.0637797148365,2528.004058369808,631.4557717957705,1155.4022376679914
9,04:30,26.663325531194822,51343.832269504914,24336.157628999852,727.5802257734588,26280.094414731604,40902.38703645771,4309.075280950275,1170.9460653318329,2550.6353339376865,1136.327106797366,1274.4614460300074
10,05:00,26.60603092387105,69146.99526650435,23929.680915173427,21246.344273717983,23970.97007761294,55558.85045374315,6619.009730865208,1353.2746714729176,2523.114951854331,1721.6809417450113,1371.064516823732
11,05:30,26.695371407603837,79672.98053215563,23561.466992456262,20870.89137256462,35240.62216713476,63726.54616548751,8352.218810961322,1344.9449504317508,2781.0831064881413,2087.0268215721476,1381.1606772147393
12,06:00,27.328559621764764,85016.93664700129,24591.013480368572,26577.83756208282,33848.085604549895,68869.11492471147,6810.622592879817,2449.056485152607,2600.5823928396294,2589.583387154001,1697.9768642637316
13,06:30,27.951685644088606,92114.9321149184,24994.484571002733,42980.84451893354,24139.603024982127,76170.34614114743,7968.398184440875,2653.9772397596644,2859.38158841732,1142.2100245095544,1320.6189366435945
14,07:00,28.559707432290253,96273.97201893746,24949.738057082228,42847.14356367918,28477.090398176057,80964.04914476487,7291.7663779050845,1922.6792203405341,2713.6429275396395,1837.6957927418277,1544.1385556454738
15,07:30,29.14770516043312,105295.92931568186,24277.21588199566,37713.99102099101,43304.7224126952,81658.36709586754,8146.194775596098,1564.006427990106,2853.24889831447,8200.596243060865,2873.5158748527347
16,08:00,29.71092102784345,90318.17719976118,27731.42584291824,21650.705299469042,40936.046057373904,64861.438296271954,4388.697613454412,6912.594721397501,3069.1474664113684,9949.895216632674,1136.4038855932736
17,08:30,30.244797756992472,88806.44200845456,28217.366702043568,22399.535668435205,38189.539637975795,62799.34826692126,7757.212091153296,6807.708880050992,3032.8169548064725,7008.0350299587735,1401.3207855637756
18,09:00,30.745015468839714,103107.22376936048,28953.526548427533,21100.650423733445,53053.04679719952,55388.21309930858,23294.163619828763,7027.626084213567,3386.607053498875,8965.437226680639,5045.176685830002
19,09:30,31.207526637259566,101619.67831727448,28891.112517360554,11032.59519476832,61695.9706051456,54994.62470645626,22635.045981298146,7137.530508272425,3216.9193529662357,8572.13736498547,5063.42040329591
20,10:00,31.628588839716357,101110.86693499883,28863.30509600324,9003.1100657204,63244.4517732752,53620.04206596404,22318.31213308638,6981.723798302437,2976.5738939001476,10054.73115991062,5159.483883835148
21,10:30,32.00479503918484,100926.22268738289,28629.182063100478,9480.867989171342,62816.17263511106,55959.96395823029,20293.607296859584,6932.634759158822,3494.729010424402,8813.622760277385,5431.664902432422
22,11:00,32.33310115228912,103993.08846882361,29430.40372569632,15562.130318618794,59000.554424508504,52526.40391110437,26397.33480225091,7288.174698447307,3268.43518455401,8299.665246494802,6213.0746259722755
23,11:30,32.61085068059158,113763.49017281976,29460.93911951992,17214.96101862342,67087.59003467641,59604.84157171593,27285.775382456868,8044.017687785021,3295.745552431575,9747.020244329837,5786.089734100506
24,12:00,32.83579620572711,122230.71373964183,27857.34822532269,21802.604770209542,72570.76074410959,69783.21782355368,26611.62407010834,6536.323014538108,3147.6615141607735,9953.79806818013,6198.089249100828
25,12:30,33.00611757445387,124359.62019253442,29853.8636130444,22400.917868188506,72104.83871130152,70665.12851397907,28064.956542453052,7954.83013245418,3096.8570351580533,7919.265409079295,6658.582559410718
26,13:00,33.12043662647618,119287.46068954899,27782.11264451614,11228.131995457461,80277.21604957538,71327.27967399437,28688.03113015372,5172.66770723677,2895.06776322478,6843.692422020671,4360.721992918596
27,13:30,33.17782834586846,127258.15766916922,29281.080618445438,7819.059698590353,90158.01735213344,75671.8387971752,28072.923568225164,5604.901049372981,3267.225852083453,9277.717624834338,5363.550777478062
28,14:00,33.17782834586846,117846.50208494253,30270.37453617821,2310.051148532252,85266.07640023208,66083.66287468052,25564.68755699928,7777.166856068187,3287.529228320979,10031.580608664748,5101.874960208919
29,14:30,33.12043662647618,108117.52225750778,28721.206788157524,1919.9381510369274,77476.37731831333,58656.927670485544,24332.656400547166,6590.953595593733,3624.2730396938246,9216.836927855791,5695.8746233317115
30,15:00,33.00611757445387,111508.42171499965,28520.74228405731,2318.064266448384,80669.61516449395,59206.193671261804,26862.411269232405,7334.005933704745,3028.3002852500276,8994.516497577311,6082.994057973399
31,15:30,32.83579620572711,103586.97200763374,28916.66249276084,1837.852942143265,72832.45657272964,58707.6475015638,24356.905328867768,6708.9832456228605,2831.063043080938,6508.37901538241,4473.993873115979
32,16:00,32.61085068059158,95698.47207940604,28983.38058923307,2550.324867217581,64164.76662295539,52560.78388790893,23456.188608831602,6973.12390496835,3033.3491929769607,5323.961586734303,4351.064897985862
