date,consumer_id,slot,clock,var,value
2026-06-30,DHNC0209,25,12:30,x,1.0
2026-06-30,DHNC0209,26,13:00,x,1.0
2026-06-30,DHNC0213,24,12:00,x,1.0
2026-06-30,DHNC0213,25,12:30,x,1.0
2026-06-30,DHNC0216,24,12:00,x,1.0
2026-06-30,DHNC0218,24,12:00,x,1.0
2026-06-30,DHNC0218,25,12:30,x,1.0
2026-06-30,DHNC0219,24,12:00,x,1.0
2026-06-30,DHNC0219,25,12:30,x,1.0
2026-06-30,DHNC0240,24,12:00,x,1.0
2026-06-30,DHNC0240,25,12:30,x,1.0
2026-06-30,DHNC0240,26,13:00,x,0.831734028979825
2026-06-30,DHNC0250,24,12:00,x,1.0
2026-06-30,DHNC0250,25,12:30,x,1.0
2026-06-30,DHNC0256,24,12:00,x,1.0
2026-06-30,DHNC0256,25,12:30,x,1.0
2026-06-30,DHNC0256,26,13:00,x,1.0
2026-06-30,DHNC0256,27,13:30,x,1.0
2026-06-30,DHNC0256,28,14:00,x,1.0
2026-06-30,DHNC0263,24,12:00,x,1.0
2026-06-30,DHNC0263,25,12:30,x,1.0
2026-06-30,DHNC0264,24,12:00,x,1.0
2026-06-30,DHNC0264,25,12:30,x,1.0
2026-06-30,DHNC0265,24,12:00,x,1.0
2026-06-30,DHNC0265,25,12:30,x,1.0
2026-06-30,DHNC0268,24,12:00,x,1.0
2026-06-30,DHNC0268,25,12:30,x,1.0
2026-06-30,DHNC0270,25,12:30,x,1.0
2026-06-30,DHNC0270,27,13:30,x,1.0
2026-06-30,DHNC0270,28,14:00,x,1.0
2026-06-30,DHNC0276,25,12:30,x,1.0
2026-06-30,DHNC0278,24,12:00,x,1.0
2026-06-30,DHNC0282,25,12:30,x,1.0
2026-06-30,DHNC0283,24,12:00,x,1.0
2026-06-30,DHNC0283,25,12:30,x,1.0
2026-06-30,DHNC0288,24,12:00,x,1.0
2026-06-30,DHNC0288,25,12:30,x,1.0
2026-06-30,DHNC0288,27,13:30,x,1.0
2026-06-30,DHNC0288,28,14:00,x,1.0
2026-06-30,DHNC0289,24,12:00,x,1.0
2026-06-30,DHNC0289,25,12:30,x,1.0
2026-06-30,DHNC0289,26,13:00,x,1.0
2026-06-30,DHNC0289,27,13:30,x,1.0
2026-06-30,DHNC0289,28,14:00,x,1.0
2026-06-30,DHNC0296,24,12:00,x,1.0
2026-06-30,DHNC0296,25,12:30,x,1.0
2026-06-30,DHNC0302,25,12:30,x,1.0
2026-06-30,DHNC0302,26,13:00,x,1.0
2026-06-30,DHNC0302,27,13:30,x,1.0
2026-06-30,DHNC0302,28,14:00,x,1.0
2026-06-30,DHNC0303,24,12:00,x,1.0
2026-06-30,DHNC0303,25,12:30,x,1.0
2026-06-30,DHNC0303,28,14:00,x,1.0
2026-06-30,DHNC0305,24,12:00,x,1.0
2026-06-30,DHNC0305,25,12:30,x,1.0
2026-06-30,DHNC0307,25,12:30,x,1.0
2026-06-30,DHNC0308,24,12:00,x,1.0
2026-06-30,DHNC0308,25,12:30,x,1.0
2026-06-30,DHNC0308,26,13:00,x,1.0
2026-06-30,DHNC0308,27,13:30,x,1.0
2026-06-30,DHNC0385,25,12:30,x,1.0
2026-06-30,KLNC0275,37,18:30,x,1.0
2026-06-30,KLNC0276,37,18:30,x,1.0
2026-06-30,KLNC0281,36,18:00,x,1.0
2026-06-30,KLNC0281,37,18:30,x,1.0
2026-06-30,KLNC0291,36,18:00,x,1.0
2026-06-30,KLNC0291,37,18:30,x,1.0
2026-06-30,KLNC0298,36,18:00,x,1.0
2026-06-30,KLNC0298,37,18:30,x,1.0
2026-06-30,KLNC0298,38,19:00,x,1.0
2026-06-30,KLNC0298,39,19:30,x,1.0
2026-06-30,KLNC0298,41,20:30,x,1.0
2026-06-30,KLNC0307,36,18:00,x,1.0
2026-06-30,KLNC0307,37,18:30,x,1.0
2026-06-30,KLNC0307,38,19:00,x,1.0
2026-06-30,KLNC0307,39,19:30,x,1.0
2026-06-30,KLNC0307,40,20:00,x,1.0
2026-06-30,KLNC0307,41,20:30,x,1.0
2026-06-30,KLNC0308,36,18:00,x,1.0
2026-06-30,KLNC0308,37,18:30,x,1.0
2026-06-30,KLNC0308,39,19:30,x,1.0
2026-06-30,KLNC0308,40,20:00,x,1.0
2026-06-30,KLNC0308,41,20:30,x,1.0
2026-06-30,KLNC0310,36,18:00,x,1.0
2026-06-30,KLNC0310,37,18:30,x,1.0
2026-06-30,KLNC0320,36,18:00,x,1.0
2026-06-30,KLNC0323,36,18:00,x,1.0
2026-06-30,KLNC0323,37,18:30,x,1.0
2026-06-30,KLNC0323,38,19:00,x,1.0
2026-06-30,KLNC0323,39,19:30,x,1.0
2026-06-30,KLNC0323,40,20:00,x,1.0
2026-06-30,KLNC0323,41,20:30,x,1.0
2026-06-30,KLNC0324,36,18:00,x,1.0
2026-06-30,KLNC0324,37,18:30,x,1.0
2026-06-30,KLNC0326,36,18:00,x,1.0
2026-06-30,KLNC0326,37,18:30,x,1.0
2026-06-30,KLNC0326,38,19:00,x,1.0
2026-06-30,KLNC0326,39,19:30,x,1.0
2026-06-30,KLNC0326,40,20:00,x,1.0
