date,consumer_id,slot,clock,var,value
2026-06-14,DHNC0209,25,12:30,x,1.0
2026-06-14,DHNC0209,26,13:00,x,1.0
2026-06-14,DHNC0213,24,12:00,x,1.0
2026-06-14,DHNC0213,25,12:30,x,1.0
2026-06-14,DHNC0216,24,12:00,x,1.0
2026-06-14,DHNC0218,24,12:00,x,1.0
2026-06-14,DHNC0218,25,12:30,x,1.0
2026-06-14,DHNC0219,24,12:00,x,1.0
2026-06-14,DHNC0219,25,12:30,x,1.0
2026-06-14,DHNC0221,24,12:00,x,1.0
2026-06-14,DHNC0221,25,12:30,x,1.0
2026-06-14,DHNC0221,26,13:00,x,1.0
2026-06-14,DHNC0221,27,13:30,x,1.0
2026-06-14,DHNC0221,28,14:00,x,1.0
2026-06-14,DHNC0225,24,12:00,x,1.0
2026-06-14,DHNC0225,25,12:30,x,1.0
2026-06-14,DHNC0225,26,13:00,x,1.0
2026-06-14,DHNC0225,27,13:30,x,1.0
2026-06-14,DHNC0225,28,14:00,x,1.0
2026-06-14,DHNC0227,24,12:00,x,1.0
2026-06-14,DHNC0227,25,12:30,x,1.0
2026-06-14,DHNC0227,26,13:00,x,1.0
2026-06-14,DHNC0227,27,13:30,x,1.0
2026-06-14,DHNC0227,28,14:00,x,1.0
2026-06-14,DHNC0240,24,12:00,x,1.0
2026-06-14,DHNC0240,25,12:30,x,0.831734028979825
2026-06-14,DHNC0240,26,13:00,x,1.0
2026-06-14,DHNC0242,24,12:00,x,1.0
2026-06-14,DHNC0242,25,12:30,x,1.0
2026-06-14,DHNC0242,26,13:00,x,1.0
2026-06-14,DHNC0242,27,13:30,x,1.0
2026-06-14,DHNC0242,28,14:00,x,1.0
2026-06-14,DHNC0248,24,12:00,x,1.0
2026-06-14,DHNC0248,25,12:30,x,1.0
2026-06-14,DHNC0250,24,12:00,x,1.0
2026-06-14,DHNC0250,25,12:30,x,1.0
2026-06-14,DHNC0256,24,12:00,x,1.0
2026-06-14,DHNC0256,25,12:30,x,1.0
2026-06-14,DHNC0256,26,13:00,x,1.0
2026-06-14,DHNC0256,27,13:30,x,1.0
2026-06-14,DHNC0256,28,14:00,x,1.0
2026-06-14,DHNC0263,24,12:00,x,1.0
2026-06-14,DHNC0263,25,12:30,x,1.0
2026-06-14,DHNC0264,24,12:00,x,1.0
2026-06-14,DHNC0264,25,12:30,x,1.0
2026-06-14,DHNC0265,24,12:00,x,1.0
2026-06-14,DHNC0265,25,12:30,x,1.0
2026-06-14,DHNC0268,24,12:00,x,1.0
2026-06-14,DHNC0268,25,12:30,x,1.0
2026-06-14,DHNC0270,25,12:30,x,1.0
2026-06-14,DHNC0270,27,13:30,x,1.0
2026-06-14,DHNC0270,28,14:00,x,1.0
2026-06-14,DHNC0276,25,12:30,x,1.0
2026-06-14,DHNC0278,24,12:00,x,1.0
2026-06-14,DHNC0282,25,12:30,x,1.0
2026-06-14,DHNC0283,24,12:00,x,1.0
2026-06-14,DHNC0283,25,12:30,x,1.0
2026-06-14,DHNC0285,24,12:00,x,1.0
2026-06-14,DHNC0285,27,13:30,x,1.0
2026-06-14,DHNC0285,28,14:00,x,1.0
2026-06-14,DHNC0288,24,12:00,x,1.0
2026-06-14,DHNC0288,25,12:30,x,1.0
2026-06-14,DHNC0288,27,13:30,x,1.0
2026-06-14,DHNC0288,28,14:00,x,1.0
2026-06-14,DHNC0289,24,12:00,x,1.0
2026-06-14,DHNC0289,25,12:30,x,1.0
2026-06-14,DHNC0289,26,13:00,x,1.0
2026-06-14,DHNC0289,27,13:30,x,1.0
2026-06-14,DHNC0289,28,14:00,x,1.0
2026-06-14,DHNC0296,24,12:00,x,1.0
2026-06-14,DHNC0296,25,12:30,x,1.0
2026-06-14,DHNC0302,25,12:30,x,1.0
2026-06-14,DHNC0302,26,13:00,x,1.0
2026-06-14,DHNC0302,27,13:30,x,1.0
2026-06-14,DHNC0302,28,14:00,x,1.0
2026-06-14,DHNC0303,24,12:00,x,1.0
2026-06-14,DHNC0303,25,12:30,x,1.0
2026-06-14,DHNC0303,28,14:00,x,1.0
2026-06-14,DHNC0305,24,12:00,x,1.0
2026-06-14,DHNC0305,25,12:30,x,1.0
2026-06-14,DHNC0307,25,12:30,x,1.0
2026-06-14,DHNC0308,24,12:00,x,1.0
2026-06-14,DHNC0308,25,12:30,x,1.0
2026-06-14,DHNC0308,26,13:00,x,1.0
2026-06-14,DHNC0308,27,13:30,x,1.0
2026-06-14,DHNC0385,25,12:30,x,1.0
2026-06-14,KLNC0275,37,18:30,x,1.0
2026-06-14,KLNC0276,37,18:30,x,1.0
2026-06-14,KLNC0277,36,18:00,x,1.0
2026-06-14,KLNC0277,37,18:30,x,1.0
2026-06-14,KLNC0281,36,18:00,x,1.0
2026-06-14,KLNC0281,37,18:30,x,1.0
2026-06-14,KLNC0284,36,18:00,x,1.0
2026-06-14,KLNC0284,37,18:30,x,1.0
2026-06-14,KLNC0288,36,18:00,x,1.0
2026-06-14,KLNC0288,37,18:30,x,1.0
2026-06-14,KLNC0291,36,18:00,x,1.0
2026-06-14,KLNC0291,37,18:30,x,1.0
2026-06-14,KLNC0298,36,18:00,x,1.0
2026-06-14,KLNC0298,37,18:30,x,1.0
2026-06-14,KLNC0298,38,19:00,x,1.0
2026-06-14,KLNC0298,39,19:30,x,1.0
2026-06-14,KLNC0298,41,20:30,x,1.0
2026-06-14,KLNC0304,37,18:30,x,1.0
2026-06-14,KLNC0307,36,18:00,x,1.0
2026-06-14,KLNC0307,37,18:30,x,1.0
2026-06-14,KLNC0307,38,19:00,x,1.0
2026-06-14,KLNC0307,39,19:30,x,1.0
2026-06-14,KLNC0307,40,20:00,x,1.0
2026-06-14,KLNC0307,41,20:30,x,1.0
2026-06-14,KLNC0308,36,18:00,x,1.0
2026-06-14,KLNC0308,37,18:30,x,1.0
2026-06-14,KLNC0308,39,19:30,x,1.0
2026-06-14,KLNC0308,40,20:00,x,1.0
2026-06-14,KLNC0308,41,20:30,x,1.0
2026-06-14,KLNC0310,36,18:00,x,1.0
2026-06-14,KLNC0310,37,18:30,x,1.0
2026-06-14,KLNC0320,36,18:00,x,1.0
2026-06-14,KLNC0321,36,18:00,x,1.0
2026-06-14,KLNC0323,36,18:00,x,1.0
2026-06-14,KLNC0323,37,18:30,x,1.0
2026-06-14,KLNC0323,38,19:00,x,1.0
2026-06-14,KLNC0323,39,19:30,x,1.0
2026-06-14,KLNC0323,40,20:00,x,1.0
2026-06-14,KLNC0323,41,20:30,x,1.0
2026-06-14,KLNC0324,36,18:00,x,1.0
2026-06-14,KLNC0324,37,18:30,x,1.0
2026-06-14,KLNC0326,36,18:00,x,1.0
2026-06-14,KLNC0326,37,18:30,x,1.0
2026-06-14,KLNC0326,38,19:00,x,1.0
2026-06-14,KLNC0326,39,19:30,x,1.0
2026-06-14,KLNC0326,40,20:00,x,1.0
2026-06-14,KLNC0326,41,20:30,x,1.0
2026-06-14,KLNC0333,36,18:00,x,1.0
2026-06-14,KLNC0333,37,18:30,x,1.0
2026-06-14,KLNC0333,38,19:00,x,1.0
2026-06-14,KLNC0333,39,19:30,x,1.0
2026-06-14,KLNC0333,40,20:00,x,1.0
2026-06-14,KLNC0333,41,20:30,x,1.0
2026-06-14,KLNC0335,36,18:00,x,1.0
2026-06-14,KLNC0335,37,18:30,x,1.0
2026-06-14,KLNC0335,38,19:00,x,1.0
2026-06-14,KLNC0335,39,19:30,x,1.0
2026-06-14,KLNC0335,40,20:00,x,1.0
2026-06-14,KLNC0335,41,20:30,x,1.0
2026-06-14,KLNC0338,36,18:00,x,1.0
2026-06-14,KLNC0338,37,18:30,x,1.0
2026-06-14,KLNC0340,36,18:00,x,1.0
2026-06-14,KLNC0341,37,18:30,x,1.0
2026-06-14,KLNC0343,36,18:00,x,1.0
2026-06-14,KLNC0343,37,18:30,x,1.0
2026-06-14,KLNC0344,36,18:00,x,1.0
2026-06-14,KLNC0344,37,18:30,x,1.0
2026-06-14,KLNC0345,37,18:30,x,1.0
2026-06-14,KLNC0346,37,18:30,x,1.0
2026-06-14,KLNC0346,40,20:00,x,1.0
2026-06-14,KLNC0347,36,18:00,x,1.0
2026-06-14,KLNC0348,36,18:00,x,1.0
2026-06-14,KLNC0348,37,18:30,x,1.0
2026-06-14,KLNC0348,38,19:00,x,1.0
2026-06-14,KLNC0349,36,18:00,x,1.0
2026-06-14,KLNC0349,37,18:30,x,1.0
2026-06-14,KLNC0351,37,18:30,x,1.0
2026-06-14,KLNC0354,37,18:30,x,1.0
2026-06-14,KLNC0355,36,18:00,x,1.0
2026-06-14,KLNC0356,37,18:30,x,1.0
2026-06-14,DHNC0001,1,00:30,y,0.336160097220683
2026-06-14,DHNC0001,3,01:30,y,0.336160097220683
2026-06-14,DHNC0001,6,03:00,y,0.336160097220683
2026-06-14,DHNC0001,8,04:00,y,0.336160097220683
2026-06-14,DHNC0001,11,05:30,y,0.336160097220683
2026-06-14,DHNC0001,12,06:00,y,0.336160097220683
2026-06-14,DHNC0001,15,07:30,y,0.336160097220683
2026-06-14,DHNC0001,17,08:30,y,0.336160097220683
2026-06-14,DHNC0001,20,10:00,y,0.336160097220683
2026-06-14,DHNC0001,22,11:00,y,0.336160097220683
2026-06-14,DHNC0001,24,12:00,y,0.292058985113429
2026-06-14,DHNC0001,26,13:00,y,0.336160097220683
2026-06-14,DHNC0001,37,18:30,y,0.336160097220683
2026-06-14,DHNC0001,43,21:30,y,0.336160097220683
2026-06-14,DHNC0001,44,22:00,y,0.336160097220683
2026-06-14,DHNC0003,3,01:30,y,0.4095113664584127
2026-06-14,DHNC0003,8,04:00,y,0.4095113664584127
2026-06-14,DHNC0003,10,05:00,y,0.4095113664584127
2026-06-14,DHNC0003,11,05:30,y,0.4095113664584127
2026-06-14,DHNC0003,15,07:30,y,0.4095113664584127
2026-06-14,DHNC0003,16,08:00,y,0.4095113664584127
2026-06-14,DHNC0003,18,09:00,y,0.4095113664584127
2026-06-14,DHNC0003,20,10:00,y,0.4095113664584127
2026-06-14,DHNC0003,22,11:00,y,0.4095113664584127
2026-06-14,DHNC0003,25,12:30,y,0.4095113664584127
2026-06-14,DHNC0003,30,15:00,y,0.4095113664584127
2026-06-14,DHNC0003,34,17:00,y,0.4095113664584127
2026-06-14,DHNC0003,37,18:30,y,0.4095113664584127
2026-06-14,DHNC0003,38,19:00,y,0.4095113664584127
2026-06-14,DHNC0003,39,19:30,y,0.4095113664584127
2026-06-14,DHNC0003,40,20:00,y,0.4095113664584127
2026-06-14,DHNC0003,41,20:30,y,0.4095113664584127
2026-06-14,DHNC0003,42,21:00,y,0.4095113664584127
2026-06-14,DHNC0003,43,21:30,y,0.4095113664584127
2026-06-14,DHNC0003,44,22:00,y,0.4095113664584127
2026-06-14,DHNC0003,45,22:30,y,0.4095113664584127
2026-06-14,DHNC0003,46,23:00,y,0.12519512767587002
2026-06-14,DHNC0006,4,02:00,y,0.38978441997885555
2026-06-14,DHNC0006,5,02:30,y,0.38978441997885555
2026-06-14,DHNC0006,6,03:00,y,0.38978441997885555
2026-06-14,DHNC0006,7,03:30,y,0.38978441997885555
2026-06-14,DHNC0006,8,04:00,y,0.38978441997885555
2026-06-14,DHNC0006,10,05:00,y,0.38978441997885555
2026-06-14,DHNC0006,15,07:30,y,0.38978441997885555
2026-06-14,DHNC0006,16,08:00,y,0.38978441997885555
2026-06-14,DHNC0006,18,09:00,y,0.38978441997885555
2026-06-14,DHNC0006,22,11:00,y,0.38978441997885555
2026-06-14,DHNC0006,24,12:00,y,0.07065866159190366
2026-06-14,DHNC0006,29,14:30,y,0.38978441997885555
2026-06-14,DHNC0006,30,15:00,y,0.38978441997885555
2026-06-14,DHNC0006,35,17:30,y,0.38978441997885555
2026-06-14,DHNC0006,36,18:00,y,0.38978441997885555
2026-06-14,DHNC0006,37,18:30,y,0.38978441997885555
2026-06-14,DHNC0006,41,20:30,y,0.38978441997885555
2026-06-14,DHNC0006,44,22:00,y,0.38978441997885555
2026-06-14,DHNC0006,47,23:30,y,0.38978441997885555
2026-06-14,DHNC0007,1,00:30,y,0.32257640996409576
2026-06-14,DHNC0007,4,02:00,y,0.32257640996409576
2026-06-14,DHNC0007,5,02:30,y,0.32257640996409576
2026-06-14,DHNC0007,10,05:00,y,0.32257640996409576
2026-06-14,DHNC0007,11,05:30,y,0.32257640996409576
2026-06-14,DHNC0007,15,07:30,y,0.32257640996409576
2026-06-14,DHNC0007,16,08:00,y,0.32257640996409576
2026-06-14,DHNC0007,17,08:30,y,0.32257640996409576
2026-06-14,DHNC0007,18,09:00,y,0.32257640996409576
2026-06-14,DHNC0007,20,10:00,y,0.32257640996409576
2026-06-14,DHNC0007,24,12:00,y,0.32257640996409576
2026-06-14,DHNC0007,26,13:00,y,0.32257640996409576
2026-06-14,DHNC0007,34,17:00,y,0.32257640996409576
