date,consumer_id,slot,clock,var,value
2026-07-07,KLNC0275,36,18:00,x,1.0
2026-07-07,KLNC0275,37,18:30,x,1.0
2026-07-07,KLNC0275,38,19:00,x,1.0
2026-07-07,KLNC0275,39,19:30,x,1.0
2026-07-07,KLNC0275,40,20:00,x,1.0
2026-07-07,KLNC0275,41,20:30,x,1.0
2026-07-07,KLNC0279,36,18:00,x,1.0
2026-07-07,KLNC0279,37,18:30,x,1.0
2026-07-07,KLNC0296,36,18:00,x,1.0
2026-07-07,KLNC0296,37,18:30,x,1.0
2026-07-07,KLNC0296,38,19:00,x,1.0
2026-07-07,KLNC0296,39,19:30,x,1.0
2026-07-07,KLNC0296,41,20:30,x,1.0
2026-07-07,KLNC0306,36,18:00,x,1.0
2026-07-07,KLNC0306,37,18:30,x,1.0
2026-07-07,KLNC0306,39,19:30,x,1.0
2026-07-07,KLNC0306,40,20:00,x,1.0
2026-07-07,KLNC0306,41,20:30,x,1.0
2026-07-07,KLNC0318,36,18:00,x,1.0
2026-07-07,KLNC0321,36,18:00,x,1.0
2026-07-07,KLNC0321,37,18:30,x,1.0
2026-07-07,KLNC0321,38,19:00,x,1.0
2026-07-07,KLNC0321,39,19:30,x,1.0
2026-07-07,KLNC0321,40,20:00,x,1.0
2026-07-07,KLNC0321,41,20:30,x,1.0
2026-07-07,KLNC0322,36,18:00,x,0.7505268952379159
2026-07-07,KLNC0322,37,18:30,x,1.0
2026-07-07,KLNC0324,36,18:00,x,1.0
2026-07-07,KLNC0324,37,18:30,x,1.0
2026-07-07,KLNC0324,38,19:00,x,1.0
2026-07-07,KLNC0324,39,19:30,x,1.0
2026-07-07,KLNC0324,40,20:00,x,1.0
2026-07-07,KLNC0324,41,20:30,x,1.0
2026-07-07,KLNC0333,36,18:00,x,1.0
2026-07-07,KLNC0333,37,18:30,x,1.0
2026-07-07,KLNC0333,38,19:00,x,1.0
2026-07-07,KLNC0333,39,19:30,x,1.0
2026-07-07,KLNC0333,40,20:00,x,1.0
2026-07-07,KLNC0333,41,20:30,x,1.0
2026-07-07,KLNC0336,36,18:00,x,1.0
2026-07-07,KLNC0336,37,18:30,x,1.0
2026-07-07,KLNC0341,36,18:00,x,1.0
2026-07-07,KLNC0341,37,18:30,x,1.0
2026-07-07,KLNC0343,36,18:00,x,1.0
2026-07-07,KLNC0343,37,18:30,x,1.0
2026-07-07,KLNC0343,40,20:00,x,1.0
2026-07-07,KLNC0344,40,20:00,x,1.0
2026-07-07,KLNC0346,36,18:00,x,1.0
2026-07-07,KLNC0346,39,19:30,x,1.0
2026-07-07,KLNC0349,36,18:00,x,1.0
2026-07-07,KLNC0349,39,19:30,x,1.0
2026-07-07,KLNC0350,36,18:00,x,0.06891225594272314
2026-07-07,KLNC0350,37,18:30,x,1.0
2026-07-07,KLNC0353,36,18:00,x,1.0
2026-07-07,DHNC0001,3,01:30,y,0.336160097220683
2026-07-07,DHNC0001,4,02:00,y,0.336160097220683
2026-07-07,DHNC0001,6,03:00,y,0.336160097220683
2026-07-07,DHNC0001,7,03:30,y,0.336160097220683
2026-07-07,DHNC0001,8,04:00,y,0.336160097220683
2026-07-07,DHNC0001,11,05:30,y,0.336160097220683
2026-07-07,DHNC0001,13,06:30,y,0.336160097220683
2026-07-07,DHNC0001,15,07:30,y,0.336160097220683
2026-07-07,DHNC0001,16,08:00,y,0.336160097220683
2026-07-07,DHNC0001,17,08:30,y,0.336160097220683
2026-07-07,DHNC0001,18,09:00,y,0.336160097220683
2026-07-07,DHNC0001,21,10:30,y,0.1901895782566683
2026-07-07,DHNC0001,22,11:00,y,0.336160097220683
2026-07-07,DHNC0001,30,15:00,y,0.336160097220683
2026-07-07,DHNC0001,31,15:30,y,0.336160097220683
2026-07-07,DHNC0001,32,16:00,y,0.336160097220683
2026-07-07,DHNC0001,33,16:30,y,0.336160097220683
2026-07-07,DHNC0001,36,18:00,y,0.336160097220683
2026-07-07,DHNC0001,37,18:30,y,0.336160097220683
2026-07-07,DHNC0001,38,19:00,y,0.336160097220683
2026-07-07,DHNC0001,39,19:30,y,0.336160097220683
2026-07-07,DHNC0001,40,20:00,y,0.336160097220683
2026-07-07,DHNC0001,42,21:00,y,0.336160097220683
2026-07-07,DHNC0001,44,22:00,y,0.336160097220683
2026-07-07,DHNC0001,45,22:30,y,0.336160097220683
2026-07-07,DHNC0001,46,23:00,y,0.336160097220683
2026-07-07,DHNC0001,47,23:30,y,0.336160097220683
2026-07-07,DHNC0002,0,00:00,y,0.41494041295175105
2026-07-07,DHNC0002,2,01:00,y,0.41494041295175105
2026-07-07,DHNC0002,3,01:30,y,0.41494041295175105
2026-07-07,DHNC0002,4,02:00,y,0.41494041295175105
2026-07-07,DHNC0002,5,02:30,y,0.41494041295175105
2026-07-07,DHNC0002,10,05:00,y,0.41494041295175105
2026-07-07,DHNC0002,11,05:30,y,0.41494041295175105
2026-07-07,DHNC0002,13,06:30,y,0.41494041295175105
2026-07-07,DHNC0002,15,07:30,y,0.41494041295175105
2026-07-07,DHNC0002,16,08:00,y,0.41494041295175105
2026-07-07,DHNC0002,17,08:30,y,0.41494041295175105
2026-07-07,DHNC0002,18,09:00,y,0.41494041295175105
2026-07-07,DHNC0002,21,10:30,y,0.41494041295175105
2026-07-07,DHNC0002,22,11:00,y,0.41494041295175105
2026-07-07,DHNC0002,32,16:00,y,0.41494041295175105
2026-07-07,DHNC0002,33,16:30,y,0.41494041295175105
2026-07-07,DHNC0002,36,18:00,y,0.41494041295175105
2026-07-07,DHNC0002,38,19:00,y,0.383077398264646
2026-07-07,DHNC0002,42,21:00,y,0.41494041295175105
2026-07-07,DHNC0002,44,22:00,y,0.41494041295175105
2026-07-07,DHNC0002,46,23:00,y,0.41494041295175105
2026-07-07,DHNC0002,47,23:30,y,0.41494041295175105
2026-07-07,DHNC0003,0,00:00,y,0.44008259670880423
2026-07-07,DHNC0003,4,02:00,y,0.44008259670880423
2026-07-07,DHNC0003,5,02:30,y,0.44008259670880423
2026-07-07,DHNC0003,7,03:30,y,0.44008259670880423
2026-07-07,DHNC0003,8,04:00,y,0.44008259670880423
2026-07-07,DHNC0003,9,04:30,y,0.44008259670880423
2026-07-07,DHNC0003,13,06:30,y,0.44008259670880423
2026-07-07,DHNC0003,14,07:00,y,0.44008259670880423
2026-07-07,DHNC0003,17,08:30,y,0.44008259670880423
2026-07-07,DHNC0003,22,11:00,y,0.44008259670880423
2026-07-07,DHNC0003,29,14:30,y,0.44008259670880423
2026-07-07,DHNC0003,30,15:00,y,0.44008259670880423
2026-07-07,DHNC0003,32,16:00,y,0.44008259670880423
2026-07-07,DHNC0003,33,16:30,y,0.44008259670880423
2026-07-07,DHNC0003,34,17:00,y,0.44008259670880423
2026-07-07,DHNC0003,35,17:30,y,0.44008259670880423
2026-07-07,DHNC0003,36,18:00,y,0.44008259670880423
2026-07-07,DHNC0003,38,19:00,y,0.0601155144595204
2026-07-07,DHNC0003,41,20:30,y,0.44008259670880423
2026-07-07,DHNC0003,42,21:00,y,0.44008259670880423
2026-07-07,DHNC0003,44,22:00,y,0.44008259670880423
2026-07-07,DHNC0003,45,22:30,y,0.44008259670880423
2026-07-07,DHNC0003,46,23:00,y,0.44008259670880423
2026-07-07,DHNC0003,47,23:30,y,0.44008259670880423
2026-07-07,DHNC0004,0,00:00,y,0.3494072353236943
2026-07-07,DHNC0004,1,00:30,y,0.3494072353236943
2026-07-07,DHNC0004,8,04:00,y,0.3494072353236943
2026-07-07,DHNC0004,10,05:00,y,0.3494072353236943
2026-07-07,DHNC0004,14,07:00,y,0.3494072353236943
2026-07-07,DHNC0004,15,07:30,y,0.3494072353236943
2026-07-07,DHNC0004,18,09:00,y,0.3494072353236943
2026-07-07,DHNC0004,19,09:30,y,0.3494072353236943
2026-07-07,DHNC0004,24,12:00,y,0.3494072353236943
2026-07-07,DHNC0004,26,13:00,y,0.3494072353236943
2026-07-07,DHNC0004,27,13:30,y,0.3494072353236943
2026-07-07,DHNC0004,28,14:00,y,0.3494072353236943
2026-07-07,DHNC0004,35,17:30,y,0.3494072353236943
2026-07-07,DHNC0004,36,18:00,y,0.3494072353236943
2026-07-07,DHNC0004,37,18:30,y,0.3494072353236943
2026-07-07,DHNC0004,38,19:00,y,0.3494072353236943
2026-07-07,DHNC0004,39,19:30,y,0.3494072353236943
2026-07-07,DHNC0004,40,20:00,y,0.3494072353236943
2026-07-07,DHNC0004,42,21:00,y,0.3494072353236943
2026-07-07,DHNC0004,43,21:30,y,0.3494072353236943
2026-07-07,DHNC0004,45,22:30,y,0.3494072353236943
2026-07-07,DHNC0004,46,23:00,y,0.3494072353236943
2026-07-07,DHNC0004,47,23:30,y,0.3494072353236943
2026-07-07,DHNC0005,4,02:00,y,0.410064197023275
2026-07-07,DHNC0005,6,03:00,y,0.410064197023275
2026-07-07,DHNC0005,8,04:00,y,0.410064197023275
2026-07-07,DHNC0005,9,04:30,y,0.410064197023275
2026-07-07,DHNC0005,11,05:30,y,0.410064197023275
2026-07-07,DHNC0005,12,06:00,y,0.410064197023275
2026-07-07,DHNC0005,13,06:30,y,0.410064197023275
2026-07-07,DHNC0005,15,07:30,y,0.410064197023275
2026-07-07,DHNC0005,18,09:00,y,0.410064197023275
2026-07-07,DHNC0005,23,11:30,y,0.410064197023275
2026-07-07,DHNC0005,25,12:30,y,0.410064197023275
2026-07-07,DHNC0005,29,14:30,y,0.410064197023275
2026-07-07,DHNC0005,31,15:30,y,0.410064197023275
2026-07-07,DHNC0005,32,16:00,y,0.410064197023275
2026-07-07,DHNC0005,33,16:30,y,0.410064197023275
2026-07-07,DHNC0005,34,17:00,y,0.410064197023275
2026-07-07,DHNC0005,35,17:30,y,0.410064197023275
2026-07-07,DHNC0005,36,18:00,y,0.410064197023275
2026-07-07,DHNC0005,38,19:00,y,0.410064197023275
2026-07-07,DHNC0005,41,20:30,y,0.3131851631208691
2026-07-07,DHNC0005,44,22:00,y,0.410064197023275
2026-07-07,DHNC0005,45,22:30,y,0.410064197023275
2026-07-07,DHNC0005,46,23:00,y,0.410064197023275
2026-07-07,DHNC0008,1,00:30,y,0.31434474590955297
2026-07-07,DHNC0008,5,02:30,y,0.3590640949863418
2026-07-07,DHNC0008,9,04:30,y,0.3590640949863418
2026-07-07,DHNC0008,10,05:00,y,0.3590640949863418
2026-07-07,DHNC0008,11,05:30,y,0.3590640949863418
2026-07-07,DHNC0008,12,06:00,y,0.3590640949863418
2026-07-07,DHNC0008,13,06:30,y,0.3590640949863418
2026-07-07,DHNC0008,14,07:00,y,0.3590640949863418
2026-07-07,DHNC0008,15,07:30,y,0.3590640949863418
2026-07-07,DHNC0008,16,08:00,y,0.3590640949863418
2026-07-07,DHNC0008,18,09:00,y,0.3590640949863418
2026-07-07,DHNC0008,19,09:30,y,0.3590640949863418
2026-07-07,DHNC0008,20,10:00,y,0.3590640949863418
2026-07-07,DHNC0008,22,11:00,y,0.3590640949863418
2026-07-07,DHNC0008,23,11:30,y,0.3590640949863418
2026-07-07,DHNC0008,26,13:00,y,0.3590640949863418
2026-07-07,DHNC0008,28,14:00,y,0.3590640949863418
2026-07-07,DHNC0008,34,17:00,y,0.3590640949863418
2026-07-07,DHNC0008,35,17:30,y,0.3590640949863418
2026-07-07,DHNC0008,36,18:00,y,0.3590640949863418
2026-07-07,DHNC0008,37,18:30,y,0.3590640949863418
2026-07-07,DHNC0008,38,19:00,y,0.3590640949863418
2026-07-07,DHNC0008,39,19:30,y,0.3590640949863418
2026-07-07,DHNC0008,40,20:00,y,0.3590640949863418
2026-07-07,DHNC0008,41,20:30,y,0.3590640949863418
2026-07-07,DHNC0008,42,21:00,y,0.3590640949863418
2026-07-07,DHNC0008,43,21:30,y,0.3590640949863418
2026-07-07,DHNC0008,44,22:00,y,0.3590640949863418
