date,consumer_id,slot,clock,var,value
2026-06-14,DHNC0002,26,13:00,x,1.0
2026-06-14,DHNC0028,26,13:00,x,1.0
2026-06-14,DHNC0054,24,12:00,x,1.0
2026-06-14,DHNC0061,26,13:00,x,1.0
2026-06-14,DHNC0064,26,13:00,x,1.0
2026-06-14,DHNC0075,25,12:30,x,0.4540708169334488
2026-06-14,DHNC0079,25,12:30,x,1.0
2026-06-14,DHNC0084,27,13:30,x,1.0
2026-06-14,DHNC0085,27,13:30,x,0.5178854507451294
2026-06-14,DHNC0099,27,13:30,x,0.20864005117085363
2026-06-14,DHNC0141,27,13:30,x,1.0
2026-06-14,DHNC0161,24,12:00,x,0.8232528946146132
2026-06-14,DHNC0167,25,12:30,x,1.0
2026-06-14,DHNC0167,26,13:00,x,1.0
2026-06-14,DHNC0203,24,12:00,x,0.5333390209100329
2026-06-14,DHNC0207,24,12:00,x,1.0
2026-06-14,DHNC0207,25,12:30,x,1.0
2026-06-14,DHNC0207,26,13:00,x,0.4402199301749694
2026-06-14,DHNC0207,27,13:30,x,1.0
2026-06-14,DHNC0207,28,14:00,x,1.0
2026-06-14,DHNC0213,24,12:00,x,1.0
2026-06-14,DHNC0218,24,12:00,x,1.0
2026-06-14,DHNC0218,25,12:30,x,1.0
2026-06-14,DHNC0219,24,12:00,x,1.0
2026-06-14,DHNC0219,25,12:30,x,1.0
2026-06-14,DHNC0228,24,12:00,x,1.0
2026-06-14,DHNC0228,25,12:30,x,1.0
2026-06-14,DHNC0228,27,13:30,x,1.0
2026-06-14,DHNC0228,28,14:00,x,1.0
2026-06-14,DHNC0234,24,12:00,x,1.0
2026-06-14,DHNC0234,25,12:30,x,1.0
2026-06-14,DHNC0234,28,14:00,x,1.0
2026-06-14,DHNC0242,24,12:00,x,0.7757414350719968
2026-06-14,DHNC0249,24,12:00,x,1.0
2026-06-14,DHNC0249,25,12:30,x,1.0
2026-06-14,DHNC0249,26,13:00,x,1.0
2026-06-14,DHNC0249,27,13:30,x,1.0
2026-06-14,DHNC0249,28,14:00,x,1.0
2026-06-14,DHNC0253,24,12:00,x,1.0
2026-06-14,DHNC0263,24,12:00,x,1.0
2026-06-14,DHNC0263,25,12:30,x,1.0
2026-06-14,DHNC0263,26,13:00,x,1.0
2026-06-14,DHNC0263,27,13:30,x,1.0
2026-06-14,DHNC0263,28,14:00,x,1.0
2026-06-14,DHNC0264,24,12:00,x,1.0
2026-06-14,DHNC0264,25,12:30,x,1.0
2026-06-14,DHNC0267,24,12:00,x,1.0
2026-06-14,DHNC0267,25,12:30,x,1.0
2026-06-14,DHNC0276,24,12:00,x,1.0
2026-06-14,DHNC0276,25,12:30,x,1.0
2026-06-14,DHNC0276,26,13:00,x,1.0
2026-06-14,DHNC0276,27,13:30,x,1.0
2026-06-14,DHNC0276,28,14:00,x,1.0
2026-06-14,DHNC0277,24,12:00,x,1.0
2026-06-14,DHNC0277,25,12:30,x,1.0
2026-06-14,DHNC0287,25,12:30,x,1.0
2026-06-14,DHNC0292,25,12:30,x,0.015462975207365516
2026-06-14,DHNC0293,25,12:30,x,1.0
2026-06-14,DHNC0295,24,12:00,x,1.0
2026-06-14,DHNC0295,25,12:30,x,1.0
2026-06-14,DHNC0299,26,13:00,x,0.5279447051967306
2026-06-14,DHNC0299,27,13:30,x,1.0
2026-06-14,DHNC0299,28,14:00,x,1.0
2026-06-14,DHNC0307,25,12:30,x,0.24787770200512943
2026-06-14,KLNC0017,37,18:30,x,1.0
2026-06-14,KLNC0017,40,20:00,x,1.0
2026-06-14,KLNC0022,40,20:00,x,0.26308031623794237
2026-06-14,KLNC0037,37,18:30,x,0.607808473589973
2026-06-14,KLNC0041,36,18:00,x,1.0
2026-06-14,KLNC0041,37,18:30,x,1.0
2026-06-14,KLNC0041,41,20:30,x,1.0
2026-06-14,KLNC0045,37,18:30,x,1.0
2026-06-14,KLNC0045,38,19:00,x,1.0
2026-06-14,KLNC0060,36,18:00,x,1.0
2026-06-14,KLNC0060,40,20:00,x,1.0
2026-06-14,KLNC0067,39,19:30,x,1.0
2026-06-14,KLNC0067,40,20:00,x,1.0
2026-06-14,KLNC0068,37,18:30,x,1.0
2026-06-14,KLNC0068,38,19:00,x,0.4273808737754556
2026-06-14,KLNC0093,41,20:30,x,1.0
2026-06-14,KLNC0105,37,18:30,x,0.4103526769312707
2026-06-14,KLNC0130,40,20:00,x,1.0
2026-06-14,KLNC0135,36,18:00,x,1.0
2026-06-14,KLNC0135,37,18:30,x,1.0
2026-06-14,KLNC0135,38,19:00,x,1.0
2026-06-14,KLNC0135,39,19:30,x,1.0
2026-06-14,KLNC0135,41,20:30,x,1.0
2026-06-14,KLNC0145,37,18:30,x,1.0
2026-06-14,KLNC0146,40,20:00,x,1.0
2026-06-14,KLNC0155,36,18:00,x,0.2868238218658961
2026-06-14,KLNC0167,40,20:00,x,1.0
2026-06-14,KLNC0174,36,18:00,x,0.5228675651009521
2026-06-14,KLNC0175,36,18:00,x,1.0
2026-06-14,KLNC0180,37,18:30,x,1.0
2026-06-14,KLNC0180,41,20:30,x,0.0009403607133265013
2026-06-14,KLNC0181,36,18:00,x,1.0
2026-06-14,KLNC0181,37,18:30,x,1.0
2026-06-14,KLNC0181,38,19:00,x,1.0
2026-06-14,KLNC0181,39,19:30,x,1.0
2026-06-14,KLNC0181,40,20:00,x,1.0
2026-06-14,KLNC0181,41,20:30,x,0.0566955323843312
2026-06-14,KLNC0182,36,18:00,x,0.9738547375176254
2026-06-14,KLNC0203,37,18:30,x,1.0
2026-06-14,KLNC0223,37,18:30,x,1.0
2026-06-14,KLNC0229,39,19:30,x,0.9085516921458403
2026-06-14,KLNC0241,37,18:30,x,1.0
2026-06-14,KLNC0275,36,18:00,x,1.0
2026-06-14,KLNC0275,37,18:30,x,1.0
2026-06-14,KLNC0275,38,19:00,x,1.0
2026-06-14,KLNC0275,39,19:30,x,1.0
2026-06-14,KLNC0275,40,20:00,x,1.0
2026-06-14,KLNC0275,41,20:30,x,1.0
2026-06-14,KLNC0277,36,18:00,x,1.0
2026-06-14,KLNC0277,37,18:30,x,1.0
2026-06-14,KLNC0277,38,19:00,x,1.0
2026-06-14,KLNC0277,39,19:30,x,1.0
2026-06-14,KLNC0277,40,20:00,x,1.0
2026-06-14,KLNC0277,41,20:30,x,1.0
2026-06-14,KLNC0279,36,18:00,x,1.0
2026-06-14,KLNC0279,37,18:30,x,1.0
2026-06-14,KLNC0280,36,18:00,x,1.0
2026-06-14,KLNC0280,37,18:30,x,1.0
2026-06-14,KLNC0280,38,19:00,x,1.0
2026-06-14,KLNC0280,39,19:30,x,1.0
2026-06-14,KLNC0280,40,20:00,x,1.0
2026-06-14,KLNC0280,41,20:30,x,1.0
2026-06-14,KLNC0282,36,18:00,x,1.0
2026-06-14,KLNC0282,37,18:30,x,1.0
2026-06-14,KLNC0286,36,18:00,x,1.0
2026-06-14,KLNC0286,37,18:30,x,1.0
2026-06-14,KLNC0288,36,18:00,x,1.0
2026-06-14,KLNC0288,37,18:30,x,1.0
2026-06-14,KLNC0288,38,19:00,x,1.0
2026-06-14,KLNC0288,39,19:30,x,1.0
2026-06-14,KLNC0288,40,20:00,x,1.0
2026-06-14,KLNC0288,41,20:30,x,1.0
2026-06-14,KLNC0289,36,18:00,x,1.0
2026-06-14,KLNC0289,37,18:30,x,1.0
2026-06-14,KLNC0291,36,18:00,x,1.0
2026-06-14,KLNC0291,37,18:30,x,1.0
2026-06-14,KLNC0293,37,18:30,x,1.0
2026-06-14,KLNC0296,36,18:00,x,1.0
2026-06-14,KLNC0296,37,18:30,x,1.0
2026-06-14,KLNC0296,38,19:00,x,1.0
2026-06-14,KLNC0296,39,19:30,x,1.0
2026-06-14,KLNC0296,41,20:30,x,1.0
2026-06-14,KLNC0298,37,18:30,x,1.0
2026-06-14,KLNC0299,36,18:00,x,1.0
2026-06-14,KLNC0299,37,18:30,x,1.0
2026-06-14,KLNC0301,36,18:00,x,1.0
2026-06-14,KLNC0301,37,18:30,x,1.0
2026-06-14,KLNC0301,38,19:00,x,1.0
2026-06-14,KLNC0301,39,19:30,x,1.0
2026-06-14,KLNC0301,41,20:30,x,1.0
2026-06-14,KLNC0302,37,18:30,x,1.0
2026-06-14,KLNC0303,36,18:00,x,1.0
2026-06-14,KLNC0305,36,18:00,x,1.0
2026-06-14,KLNC0305,37,18:30,x,1.0
2026-06-14,KLNC0305,38,19:00,x,1.0
2026-06-14,KLNC0305,39,19:30,x,1.0
2026-06-14,KLNC0305,40,20:00,x,1.0
2026-06-14,KLNC0305,41,20:30,x,1.0
2026-06-14,KLNC0306,36,18:00,x,1.0
2026-06-14,KLNC0306,37,18:30,x,1.0
2026-06-14,KLNC0306,39,19:30,x,1.0
2026-06-14,KLNC0306,40,20:00,x,1.0
2026-06-14,KLNC0306,41,20:30,x,1.0
2026-06-14,KLNC0310,36,18:00,x,1.0
2026-06-14,KLNC0310,37,18:30,x,1.0
2026-06-14,KLNC0310,38,19:00,x,1.0
2026-06-14,KLNC0310,39,19:30,x,1.0
2026-06-14,KLNC0310,40,20:00,x,1.0
2026-06-14,KLNC0310,41,20:30,x,1.0
2026-06-14,KLNC0311,36,18:00,x,1.0
2026-06-14,KLNC0311,37,18:30,x,1.0
2026-06-14,KLNC0312,36,18:00,x,1.0
2026-06-14,KLNC0312,37,18:30,x,1.0
2026-06-14,KLNC0312,38,19:00,x,1.0
2026-06-14,KLNC0312,39,19:30,x,1.0
2026-06-14,KLNC0312,40,20:00,x,1.0
2026-06-14,KLNC0312,41,20:30,x,1.0
2026-06-14,KLNC0313,37,18:30,x,1.0
2026-06-14,KLNC0314,36,18:00,x,1.0
2026-06-14,KLNC0315,36,18:00,x,1.0
2026-06-14,KLNC0315,37,18:30,x,1.0
2026-06-14,KLNC0315,38,19:00,x,1.0
2026-06-14,KLNC0315,39,19:30,x,1.0
2026-06-14,KLNC0315,40,20:00,x,1.0
2026-06-14,KLNC0315,41,20:30,x,1.0
2026-06-14,KLNC0316,38,19:00,x,1.0
2026-06-14,KLNC0316,41,20:30,x,1.0
2026-06-14,KLNC0318,36,18:00,x,1.0
2026-06-14,KLNC0319,36,18:00,x,1.0
2026-06-14,KLNC0321,36,18:00,x,1.0
2026-06-14,KLNC0321,37,18:30,x,1.0
2026-06-14,KLNC0321,38,19:00,x,1.0
2026-06-14,KLNC0321,39,19:30,x,1.0
2026-06-14,KLNC0321,40,20:00,x,1.0
2026-06-14,KLNC0321,41,20:30,x,1.0
2026-06-14,KLNC0322,36,18:00,x,1.0
2026-06-14,KLNC0322,37,18:30,x,1.0
2026-06-14,KLNC0324,36,18:00,x,1.0
2026-06-14,KLNC0324,37,18:30,x,1.0
2026-06-14,KLNC0324,38,19:00,x,1.0
2026-06-14,KLNC0324,39,19:30,x,1.0
2026-06-14,KLNC0324,40,20:00,x,1.0
2026-06-14,KLNC0324,41,20:30,x,1.0
2026-06-14,KLNC0326,36,18:00,x,1.0
2026-06-14,KLNC0326,37,18:30,x,1.0
2026-06-14,KLNC0326,38,19:00,x,1.0
2026-06-14,KLNC0326,39,19:30,x,1.0
2026-06-14,KLNC0326,40,20:00,x,1.0
2026-06-14,KLNC0326,41,20:30,x,1.0
2026-06-14,KLNC0331,36,18:00,x,1.0
2026-06-14,KLNC0331,37,18:30,x,1.0
2026-06-14,KLNC0331,38,19:00,x,1.0
2026-06-14,KLNC0331,39,19:30,x,1.0
2026-06-14,KLNC0331,40,20:00,x,1.0
2026-06-14,KLNC0331,41,20:30,x,1.0
2026-06-14,KLNC0332,36,18:00,x,1.0
2026-06-14,KLNC0332,38,19:00,x,1.0
2026-06-14,KLNC0332,40,20:00,x,1.0
2026-06-14,KLNC0333,36,18:00,x,1.0
2026-06-14,KLNC0333,37,18:30,x,1.0
2026-06-14,KLNC0333,38,19:00,x,1.0
2026-06-14,KLNC0333,39,19:30,x,1.0
2026-06-14,KLNC0333,40,20:00,x,1.0
2026-06-14,KLNC0333,41,20:30,x,1.0
2026-06-14,KLNC0334,36,18:00,x,1.0
2026-06-14,KLNC0334,37,18:30,x,1.0
2026-06-14,KLNC0334,40,20:00,x,1.0
2026-06-14,KLNC0334,41,20:30,x,1.0
2026-06-14,KLNC0336,36,18:00,x,1.0
2026-06-14,KLNC0336,37,18:30,x,1.0
2026-06-14,KLNC0337,36,18:00,x,1.0
2026-06-14,KLNC0337,37,18:30,x,1.0
2026-06-14,KLNC0337,38,19:00,x,1.0
2026-06-14,KLNC0337,39,19:30,x,1.0
2026-06-14,KLNC0337,40,20:00,x,1.0
2026-06-14,KLNC0337,41,20:30,x,1.0
2026-06-14,KLNC0338,36,18:00,x,1.0
2026-06-14,KLNC0339,36,18:00,x,1.0
2026-06-14,KLNC0339,37,18:30,x,1.0
2026-06-14,KLNC0339,38,19:00,x,1.0
2026-06-14,KLNC0339,39,19:30,x,1.0
2026-06-14,KLNC0340,37,18:30,x,1.0
2026-06-14,KLNC0341,36,18:00,x,1.0
2026-06-14,KLNC0341,37,18:30,x,1.0
2026-06-14,KLNC0343,36,18:00,x,1.0
2026-06-14,KLNC0343,37,18:30,x,1.0
2026-06-14,KLNC0343,40,20:00,x,1.0
2026-06-14,KLNC0344,40,20:00,x,1.0
2026-06-14,KLNC0346,36,18:00,x,1.0
2026-06-14,KLNC0346,39,19:30,x,1.0
2026-06-14,KLNC0347,36,18:00,x,1.0
2026-06-14,KLNC0348,36,18:00,x,1.0
2026-06-14,KLNC0348,37,18:30,x,1.0
2026-06-14,KLNC0349,36,18:00,x,1.0
2026-06-14,KLNC0349,39,19:30,x,1.0
2026-06-14,KLNC0350,36,18:00,x,1.0
2026-06-14,KLNC0350,37,18:30,x,1.0
2026-06-14,KLNC0351,36,18:00,x,1.0
2026-06-14,KLNC0352,36,18:00,x,1.0
2026-06-14,KLNC0353,36,18:00,x,1.0
2026-06-14,KLNC0355,36,18:00,x,1.0
2026-06-14,KLNC0355,37,18:30,x,1.0
2026-06-14,DHNC0002,24,12:00,y,0.41494041295175105
2026-06-14,DHNC0002,25,12:30,y,0.41494041295175105
2026-06-14,DHNC0002,26,13:00,y,0.41494041295175105
2026-06-14,DHNC0002,27,13:30,y,0.41494041295175105
2026-06-14,DHNC0002,28,14:00,y,0.41494041295175105
2026-06-14,DHNC0017,24,12:00,y,0.41451152558965887
2026-06-14,DHNC0017,26,13:00,y,0.41451152558965887
2026-06-14,DHNC0021,24,12:00,y,0.36812831116610345
2026-06-14,DHNC0021,25,12:30,y,0.36812831116610345
2026-06-14,DHNC0021,26,13:00,y,0.36812831116610345
2026-06-14,DHNC0021,27,13:30,y,0.36812831116610345
2026-06-14,DHNC0021,28,14:00,y,0.36812831116610345
2026-06-14,DHNC0025,24,12:00,y,0.40669407087305026
2026-06-14,DHNC0025,25,12:30,y,0.40669407087305026
2026-06-14,DHNC0025,26,13:00,y,0.40669407087305026
2026-06-14,DHNC0025,27,13:30,y,0.40669407087305026
2026-06-14,DHNC0025,28,14:00,y,0.40669407087305026
2026-06-14,DHNC0028,24,12:00,y,0.3835220657433097
2026-06-14,DHNC0028,25,12:30,y,0.3835220657433097
2026-06-14,DHNC0028,27,13:30,y,0.3835220657433097
2026-06-14,DHNC0028,28,14:00,y,0.3835220657433097
2026-06-14,DHNC0045,24,12:00,y,0.4033189634141048
2026-06-14,DHNC0045,25,12:30,y,0.4033189634141048
2026-06-14,DHNC0045,26,13:00,y,0.4033189634141048
2026-06-14,DHNC0045,27,13:30,y,0.4033189634141048
2026-06-14,DHNC0045,28,14:00,y,0.4033189634141048
2026-06-14,DHNC0051,24,12:00,y,0.34557135171563014
2026-06-14,DHNC0051,25,12:30,y,0.34557135171563014
2026-06-14,DHNC0051,26,13:00,y,0.34557135171563014
2026-06-14,DHNC0051,27,13:30,y,0.34557135171563014
2026-06-14,DHNC0051,28,14:00,y,0.34557135171563014
2026-06-14,DHNC0054,25,12:30,y,0.3781775349548564
2026-06-14,DHNC0054,28,14:00,y,0.3781775349548564
2026-06-14,DHNC0061,24,12:00,y,0.36820080051322784
2026-06-14,DHNC0061,25,12:30,y,0.36820080051322784
2026-06-14,DHNC0061,27,13:30,y,0.36820080051322784
2026-06-14,DHNC0061,28,14:00,y,0.36820080051322784
2026-06-14,DHNC0064,25,12:30,y,0.3348758144912507
2026-06-14,DHNC0064,26,13:00,y,0.3348758144912507
2026-06-14,DHNC0064,28,14:00,y,0.3348758144912507
2026-06-14,DHNC0075,24,12:00,y,0.40556805424510706
2026-06-14,DHNC0075,25,12:30,y,0.40556805424510706
2026-06-14,DHNC0075,27,13:30,y,0.40556805424510706
2026-06-14,DHNC0075,28,14:00,y,0.40556805424510706
2026-06-14,DHNC0079,24,12:00,y,0.26414028414178736
