date,consumer_id,slot,clock,var,value
2026-06-14,KLNC0275,36,18:00,x,1.0
2026-06-14,KLNC0275,37,18:30,x,1.0
2026-06-14,KLNC0275,38,19:00,x,1.0
2026-06-14,KLNC0275,39,19:30,x,1.0
2026-06-14,KLNC0275,40,20:00,x,1.0
2026-06-14,KLNC0275,41,20:30,x,1.0
2026-06-14,KLNC0279,36,18:00,x,1.0
2026-06-14,KLNC0279,37,18:30,x,1.0
2026-06-14,KLNC0282,36,18:00,x,1.0
2026-06-14,KLNC0282,37,18:30,x,1.0
2026-06-14,KLNC0289,36,18:00,x,1.0
2026-06-14,KLNC0289,37,18:30,x,1.0
2026-06-14,KLNC0296,36,18:00,x,1.0
2026-06-14,KLNC0296,37,18:30,x,1.0
2026-06-14,KLNC0296,38,19:00,x,1.0
2026-06-14,KLNC0296,39,19:30,x,1.0
2026-06-14,KLNC0296,41,20:30,x,1.0
2026-06-14,KLNC0305,36,18:00,x,1.0
2026-06-14,KLNC0305,37,18:30,x,1.0
2026-06-14,KLNC0305,38,19:00,x,1.0
2026-06-14,KLNC0305,39,19:30,x,1.0
2026-06-14,KLNC0305,40,20:00,x,1.0
2026-06-14,KLNC0305,41,20:30,x,1.0
2026-06-14,KLNC0306,36,18:00,x,1.0
2026-06-14,KLNC0306,37,18:30,x,1.0
2026-06-14,KLNC0306,39,19:30,x,1.0
2026-06-14,KLNC0306,40,20:00,x,1.0
2026-06-14,KLNC0306,41,20:30,x,1.0
2026-06-14,KLNC0318,36,18:00,x,1.0
2026-06-14,KLNC0321,36,18:00,x,1.0
2026-06-14,KLNC0321,37,18:30,x,1.0
2026-06-14,KLNC0321,38,19:00,x,1.0
2026-06-14,KLNC0321,39,19:30,x,1.0
2026-06-14,KLNC0321,40,20:00,x,1.0
2026-06-14,KLNC0321,41,20:30,x,1.0
2026-06-14,KLNC0322,36,18:00,x,1.0
2026-06-14,KLNC0322,37,18:30,x,0.5825796067220042
2026-06-14,KLNC0324,36,18:00,x,1.0
2026-06-14,KLNC0324,37,18:30,x,1.0
2026-06-14,KLNC0324,38,19:00,x,1.0
2026-06-14,KLNC0324,39,19:30,x,1.0
2026-06-14,KLNC0324,40,20:00,x,1.0
2026-06-14,KLNC0324,41,20:30,x,1.0
2026-06-14,KLNC0331,36,18:00,x,1.0
2026-06-14,KLNC0331,37,18:30,x,1.0
2026-06-14,KLNC0331,38,19:00,x,1.0
2026-06-14,KLNC0331,39,19:30,x,1.0
2026-06-14,KLNC0331,40,20:00,x,1.0
2026-06-14,KLNC0331,41,20:30,x,1.0
2026-06-14,KLNC0333,36,18:00,x,1.0
2026-06-14,KLNC0333,37,18:30,x,1.0
2026-06-14,KLNC0333,38,19:00,x,1.0
2026-06-14,KLNC0333,39,19:30,x,1.0
2026-06-14,KLNC0333,40,20:00,x,1.0
2026-06-14,KLNC0333,41,20:30,x,1.0
2026-06-14,KLNC0336,36,18:00,x,1.0
2026-06-14,KLNC0336,37,18:30,x,1.0
2026-06-14,KLNC0341,36,18:00,x,1.0
2026-06-14,KLNC0341,37,18:30,x,1.0
2026-06-14,KLNC0343,36,18:00,x,1.0
2026-06-14,KLNC0343,37,18:30,x,1.0
2026-06-14,KLNC0343,40,20:00,x,1.0
2026-06-14,KLNC0344,40,20:00,x,1.0
2026-06-14,KLNC0346,36,18:00,x,1.0
2026-06-14,KLNC0346,39,19:30,x,1.0
2026-06-14,KLNC0349,36,18:00,x,1.0
2026-06-14,KLNC0349,39,19:30,x,1.0
2026-06-14,KLNC0350,36,18:00,x,0.17336108552700383
2026-06-14,KLNC0351,36,18:00,x,1.0
2026-06-14,KLNC0353,36,18:00,x,1.0
2026-06-14,DHNC0001,3,01:30,y,0.336160097220683
2026-06-14,DHNC0001,4,02:00,y,0.336160097220683
2026-06-14,DHNC0001,6,03:00,y,0.336160097220683
2026-06-14,DHNC0001,8,04:00,y,0.336160097220683
2026-06-14,DHNC0001,11,05:30,y,0.336160097220683
2026-06-14,DHNC0001,15,07:30,y,0.336160097220683
2026-06-14,DHNC0001,16,08:00,y,0.336160097220683
2026-06-14,DHNC0001,17,08:30,y,0.336160097220683
2026-06-14,DHNC0001,21,10:30,y,0.336160097220683
2026-06-14,DHNC0001,26,13:00,y,0.336160097220683
2026-06-14,DHNC0001,27,13:30,y,0.023618734169630735
2026-06-14,DHNC0001,30,15:00,y,0.336160097220683
2026-06-14,DHNC0001,31,15:30,y,0.336160097220683
2026-06-14,DHNC0001,32,16:00,y,0.336160097220683
2026-06-14,DHNC0001,33,16:30,y,0.336160097220683
2026-06-14,DHNC0001,36,18:00,y,0.336160097220683
2026-06-14,DHNC0001,39,19:30,y,0.336160097220683
2026-06-14,DHNC0001,43,21:30,y,0.336160097220683
2026-06-14,DHNC0001,44,22:00,y,0.336160097220683
2026-06-14,DHNC0001,45,22:30,y,0.336160097220683
2026-06-14,DHNC0001,46,23:00,y,0.336160097220683
2026-06-14,DHNC0001,47,23:30,y,0.336160097220683
2026-06-14,DHNC0002,0,00:00,y,0.41494041295175105
2026-06-14,DHNC0002,2,01:00,y,0.41494041295175105
2026-06-14,DHNC0002,3,01:30,y,0.41494041295175105
2026-06-14,DHNC0002,4,02:00,y,0.41494041295175105
2026-06-14,DHNC0002,5,02:30,y,0.41494041295175105
2026-06-14,DHNC0002,10,05:00,y,0.41494041295175105
2026-06-14,DHNC0002,11,05:30,y,0.41494041295175105
2026-06-14,DHNC0002,13,06:30,y,0.41494041295175105
2026-06-14,DHNC0002,16,08:00,y,0.41494041295175105
2026-06-14,DHNC0002,17,08:30,y,0.41494041295175105
2026-06-14,DHNC0002,21,10:30,y,0.22032042507821228
2026-06-14,DHNC0002,31,15:30,y,0.41494041295175105
2026-06-14,DHNC0002,32,16:00,y,0.41494041295175105
2026-06-14,DHNC0002,33,16:30,y,0.41494041295175105
2026-06-14,DHNC0002,36,18:00,y,0.41494041295175105
2026-06-14,DHNC0002,39,19:30,y,0.41494041295175105
2026-06-14,DHNC0002,41,20:30,y,0.41494041295175105
2026-06-14,DHNC0002,42,21:00,y,0.41494041295175105
2026-06-14,DHNC0002,44,22:00,y,0.41494041295175105
2026-06-14,DHNC0002,46,23:00,y,0.41494041295175105
2026-06-14,DHNC0002,47,23:30,y,0.41494041295175105
2026-06-14,DHNC0003,0,00:00,y,0.44008259670880423
2026-06-14,DHNC0003,1,00:30,y,0.44008259670880423
2026-06-14,DHNC0003,4,02:00,y,0.44008259670880423
2026-06-14,DHNC0003,5,02:30,y,0.44008259670880423
2026-06-14,DHNC0003,8,04:00,y,0.44008259670880423
2026-06-14,DHNC0003,9,04:30,y,0.44008259670880423
2026-06-14,DHNC0003,10,05:00,y,0.44008259670880423
