date,consumer_id,slot,clock,var,value
2026-06-14,KLNC0001,38,19:00,x,1.0
2026-06-14,KLNC0001,40,20:00,x,1.0
2026-06-14,KLNC0002,37,18:30,x,1.0
2026-06-14,KLNC0005,37,18:30,x,1.0
2026-06-14,KLNC0007,40,20:00,x,1.0
2026-06-14,KLNC0008,40,20:00,x,1.0
2026-06-14,KLNC0010,36,18:00,x,0.1501249211888783
2026-06-14,KLNC0010,39,19:30,x,1.0
2026-06-14,KLNC0012,37,18:30,x,1.0
2026-06-14,KLNC0012,40,20:00,x,1.0
2026-06-14,KLNC0015,36,18:00,x,1.0
2026-06-14,KLNC0015,37,18:30,x,1.0
2026-06-14,KLNC0015,38,19:00,x,1.0
2026-06-14,KLNC0015,40,20:00,x,1.0
2026-06-14,KLNC0019,37,18:30,x,1.0
2026-06-14,KLNC0023,37,18:30,x,1.0
2026-06-14,KLNC0023,40,20:00,x,1.0
2026-06-14,KLNC0025,37,18:30,x,1.0
2026-06-14,KLNC0025,40,20:00,x,1.0
2026-06-14,KLNC0028,37,18:30,x,1.0
2026-06-14,KLNC0031,37,18:30,x,1.0
2026-06-14,KLNC0031,39,19:30,x,1.0
2026-06-14,KLNC0033,37,18:30,x,1.0
2026-06-14,KLNC0034,39,19:30,x,1.0
2026-06-14,KLNC0047,40,20:00,x,1.0
2026-06-14,KLNC0049,39,19:30,x,1.0
2026-06-14,KLNC0050,39,19:30,x,1.0
2026-06-14,KLNC0050,40,20:00,x,1.0
2026-06-14,KLNC0058,37,18:30,x,1.0
2026-06-14,KLNC0058,39,19:30,x,1.0
2026-06-14,KLNC0061,37,18:30,x,1.0
2026-06-14,KLNC0062,37,18:30,x,1.0
2026-06-14,KLNC0063,37,18:30,x,1.0
2026-06-14,KLNC0064,37,18:30,x,1.0
2026-06-14,KLNC0066,37,18:30,x,0.5977716738193983
2026-06-14,KLNC0069,37,18:30,x,1.0
2026-06-14,KLNC0074,37,18:30,x,1.0
2026-06-14,KLNC0080,39,19:30,x,0.11207569430842493
2026-06-14,KLNC0082,38,19:00,x,1.0
2026-06-14,KLNC0082,39,19:30,x,1.0
2026-06-14,KLNC0082,40,20:00,x,1.0
2026-06-14,KLNC0087,39,19:30,x,1.0
2026-06-14,KLNC0088,36,18:00,x,1.0
2026-06-14,KLNC0088,37,18:30,x,1.0
2026-06-14,KLNC0091,37,18:30,x,1.0
2026-06-14,KLNC0094,37,18:30,x,1.0
2026-06-14,KLNC0095,37,18:30,x,1.0
2026-06-14,KLNC0100,37,18:30,x,1.0
2026-06-14,KLNC0100,38,19:00,x,1.0
2026-06-14,KLNC0100,40,20:00,x,1.0
2026-06-14,KLNC0111,39,19:30,x,1.0
2026-06-14,KLNC0113,37,18:30,x,1.0
2026-06-14,KLNC0113,40,20:00,x,1.0
2026-06-14,KLNC0115,39,19:30,x,1.0
2026-06-14,KLNC0119,36,18:00,x,1.0
2026-06-14,KLNC0119,37,18:30,x,1.0
2026-06-14,KLNC0119,39,19:30,x,1.0
2026-06-14,KLNC0122,36,18:00,x,1.0
2026-06-14,KLNC0122,39,19:30,x,1.0
2026-06-14,KLNC0123,36,18:00,x,1.0
2026-06-14,KLNC0123,37,18:30,x,1.0
2026-06-14,KLNC0123,40,20:00,x,1.0
2026-06-14,KLNC0123,41,20:30,x,0.39107714885620914
2026-06-14,KLNC0126,36,18:00,x,0.7705103927704966
2026-06-14,KLNC0126,37,18:30,x,1.0
2026-06-14,KLNC0126,39,19:30,x,1.0
2026-06-14,KLNC0127,40,20:00,x,0.34333507494497933
2026-06-14,KLNC0134,38,19:00,x,0.9966120762881001
2026-06-14,KLNC0139,37,18:30,x,1.0
2026-06-14,KLNC0140,37,18:30,x,1.0
2026-06-14,KLNC0140,38,19:00,x,1.0
2026-06-14,KLNC0141,36,18:00,x,1.0
2026-06-14,KLNC0141,37,18:30,x,1.0
2026-06-14,KLNC0141,38,19:00,x,1.0
2026-06-14,KLNC0141,39,19:30,x,1.0
2026-06-14,KLNC0143,40,20:00,x,0.9894902640031834
2026-06-14,KLNC0148,40,20:00,x,1.0
2026-06-14,KLNC0149,37,18:30,x,1.0
2026-06-14,KLNC0149,39,19:30,x,1.0
2026-06-14,KLNC0149,40,20:00,x,1.0
2026-06-14,KLNC0152,37,18:30,x,1.0
2026-06-14,KLNC0156,36,18:00,x,1.0
2026-06-14,KLNC0156,37,18:30,x,1.0
2026-06-14,KLNC0156,39,19:30,x,1.0
2026-06-14,KLNC0156,40,20:00,x,1.0
2026-06-14,KLNC0157,40,20:00,x,1.0
2026-06-14,KLNC0160,37,18:30,x,1.0
2026-06-14,KLNC0160,39,19:30,x,0.5044565841026704
2026-06-14,KLNC0161,40,20:00,x,1.0
2026-06-14,KLNC0162,37,18:30,x,1.0
2026-06-14,KLNC0162,41,20:30,x,1.0
2026-06-14,KLNC0163,40,20:00,x,1.0
2026-06-14,KLNC0163,41,20:30,x,1.0
2026-06-14,KLNC0171,36,18:00,x,1.0
2026-06-14,KLNC0172,37,18:30,x,1.0
2026-06-14,KLNC0173,37,18:30,x,1.0
2026-06-14,KLNC0173,40,20:00,x,1.0
2026-06-14,KLNC0183,37,18:30,x,1.0
2026-06-14,KLNC0185,36,18:00,x,0.2032261492019363
2026-06-14,KLNC0185,37,18:30,x,1.0
2026-06-14,KLNC0185,39,19:30,x,1.0
2026-06-14,KLNC0185,40,20:00,x,1.0
2026-06-14,KLNC0192,37,18:30,x,1.0
2026-06-14,KLNC0192,39,19:30,x,0.4280733666252822
2026-06-14,KLNC0195,37,18:30,x,1.0
2026-06-14,KLNC0199,40,20:00,x,1.0
2026-06-14,KLNC0199,41,20:30,x,1.0
2026-06-14,KLNC0200,37,18:30,x,1.0
2026-06-14,KLNC0200,38,19:00,x,1.0
2026-06-14,KLNC0200,40,20:00,x,1.0
2026-06-14,KLNC0201,37,18:30,x,1.0
2026-06-14,KLNC0207,37,18:30,x,0.6128062577954562
2026-06-14,KLNC0208,36,18:00,x,1.0
2026-06-14,KLNC0211,39,19:30,x,1.0
2026-06-14,KLNC0212,37,18:30,x,1.0
2026-06-14,KLNC0227,40,20:00,x,1.0
2026-06-14,KLNC0234,38,19:00,x,1.0
2026-06-14,KLNC0242,38,19:00,x,1.0
2026-06-14,KLNC0242,41,20:30,x,1.0
2026-06-14,KLNC0244,36,18:00,x,0.9242158432845125
2026-06-14,KLNC0247,37,18:30,x,1.0
2026-06-14,KLNC0248,37,18:30,x,1.0
2026-06-14,KLNC0250,36,18:00,x,1.0
2026-06-14,KLNC0250,37,18:30,x,1.0
2026-06-14,KLNC0250,38,19:00,x,1.0
2026-06-14,KLNC0250,39,19:30,x,1.0
2026-06-14,KLNC0250,40,20:00,x,1.0
2026-06-14,KLNC0250,41,20:30,x,1.0
2026-06-14,KLNC0254,37,18:30,x,1.0
2026-06-14,KLNC0255,40,20:00,x,1.0
2026-06-14,KLNC0257,39,19:30,x,1.0
2026-06-14,KLNC0259,40,20:00,x,1.0
2026-06-14,KLNC0260,37,18:30,x,1.0
2026-06-14,KLNC0265,37,18:30,x,1.0
2026-06-14,KLNC0275,36,18:00,x,1.0
2026-06-14,KLNC0275,37,18:30,x,1.0
2026-06-14,KLNC0275,38,19:00,x,1.0
2026-06-14,KLNC0275,39,19:30,x,1.0
2026-06-14,KLNC0275,40,20:00,x,1.0
2026-06-14,KLNC0275,41,20:30,x,1.0
2026-06-14,KLNC0277,37,18:30,x,1.0
2026-06-14,KLNC0277,39,19:30,x,1.0
2026-06-14,KLNC0277,40,20:00,x,1.0
2026-06-14,KLNC0279,36,18:00,x,1.0
2026-06-14,KLNC0279,37,18:30,x,1.0
2026-06-14,KLNC0282,36,18:00,x,1.0
2026-06-14,KLNC0282,37,18:30,x,1.0
2026-06-14,KLNC0286,36,18:00,x,1.0
2026-06-14,KLNC0286,37,18:30,x,1.0
2026-06-14,KLNC0288,36,18:00,x,1.0
2026-06-14,KLNC0288,37,18:30,x,1.0
2026-06-14,KLNC0288,38,19:00,x,1.0
2026-06-14,KLNC0288,39,19:30,x,1.0
2026-06-14,KLNC0288,40,20:00,x,1.0
2026-06-14,KLNC0288,41,20:30,x,1.0
2026-06-14,KLNC0289,36,18:00,x,1.0
2026-06-14,KLNC0289,37,18:30,x,1.0
2026-06-14,KLNC0293,37,18:30,x,1.0
