date,consumer_id,slot,clock,var,value
2026-06-30,KLNC0275,36,18:00,x,1.0
2026-06-30,KLNC0275,37,18:30,x,1.0
2026-06-30,KLNC0275,38,19:00,x,1.0
2026-06-30,KLNC0275,39,19:30,x,1.0
2026-06-30,KLNC0275,40,20:00,x,1.0
2026-06-30,KLNC0275,41,20:30,x,1.0
2026-06-30,KLNC0279,36,18:00,x,1.0
2026-06-30,KLNC0279,37,18:30,x,1.0
2026-06-30,KLNC0296,36,18:00,x,1.0
2026-06-30,KLNC0296,37,18:30,x,1.0
2026-06-30,KLNC0296,38,19:00,x,1.0
2026-06-30,KLNC0296,39,19:30,x,1.0
2026-06-30,KLNC0296,41,20:30,x,1.0
2026-06-30,KLNC0306,36,18:00,x,1.0
2026-06-30,KLNC0306,37,18:30,x,1.0
2026-06-30,KLNC0306,39,19:30,x,1.0
2026-06-30,KLNC0306,40,20:00,x,1.0
2026-06-30,KLNC0306,41,20:30,x,1.0
2026-06-30,KLNC0318,36,18:00,x,1.0
2026-06-30,KLNC0321,36,18:00,x,1.0
2026-06-30,KLNC0321,37,18:30,x,1.0
2026-06-30,KLNC0321,38,19:00,x,1.0
2026-06-30,KLNC0321,39,19:30,x,1.0
2026-06-30,KLNC0321,40,20:00,x,1.0
2026-06-30,KLNC0321,41,20:30,x,1.0
2026-06-30,KLNC0322,36,18:00,x,1.0
2026-06-30,KLNC0322,37,18:30,x,0.7416101495488792
2026-06-30,KLNC0324,36,18:00,x,1.0
2026-06-30,KLNC0324,37,18:30,x,1.0
2026-06-30,KLNC0324,38,19:00,x,1.0
2026-06-30,KLNC0324,39,19:30,x,1.0
2026-06-30,KLNC0324,40,20:00,x,1.0
2026-06-30,KLNC0324,41,20:30,x,1.0
2026-06-30,KLNC0336,36,18:00,x,1.0
2026-06-30,KLNC0336,37,18:30,x,1.0
2026-06-30,KLNC0341,36,18:00,x,1.0
2026-06-30,KLNC0341,37,18:30,x,1.0
2026-06-30,KLNC0343,36,18:00,x,1.0
2026-06-30,KLNC0343,37,18:30,x,1.0
2026-06-30,KLNC0343,40,20:00,x,1.0
2026-06-30,KLNC0344,40,20:00,x,1.0
2026-06-30,KLNC0346,36,18:00,x,1.0
2026-06-30,KLNC0346,39,19:30,x,1.0
2026-06-30,KLNC0349,36,18:00,x,1.0
2026-06-30,KLNC0349,39,19:30,x,1.0
2026-06-30,KLNC0350,36,18:00,x,1.0
2026-06-30,KLNC0350,37,18:30,x,0.016774637626651868
2026-06-30,KLNC0353,36,18:00,x,1.0
2026-06-30,DHNC0001,3,01:30,y,0.336160097220683
2026-06-30,DHNC0001,4,02:00,y,0.336160097220683
2026-06-30,DHNC0001,6,03:00,y,0.336160097220683
2026-06-30,DHNC0001,7,03:30,y,0.336160097220683
2026-06-30,DHNC0001,8,04:00,y,0.336160097220683
2026-06-30,DHNC0001,11,05:30,y,0.336160097220683
