date,substation,slot,clock,G_kw,Bch_kw,Bdis_kw,T_out_kw,T_in_kw,nu_kwh,Z_critical_kw,Z_shiftable_kw,Z_curtailable_kw,SoC_kwh,pi_tk_per_kwh,pi4_tk_per_kwh,c1_slack_kw,post_response_kw,baseline_kw,theta_c,day_mode,weather_source
2026-06-14,Dhanmondi,0,00:00,57157.202805943896,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24750.0,8.39,0.0,-7.275957614183426e-12,47925.27325940619,47792.80337136417,27.104611918912664,observed,observed
2026-06-14,Dhanmondi,1,00:30,47066.10192632092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24750.0,8.39,0.0,-7.275957614183426e-12,47832.68857901132,47700.21869096932,26.98697319145164,observed,observed
2026-06-14,Dhanmondi,2,01:00,53057.13213210319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24750.0,8.39,0.0,-7.275957614183426e-12,53921.29737328191,53788.82748523991,26.880991112975366,observed,observed
2026-06-14,Dhanmondi,3,01:30,51734.36371867977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24750.0,8.39,0.0,-7.275957614183426e-12,52576.98443909238,52444.51455105039,26.785510643230637,observed,observed
2026-06-14,Dhanmondi,4,02:00,50431.911560433364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24750.0,8.39,0.0,-7.275957614183426e-12,51253.31866001456,51120.84877197254,26.699491193209045,observed,observed
2026-06-14,Dhanmondi,5,02:30,45586.75441352292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24750.0,8.39,0.0,-7.275957614183426e-12,46329.246271624725,46196.7763835827,26.621995284340986,observed,observed
2026-06-14,Dhanmondi,6,03:00,48362.91568617998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24750.0,8.39,0.0,-7.275957614183426e-12,49150.624124585505,49018.15423654349,26.55217833143349,observed,observed
2026-06-14,Dhanmondi,7,03:30,41129.108090009984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24750.0,8.39,0.0,-7.275957614183426e-12,41798.99626872978,41666.52638068776,26.489279438001745,observed,observed
2026-06-14,Dhanmondi,8,04:00,55024.7481308028,1653.5967120771463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25535.458438236645,8.39,0.0,-7.275957614183426e-12,54240.43123247273,54107.96134443074,26.43261310367777,observed,observed
2026-06-14,Dhanmondi,9,04:30,43452.128304701495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25535.458438236645,8.39,0.0,-7.275957614183426e-12,44159.85255264368,44027.38266460167,26.381561753319733,observed,observed
2026-06-14,Dhanmondi,10,05:00,64616.44641384303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25535.458438236645,8.39,0.0,-7.275957614183426e-12,65668.88337670603,65536.41348866401,26.33556900640093,observed,observed
2026-06-14,Dhanmondi,11,05:30,70576.52324423383,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30285.458438236645,8.39,0.0,7.275957614183426e-12,61563.1601715518,61430.69028350979,26.4083004179822,observed,observed
2026-06-14,Dhanmondi,12,06:00,63970.714178806455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30285.458438236645,8.39,0.0,-7.275957614183426e-12,65012.63381194951,64880.16392390751,26.916570743420596,observed,observed
2026-06-14,Dhanmondi,13,06:30,68593.33116239423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30285.458438236645,8.39,0.0,1.4551915228366852e-11,69710.5414258441,69578.0715378021,27.416757986534215,observed,observed
2026-06-14,Dhanmondi,14,07:00,76492.49861892547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30285.458438236645,8.39,0.0,1.4551915228366852e-11,77738.36615569328,77605.89626765126,27.904815722412494,observed,observed
2026-06-14,Dhanmondi,15,07:30,83581.55894739361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30285.458438236645,8.39,0.0,1.4551915228366852e-11,84942.88918035896,84810.41929231693,28.37679565167867,observed,observed
2026-06-14,Dhanmondi,16,08:00,86737.11025061135,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35035.458438236645,8.39,0.0,1.4551915228366852e-11,77986.9618864285,77854.49199838653,28.828879541522205,observed,observed
2026-06-14,Dhanmondi,17,08:30,82500.54399449755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35035.458438236645,8.39,0.0,1.4551915228366852e-11,83844.26725343418,83711.79736539217,29.25741011451607,observed,observed
2026-06-14,Dhanmondi,18,09:00,96611.62313843658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35035.458438236645,8.39,0.0,1.4551915228366852e-11,98185.17985466137,98052.70996661932,29.6589206353339,observed,observed
2026-06-14,Dhanmondi,19,09:30,110000.00000000001,9982.18684023522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39776.997187348374,8.39,0.0,0.0,101646.8480163073,101514.37812826528,30.030162956015786,observed,observed
2026-06-14,Dhanmondi,20,10:00,99910.01049270119,0.0,0.0,3397.566804234299,0.0,0.0,0.0,0.0,0.0,39776.997187348374,8.39,0.0,1.4551915228366852e-11,98084.38502463135,97951.91513658932,30.368133792901574,observed,observed
2026-06-14,Dhanmondi,21,10:30,99062.34518195012,0.0,0.0,3259.853357016226,0.0,0.0,0.0,0.0,0.0,39776.997187348374,8.39,0.0,1.4551915228366852e-11,97362.86985756652,97230.39996952444,30.670099022655958,observed,observed
2026-06-14,Dhanmondi,22,11:00,110000.00000000001,469.47960558237173,0.0,8711.592775104571,0.0,0.0,0.0,0.0,0.0,40000.0,8.39,0.0,1.4551915228366852e-11,102461.01058536183,102328.54069731981,30.933615800834932,observed,observed
2026-06-14,Dhanmondi,23,11:30,110000.00000000001,0.0,-0.0,3201.158417951193,0.0,0.0,0.0,0.0,0.0,40000.0,49.3,0.0,0.0,108538.32208136356,108405.85219332157,31.156552324058353,observed,observed
2026-06-14,Dhanmondi,24,12:00,110000.00000000001,0.0,3422.2978158196534,0.0,0.0,0.0,0.0,0.0,0.0,38288.851092090175,49.29999999999998,0.0,0.0,115095.75559364773,123382.18859724286,31.337105075916185,observed,observed
2026-06-14,Dhanmondi,25,12:30,110000.00000000001,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,1090.9061007368798,33288.851092090175,60.0,0.0,-1.4551915228366852e-11,122555.02412345697,130694.56571717608,31.473813417092156,observed,observed
2026-06-14,Dhanmondi,26,13:00,110000.00000000001,0.0,0.0,836.320280268691,0.0,0.0,0.0,0.0,0.0,33288.851092090175,49.3,0.0,0.0,110941.67739548345,118124.96476059729,31.565571401673356,observed,observed
2026-06-14,Dhanmondi,27,13:30,110000.00000000001,0.0,5658.201587571716,7186.001167168832,0.0,0.0,0.0,0.0,0.0,30459.750298304316,49.3,0.0,1.4551915228366852e-11,109951.41770116366,115186.30960794333,31.6116367240539,observed,observed
2026-06-14,Dhanmondi,28,14:00,110000.00000000001,0.0,3894.0256614044047,8088.2074556281095,0.0,0.0,0.0,0.0,0.0,28512.737467602114,49.3,0.0,0.0,107331.25241927664,115039.74675501119,31.6116367240539,observed,observed
2026-06-14,Dhanmondi,29,14:30,110000.00000000001,0.0,0.0,1953.4518647510058,0.0,0.0,0.0,0.0,0.0,28512.737467602114,49.3,0.0,0.0,109806.35058924052,109673.8807011985,31.565571401673356,observed,observed
