date,substation,slot,clock,G_kw,Bch_kw,Bdis_kw,T_out_kw,T_in_kw,nu_kwh,Z_critical_kw,Z_shiftable_kw,Z_curtailable_kw,SoC_kwh,pi_tk_per_kwh,pi4_tk_per_kwh,c1_slack_kw,post_response_kw,baseline_kw,theta_c,day_mode,weather_source
2026-06-14,Dhanmondi,0,00:00,46391.500714024434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,0.0,7.275957614183426e-12,47147.099835050416,47792.80337136417,27.104611918912664,observed,observed
2026-06-14,Dhanmondi,1,00:30,46841.6085413576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,0.0,7.275957614183426e-12,47604.53876988098,47700.21869096932,26.98697319145164,observed,observed
2026-06-14,Dhanmondi,2,01:00,51439.4283457984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,0.0,7.275957614183426e-12,52277.245321881164,53788.82748523991,26.880991112975366,observed,observed
2026-06-14,Dhanmondi,3,01:30,49918.050826082115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,0.0,0.0,50731.08844605538,52444.51455105039,26.785510643230637,observed,observed
2026-06-14,Dhanmondi,4,02:00,50156.3787281428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,0.0,0.0,50973.298101250635,51120.84877197254,26.699491193209045,observed,observed
2026-06-14,Dhanmondi,5,02:30,45574.23244304497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,0.0,7.275957614183426e-12,46316.52035021305,46196.7763835827,26.621995284340986,observed,observed
2026-06-14,Dhanmondi,6,03:00,48165.16266360424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,0.0,7.275957614183426e-12,48949.65021008476,49018.15423654349,26.55217833143349,observed,observed
2026-06-14,Dhanmondi,7,03:30,40604.18020001315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,0.0,0.0,41265.5186434112,41666.52638068776,26.489279438001745,observed,observed
2026-06-14,Dhanmondi,8,04:00,52700.40862624075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,0.0,0.0,53558.76375213259,54107.96134443074,26.43261310367777,observed,observed
2026-06-14,Dhanmondi,9,04:30,53425.24497114314,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24750.0,8.39,0.0,7.275957614183426e-12,44132.5313582079,44027.38266460167,26.381561753319733,observed,observed
2026-06-14,Dhanmondi,10,05:00,74567.39588818963,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29500.0,8.39,0.0,-7.275957614183426e-12,65619.03394320316,65536.41348866401,26.33556900640093,observed,observed
2026-06-14,Dhanmondi,11,05:30,59875.585673593705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29500.0,8.39,0.0,7.275957614183426e-12,60850.806117199805,61430.69028350979,26.4083004179822,observed,observed
2026-06-14,Dhanmondi,12,06:00,63628.72196249155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29500.0,8.39,0.0,0.0,64665.07141544928,64880.16392390751,26.916570743420596,observed,observed
2026-06-14,Dhanmondi,13,06:30,67898.15405234636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29500.0,8.39,0.0,0.0,69004.04165528248,69578.0715378021,27.416757986534215,observed,observed
2026-06-14,Dhanmondi,14,07:00,76538.23548586383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29500.0,8.39,0.0,-1.4551915228366852e-11,77784.8479594396,77605.89626765126,27.904815722412494,observed,observed
2026-06-14,Dhanmondi,15,07:30,83476.50149882826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29500.0,8.39,0.0,-1.4551915228366852e-11,84836.12061414124,84810.41929231693,28.37679565167867,observed,observed
2026-06-14,Dhanmondi,16,08:00,75676.74296724073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29500.0,8.39,0.0,0.0,76909.32392685757,77854.49199838653,28.828879541522205,observed,observed
2026-06-14,Dhanmondi,17,08:30,82389.80956023025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29500.0,8.39,0.0,0.0,83731.7292379093,83711.79736539217,29.25741011451607,observed,observed
2026-06-14,Dhanmondi,18,09:00,96222.88911734724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29500.0,8.39,0.0,-2.9103830456733704e-11,97790.11434870679,98052.70996661932,29.6589206353339,observed,observed
2026-06-14,Dhanmondi,19,09:30,109938.5878074233,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34250.0,8.39,0.0,0.0,101566.3322852182,101514.37812826528,30.030162956015786,observed,observed
2026-06-14,Dhanmondi,20,10:00,107059.74812781379,10000.0,0.0,703.1144661586511,0.0,0.0,0.0,0.0,0.0,39000.0,8.39,0.0,0.0,97926.03725022591,97951.91513658932,30.368133792901574,observed,observed
2026-06-14,Dhanmondi,21,10:30,98693.72017824644,2105.263157894737,0.0,939.0078156506902,0.0,0.0,0.0,0.0,0.0,40000.0,8.39,0.0,0.0,97207.3345637286,97230.39996952444,30.670099022655958,observed,observed
2026-06-14,Dhanmondi,22,11:00,107251.29244352308,2.3934071099287584e-13,0.0,7168.2720122562305,0.0,0.0,0.0,0.0,0.0,40000.0,8.39,0.0,-1.4551915228366852e-11,101713.11734780467,102328.54069731981,30.933615800834932,observed,observed
2026-06-14,Dhanmondi,23,11:30,110000.00000000001,0.0,0.0,8796.219959301094,0.0,0.0,0.0,0.0,0.0,40000.0,40.7005,0.0,0.0,102852.13127026247,108405.85219332157,31.156552324058353,observed,observed
2026-06-14,Dhanmondi,24,12:00,110000.00000000001,0.0,10000.0,8453.812541369589,0.0,0.0,0.0,0.0,0.0,35000.0,49.3,0.0,1.4551915228366852e-11,112854.84637988983,123382.18859724286,31.337105075916185,observed,observed
2026-06-14,Dhanmondi,25,12:30,110000.00000000001,0.0,10000.0,1556.4878632304524,0.0,0.0,0.0,0.0,0.0,30000.0,49.3,0.0,0.0,119864.51086993456,130694.56571717608,31.473813417092156,observed,observed
2026-06-14,Dhanmondi,26,13:00,110000.00000000001,0.0,9368.510865022323,11428.571428571437,0.0,0.0,0.0,0.0,0.0,25315.744567488837,48.33850415512466,0.0,1.4551915228366852e-11,109221.95050730315,118124.96476059729,31.565571401673356,observed,observed
2026-06-14,Dhanmondi,27,13:30,110000.00000000001,0.0,8089.180734330014,11428.571428571431,0.0,0.0,0.0,0.0,0.0,21271.154200323832,48.33850415512465,0.0,-1.4551915228366852e-11,107986.79171221977,115186.30960794333,31.6116367240539,observed,observed
2026-06-14,Dhanmondi,28,14:00,110000.00000000001,3672.994906400355,0.0,959.5612847123648,0.0,0.0,0.0,0.0,0.0,23015.826780864,40.7005,0.0,-1.4551915228366852e-11,107083.61049246871,115039.74675501119,31.6116367240539,observed,observed
2026-06-14,Dhanmondi,29,14:30,110000.00000000001,643.7622019350765,0.0,7717.3080354168,0.0,0.0,0.0,0.0,0.0,23321.613826783163,40.7005,0.0,-1.4551915228366852e-11,103294.36847035663,109673.8807011985,31.565571401673356,observed,observed
2026-06-14,Dhanmondi,30,15:00,110000.00000000001,1964.3251336858784,0.0,1450.846278767371,0.0,0.0,0.0,0.0,0.0,24254.66826528395,40.7005,0.0,-1.4551915228366852e-11,108320.82336150135,113131.44106230793,31.473813417092156,observed,observed
2026-06-14,Dhanmondi,31,15:30,110000.00000000001,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29004.66826528395,40.70049999999999,0.0,0.0,101628.74472564233,107433.24315636425,31.337105075916185,observed,observed
2026-06-14,Dhanmondi,32,16:00,110000.00000000001,10000.0,0.0,5549.054702493067,0.0,0.0,0.0,0.0,0.0,33754.66826528395,40.7005,0.0,0.0,95989.31008735947,100460.47732723695,31.156552324058353,observed,observed
2026-06-14,Dhanmondi,33,16:30,110000.00000000001,2700.1594068920494,0.0,8605.104501564634,0.0,0.0,0.0,0.0,0.0,35037.24398355768,40.7005,0.0,0.0,100302.22140012101,105635.01649495642,30.933615800834932,observed,observed
2026-06-14,Dhanmondi,34,17:00,110000.00000000001,0.0,10000.0,7612.25746593523,0.0,0.0,0.0,0.0,0.0,30037.243983557677,49.3,0.0,1.4551915228366852e-11,113710.10823922869,122394.50606311139,30.670099022655958,observed,observed
