date,substation,slot,clock,G_kw,Bch_kw,Bdis_kw,T_out_kw,T_in_kw,nu_kwh,Z_critical_kw,Z_shiftable_kw,Z_curtailable_kw,SoC_kwh,pi_tk_per_kwh,c1_slack_kw,post_response_kw,baseline_kw,theta_c,day_mode,weather_source
2026-06-30,Dhanmondi,0,00:00,47139.58402281657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,0.0,41468.69647323898,47291.96212249071,26.767639691677346,forecast,climatology
2026-06-30,Dhanmondi,1,00:30,50066.538762811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,0.0,44043.53883173303,47201.46068481975,26.65874197117587,forecast,climatology
2026-06-30,Dhanmondi,2,01:00,54743.26269188952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,0.0,48157.653309498106,53169.53130324995,26.56062904154156,forecast,climatology
2026-06-30,Dhanmondi,3,01:30,54845.468534089596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,-7.275957614183426e-12,48247.563798439514,51880.41519809041,26.472232820600492,forecast,climatology
2026-06-30,Dhanmondi,4,02:00,48360.1943912397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,7.275957614183426e-12,42542.467528489055,50591.14210496658,26.392591004727837,forecast,climatology
2026-06-30,Dhanmondi,5,02:30,49932.22740486852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,7.275957614183426e-12,43925.38511759064,45753.344485321104,26.320836592967158,forecast,climatology
2026-06-30,Dhanmondi,6,03:00,49171.96390527242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,7.275957614183426e-12,43256.581245898116,48540.13081249993,26.25618844863863,forecast,climatology
2026-06-30,Dhanmondi,7,03:30,45009.31106149297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,0.0,39594.69514994526,41343.66856869673,26.19794279568754,forecast,climatology
2026-06-30,Dhanmondi,8,04:00,50256.927976084655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,-7.275957614183426e-12,44211.02424045458,53548.457793620924,26.145465557200097,forecast,climatology
2026-06-30,Dhanmondi,9,04:30,43953.24089717085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,0.0,38665.670127630234,43663.100532179014,26.09818545268173,forecast,climatology
2026-06-30,Dhanmondi,10,05:00,63343.84259778156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,0.0,55723.58425701447,64991.54019381884,26.0555877789531,forecast,climatology
2026-06-30,Dhanmondi,11,05:30,62420.22356844661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,0.0,54911.07651053413,61015.39843606158,26.11994732967873,forecast,climatology
2026-06-30,Dhanmondi,12,06:00,68647.67041139968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,0.0,60389.362080654035,64535.61771420979,26.590745776671884,forecast,climatology
2026-06-30,Dhanmondi,13,06:30,74098.0269766861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,8.39,-1.4551915228366852e-11,65184.0412608393,69193.63237175753,27.054074836754857,forecast,climatology
2026-06-30,Dhanmondi,14,07:00,67875.34264604951,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,8.39,-1.4551915228366852e-11,68067.09616166388,76976.49907756891,27.50618372903118,forecast,climatology
2026-06-30,Dhanmondi,15,07:30,89668.34754017535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,8.39,0.0,78881.25371663527,84124.30343919409,27.943412503063097,forecast,climatology
2026-06-30,Dhanmondi,16,08:00,80176.81694006147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,8.39,0.0,70531.55336009266,77071.33123081033,28.362221667214293,forecast,climatology
2026-06-30,Dhanmondi,17,08:30,84334.96394115454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,8.39,0.0,74189.47566581288,82751.73184392613,28.759220841844247,forecast,climatology
2026-06-30,Dhanmondi,18,09:00,107708.90302888444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,8.39,0.0,94751.53206715688,96580.26626524841,29.131196205398467,forecast,climatology
2026-06-30,Dhanmondi,19,09:30,103641.78923202514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,8.39,1.4551915228366852e-11,91173.69167971419,99754.04131220016,29.47513651121065,forecast,climatology
2026-06-30,Dhanmondi,20,10:00,103805.19423740573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,8.39,1.4551915228366852e-11,91317.43907822874,96192.31788913255,29.788257464403333,forecast,climatology
2026-06-30,Dhanmondi,21,10:30,93550.0714339052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,8.39,0.0,82296.00658895774,95479.90656497572,30.068024261549102,forecast,climatology
2026-06-30,Dhanmondi,22,11:00,106766.82884411131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,8.39,1.4551915228366852e-11,93922.78931871177,100669.4137613312,30.31217211062733,forecast,climatology
