date,F_tk,F_Dhanmondi,F_Kalyanpur,G_id_kwh_Dhanmondi,B_id_kwh_Dhanmondi,T_ijd_kwh_Dhanmondi,f_cost_tk_Dhanmondi,f_rel_tk_Dhanmondi,f_wel_tk_Dhanmondi,G_id_kwh_Kalyanpur,B_id_kwh_Kalyanpur,T_ijd_kwh_Kalyanpur,f_cost_tk_Kalyanpur,f_rel_tk_Kalyanpur,f_wel_tk_Kalyanpur,varpi_Dhanmondi,varpi_Kalyanpur,soc_end_Dhanmondi,soc_end_Kalyanpur,max_c1_slack_kw,n_c7_binding
2026-06-14,56181693.936545916,28558427.287842438,27623266.64870348,1877182.386350876,12000.0,0.0,15767560.22148385,0.0,12790867.066358585,1886525.1398776702,9000.0,0.0,15841445.923573654,0.0,11781820.725129824,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,287
2026-06-15,57510035.32731857,29762044.400391847,27747990.926926725,1980312.6232079454,0.0,0.0,16614822.908714663,0.0,13147221.491677182,1876129.9375897718,0.0,0.0,15740730.176378187,0.0,12007260.75054854,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,289
2026-06-16,54064256.96765048,26131031.509723563,27933225.457926918,1583740.3849440694,0.0,0.0,13287581.829680743,0.0,12843449.68004282,1909073.1469509532,0.0,0.0,16017123.702918498,0.0,11916101.75500842,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,266
2026-06-17,58308730.02493845,29938961.650829937,28369768.374108512,1993036.909374914,0.0,0.0,16721579.669655528,0.0,13217381.98117441,1952206.3338421609,0.0,0.0,16379011.14093573,0.0,11990757.233172782,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,314
2026-06-18,56247581.20327266,29041881.86132573,27205699.341946933,1913038.5583483,0.0,0.0,16050393.504542237,0.0,12991488.356783492,1822116.8269832772,0.0,0.0,15287560.178389696,0.0,11918139.163557237,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,282
2026-06-19,49634755.89709742,23454416.863187518,26180339.03390991,1321895.1610584375,0.0,0.0,11090700.401280291,0.0,12363716.461907227,1745962.9589589064,0.0,0.0,14648629.225665225,0.0,11531709.808244687,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,241
2026-06-20,56506677.71672999,27730348.54547216,28776329.17125783,1712789.1450409503,0.0,0.0,14370300.926893573,0.0,13360047.618578589,1975810.3589690817,0.0,0.0,16577048.911750596,0.0,12199280.259507235,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,297
2026-06-21,59154562.51299303,30875640.827596225,28278921.685396805,2098925.068614779,0.0,0.0,17609981.325678,0.0,13265659.501918228,1927103.3565313076,0.0,0.0,16168397.161297671,0.0,12110524.524099132,0.0,0.0,8000.0,6000.0,4.3655745685100555e-11,296
2026-06-22,55964123.94325319,28543420.47219532,27420703.47105787,1868757.7265361557,0.0,0.0,15678877.325638346,0.0,12864543.146556973,1857065.7519905455,0.0,0.0,15580781.659200678,0.0,11839921.811857194,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,282
2026-06-23,55981000.32281472,27156338.250821136,28824662.071993582,1669882.7816949452,0.0,0.0,14010316.538420592,0.0,13146021.712400544,2000068.829233781,0.0,0.0,16780577.477271423,0.0,12044084.594722161,0.0,0.0,8000.0,6000.0,1.4551915228366852e-11,296
