date,F_tk,F_Dhanmondi,F_Kalyanpur,G_id_kwh_Dhanmondi,B_id_kwh_Dhanmondi,T_ijd_kwh_Dhanmondi,f_cost_tk_Dhanmondi,f_rel_tk_Dhanmondi,f_wel_tk_Dhanmondi,G_id_kwh_Kalyanpur,B_id_kwh_Kalyanpur,T_ijd_kwh_Kalyanpur,f_cost_tk_Kalyanpur,f_rel_tk_Kalyanpur,f_wel_tk_Kalyanpur,varpi_Dhanmondi,varpi_Kalyanpur,soc_end_Dhanmondi,soc_end_Kalyanpur,kappa_Dhanmondi,kappa_Kalyanpur,kappa_refday_Dhanmondi,kappa_refday_Kalyanpur,scale_gmax_Dhanmondi,scale_gmax_Kalyanpur,scale_pmax_Dhanmondi,scale_pmax_Kalyanpur,g_max_kw_eff_Dhanmondi,g_max_kw_eff_Kalyanpur,p_max_kw_eff_Dhanmondi,p_max_kw_eff_Kalyanpur,rho_used_tk_per_kwh,rho_current_policy,individual_rationality_on,curtail_scope_used,max_c1_slack_kw,n_c7_binding,n_ir_binding
2026-06-14,57541037.44702133,29150347.70527307,28390689.74174826,2027057.849417941,12000.0,0.0,17025015.356616527,0.0,12125332.348656543,1976430.2954163328,9000.0,0.0,16595750.178543033,0.0,11794939.563205224,0.0,0.0,8000.0,6000.0,0.9839735821785526,0.933268070690634,0.9421245421245421,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,2.9103830456733704e-11,0,592
2026-06-15,58294569.50705985,29959764.83998827,28334804.66707158,2090680.55753406,0.0,0.0,17540809.877710763,0.0,12418954.962277504,1941375.7006272785,0.0,0.0,16288142.128262868,0.0,12046662.53880871,0.0,0.0,8000.0,6000.0,0.990058262751697,0.8980968995964964,0.9743589743589743,0.8913043478260869,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,1.4551915228366852e-11,0,592
2026-06-16,54650961.642146915,26055909.02583158,28595052.616315335,1640908.4549073968,0.0,0.0,13767221.93667306,0.0,12288687.08915852,1983452.608199034,0.0,0.0,16641167.382789895,0.0,11953885.233525442,0.0,0.0,8000.0,6000.0,0.7829517956139519,0.9237101266056562,0.7765567765567766,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,1.4551915228366852e-11,0,592
2026-06-17,58808882.70525408,30179499.289183773,28629383.4160703,2109980.5191748803,0.0,0.0,17702736.555877246,0.0,12476762.733306525,2017817.488399351,0.0,0.0,16929488.727670558,0.0,11699894.688399743,0.0,0.0,8000.0,6000.0,0.9950348768872176,0.9396239785823317,0.9772893772893773,0.9347826086956522,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,0.0,0,497
2026-06-18,57052300.506251246,29228058.928619698,27824241.57763155,2015258.1519628519,0.0,0.0,16908015.894968327,0.0,12320043.03365137,1890764.9783744512,0.0,0.0,15863518.168561647,0.0,11960723.409069905,0.0,0.0,8000.0,6000.0,0.9610850860145514,0.8800652977744716,0.945054945054945,0.8695652173913043,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,1.4551915228366852e-11,0,592
2026-06-19,50717214.40125805,23759772.649653602,26957441.751604453,1422682.011533031,0.0,0.0,11936302.07676213,0.0,11823470.572891472,1838213.3959409832,0.0,0.0,15422610.39194485,0.0,11534831.359659603,0.0,0.0,8000.0,6000.0,0.6980437668395768,0.8765893435852959,0.6593406593406593,0.8478260869565217,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,1.4551915228366852e-11,0,594
2026-06-20,56028482.05957438,27335372.592030108,28693109.467544276,1740088.6105917287,0.0,0.0,14599343.442864604,0.0,12736029.149165502,2006919.207190014,0.0,0.0,16838052.148324218,0.0,11855057.319220059,0.0,0.0,8000.0,6000.0,0.8096573106701263,0.9240403340180752,0.8205128205128205,0.9347826086956522,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,1.4551915228366852e-11,0,495
2026-06-21,59360199.13606495,30621627.217362236,28738571.918702707,2159344.636060848,0.0,0.0,18116901.496550515,0.0,12504725.720811721,1983047.7148017273,0.0,0.0,16637770.327186493,0.0,12100801.591516213,0.0,0.0,8000.0,6000.0,1.017464726330321,0.9138456698239537,1.0285714285714285,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,1.4551915228366852e-11,0,592
2026-06-22,57020581.69599866,28916258.497654192,28104323.19834447,1993658.0259098872,0.0,0.0,16726790.837383954,0.0,12189467.660270238,1937423.395388033,0.0,0.0,16254982.287305597,0.0,11849340.911038874,0.0,0.0,8000.0,6000.0,0.957906092564557,0.9074357342586847,0.9282051282051282,0.8913043478260869,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,1.4551915228366852e-11,0,592
2026-06-23,56011862.477040485,26964223.89192525,29047638.58511523,1717806.1781508746,0.0,0.0,14412393.834685838,0.0,12551830.057239411,2062081.5961914442,0.0,0.0,17300864.59204622,0.0,11746773.993069012,0.0,0.0,8000.0,6000.0,0.8067327871742036,0.9571121161420331,0.8095238095238095,0.9565217391304348,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,0.0,0,498
