date,F_tk,F_Dhanmondi,F_Kalyanpur,G_id_kwh_Dhanmondi,B_id_kwh_Dhanmondi,T_ijd_kwh_Dhanmondi,f_cost_tk_Dhanmondi,f_rel_tk_Dhanmondi,f_wel_tk_Dhanmondi,G_id_kwh_Kalyanpur,B_id_kwh_Kalyanpur,T_ijd_kwh_Kalyanpur,f_cost_tk_Kalyanpur,f_rel_tk_Kalyanpur,f_wel_tk_Kalyanpur,varpi_Dhanmondi,varpi_Kalyanpur,soc_end_Dhanmondi,soc_end_Kalyanpur,kappa_Dhanmondi,kappa_Kalyanpur,kappa_refday_Dhanmondi,kappa_refday_Kalyanpur,scale_gmax_Dhanmondi,scale_gmax_Kalyanpur,scale_pmax_Dhanmondi,scale_pmax_Kalyanpur,g_max_kw_eff_Dhanmondi,g_max_kw_eff_Kalyanpur,p_max_kw_eff_Dhanmondi,p_max_kw_eff_Kalyanpur,max_c1_slack_kw,n_c7_binding,n_ir_binding
2026-06-14,55811739.143501535,28161062.403273605,27650676.740227934,1869517.2438392963,12000.0,0.0,15703249.675811697,0.0,12457812.72746191,1848331.3435200131,9000.0,0.0,15520999.972132912,0.0,12129676.768095022,0.0,0.0,8000.0,6000.0,0.9839735821785526,0.933268070690634,0.9421245421245421,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,301,0
2026-06-15,56561248.191567376,28942691.898950163,27618556.292617217,1929229.8423443392,0.0,0.0,16186238.377269007,0.0,12756453.521681156,1817638.2744797305,0.0,0.0,15249985.12288494,0.0,12368571.169732276,0.0,0.0,8000.0,6000.0,0.990058262751697,0.8980968995964964,0.9743589743589743,0.8913043478260869,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,4.3655745685100555e-11,302,0
2026-06-16,53177833.521858744,25323243.952739343,27854589.5691194,1529312.4619156425,0.0,0.0,12830931.555472242,0.0,12492312.397267103,1855528.57812932,0.0,0.0,15567884.770504996,0.0,12286704.798614405,0.0,0.0,8000.0,6000.0,0.7829517956139519,0.9237101266056562,0.7765567765567766,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,281,0
2026-06-17,57581322.43182476,29147084.969550073,28434237.46227468,1946403.628066246,0.0,0.0,16330326.439475805,0.0,12816758.530074269,1906673.9538794477,0.0,0.0,15996994.473048568,0.0,12437242.989226114,0.0,0.0,8000.0,6000.0,0.9950348768872176,0.9396239785823317,0.9772893772893773,0.9347826086956522,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,305,0
2026-06-18,55395453.55210581,28262011.98414041,27133441.567965396,1862617.6470532436,0.0,0.0,15627362.058776714,0.0,12634649.925363699,1772609.7161237288,0.0,0.0,14872195.518278085,0.0,12261246.04968731,0.0,0.0,8000.0,6000.0,0.9610850860145514,0.8800652977744716,0.945054945054945,0.8695652173913043,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,295,0
2026-06-19,49443310.098216966,23142395.981592897,26300914.116624065,1330204.8270776733,0.0,0.0,11160418.49918168,0.0,11981977.482411217,1723807.8575282618,0.0,0.0,14462747.924662117,0.0,11838166.191961946,0.0,0.0,8000.0,6000.0,0.6980437668395768,0.8765893435852959,0.6593406593406593,0.8478260869565217,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,265,0
2026-06-20,55058578.64999898,26540683.65503776,28517894.994961217,1619754.1299369242,0.0,0.0,13589737.150170796,0.0,12950946.504866967,1896816.2137657881,0.0,0.0,15914288.033494964,0.0,12603606.961466255,0.0,0.0,8000.0,6000.0,0.8096573106701263,0.9240403340180752,0.8205128205128205,0.9347826086956522,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,1.4551915228366852e-11,289,0
2026-06-21,57574136.312072605,29572705.62178363,28001430.690288976,1991949.8916250863,0.0,0.0,16712459.590734474,0.0,12860246.031049153,1855951.0308013442,0.0,0.0,15571429.148423279,0.0,12430001.541865699,0.0,0.0,8000.0,6000.0,1.017464726330321,0.9138456698239537,1.0285714285714285,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,1.4551915228366852e-11,307,0
2026-06-22,55351607.305359244,27960858.522548627,27390748.78281062,1842538.8190798988,0.0,0.0,15458900.692080352,0.0,12501957.830468275,1813731.3757821952,0.0,0.0,15217206.242812619,0.0,12173542.539998002,0.0,0.0,8000.0,6000.0,0.957906092564557,0.9074357342586847,0.9282051282051282,0.8913043478260869,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,298,0
2026-06-23,55016701.31239735,26183218.044169083,28833483.26822827,1598511.8537116558,0.0,0.0,13411514.452640794,0.0,12771703.591528287,1945486.5651586156,0.0,0.0,16322632.281680785,0.0,12510850.986547487,0.0,0.0,8000.0,6000.0,0.8067327871742036,0.9571121161420331,0.8095238095238095,0.9565217391304348,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,291,0
2026-06-24,57469916.40635046,28779943.247106705,28689973.159243762,1914772.720028395,0.0,0.0,16064943.121038236,0.0,12715000.12606847,1942721.7150456305,0.0,0.0,16299435.189232841,0.0,12390537.97001092,0.0,0.0,8000.0,6000.0,0.9854083393737474,0.9657294952313036,0.967032967032967,0.9565217391304348,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,309,0
2026-06-25,56867364.87186611,28814093.573821228,28053271.29804488,1903391.9931059005,0.0,0.0,15969458.822158506,0.0,12844634.751662722,1859762.5937700975,0.0,0.0,15603408.161731118,0.0,12449863.13631376,0.0,0.0,8000.0,6000.0,0.9688343954435716,0.914468135295299,0.9743589743589743,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,302,0
2026-06-26,53276247.12275117,24034218.944800787,29242028.177950382,1348118.1469372334,0.0,0.0,11310711.252803389,0.0,12723507.6919974,1985412.4630688531,0.0,0.0,16657610.56514768,0.0,12584417.612802703,0.0,0.0,8000.0,6000.0,0.6744008870610252,0.9774504500983394,0.676923076923077,0.9782608695652174,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,278,0
2026-06-27,57870219.91391607,28245944.80951217,29624275.1044039,1779441.5442037294,0.0,0.0,14929514.55586929,0.0,13316430.253642876,1987014.0966151701,0.0,0.0,16671048.270601278,0.0,12953226.833802624,0.0,0.0,8000.0,6000.0,0.8776652592790941,0.9552410716665093,0.8901098901098901,0.9782608695652174,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,300,0
2026-06-28,60177787.14634241,29890279.306449953,30287507.839892454,1986671.3493558401,0.0,0.0,16668172.621095499,0.0,13222106.685354454,2073055.991041041,0.0,0.0,17392939.764834333,0.0,12894568.075058123,0.0,0.0,8000.0,6000.0,0.9921581771756754,1.007388410915333,1.0036630036630036,1.0217391304347827,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,4.3655745685100555e-11,319,0
2026-06-29,59036159.736241594,29428413.39064178,29607746.345599815,1967923.2136191481,0.0,0.0,16510875.762264654,0.0,12917537.628377125,2027330.2924523663,0.0,0.0,17009301.153675355,0.0,12598445.191924462,0.0,0.0,8000.0,6000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,318,0
