date,F_tk,F_Dhanmondi,F_Kalyanpur,G_id_kwh_Dhanmondi,B_id_kwh_Dhanmondi,T_ijd_kwh_Dhanmondi,f_cost_tk_Dhanmondi,f_rel_tk_Dhanmondi,f_wel_tk_Dhanmondi,G_id_kwh_Kalyanpur,B_id_kwh_Kalyanpur,T_ijd_kwh_Kalyanpur,f_cost_tk_Kalyanpur,f_rel_tk_Kalyanpur,f_wel_tk_Kalyanpur,varpi_Dhanmondi,varpi_Kalyanpur,soc_end_Dhanmondi,soc_end_Kalyanpur,kappa_Dhanmondi,kappa_Kalyanpur,kappa_refday_Dhanmondi,kappa_refday_Kalyanpur,scale_gmax_Dhanmondi,scale_gmax_Kalyanpur,scale_pmax_Dhanmondi,scale_pmax_Kalyanpur,g_max_kw_eff_Dhanmondi,g_max_kw_eff_Kalyanpur,p_max_kw_eff_Dhanmondi,p_max_kw_eff_Kalyanpur,rho_used_tk_per_kwh,rho_current_policy,individual_rationality_on,curtail_scope_used,gamma_scale_used,max_c1_slack_kw,n_c7_binding,n_ir_binding
2026-06-14,60050055.12820914,30430651.510721836,29619403.6174873,2069556.133810043,72487.13317772627,63372.96254905223,18074349.80664885,30442.248725705747,12325859.455347281,1858208.878376355,59581.81126647988,3118.518401935569,15709371.131295726,1718243.4269793993,12191789.059212174,0.0008272004619438287,0.0167097484033736,7999.999999999996,6000.0,0.9839735821785526,0.933268070690634,0.9421245421245421,0.9130434782608695,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,1.4551915228366852e-11,0,0
2026-06-15,60862286.10570848,31285508.918982305,29576777.18672618,2109449.342883298,81624.24773879419,54565.593970396396,18339089.50111783,198507.02376324843,12747912.394101227,1843325.7525644368,84432.8494704266,7605.19136765202,15664401.65621396,1463725.521688154,12448650.008824065,0.001989682165211319,0.01412158931912202,8000.0000000000055,5999.999999999998,0.990058262751697,0.8980968995964964,0.9743589743589743,0.8913043478260869,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,2.9103830456733704e-11,0,0
2026-06-16,56978681.43081875,27659780.998032432,29318900.432786323,1717284.8796372507,5.4569682106375694e-12,86701.69280756931,15231686.221828442,0.0,12428094.77620399,1846411.0456746733,69389.22596833989,0.0,15595472.512163019,1388588.3446258444,12334839.575997459,0.0,0.022573463985287784,8000.0,6000.0,0.7829517956139519,0.9237101266056562,0.7765567765567766,0.9130434782608695,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,1.4551915228366852e-11,0,0
2026-06-17,63647440.5552653,32213941.113757953,31433499.441507347,2143522.0238317894,83053.03319684791,91432.29330101782,18977336.116103657,254412.8683607954,12982192.129293503,1892655.2117546345,100012.085567339,21676.540678674497,16235322.4914198,2698039.3031849773,12500137.646902569,0.005669498280788846,0.02386130978736026,7999.999999999993,6000.0,0.9950348768872176,0.9396239785823317,0.9772893772893773,0.9347826086956522,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,2.9103830456733704e-11,0,0
2026-06-18,58682949.032471,30139677.86877937,28543271.163691632,2037966.5060675908,61452.38280142468,42351.357343546006,17593055.45487291,20699.888996719703,12525922.52490974,1813537.8596102737,53873.88387318773,2249.41858085431,15317762.944458095,956054.4614202564,12269453.75781328,0.0005894682800521088,0.010946062604137328,7999.999999999996,6000.000000000002,0.9610850860145514,0.8800652977744716,0.945054945054945,0.8695652173913043,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,2.9103830456733704e-11,0,0
2026-06-19,51276592.71929119,24359808.389159605,26916784.330131583,1445090.7957867682,-3.637978807091713e-12,30468.457718372945,12413762.124975529,0.0,11946046.264184074,1792721.4448459889,56424.92681572092,0.0,15125570.31248143,35729.71182531458,11755484.305824839,0.0,0.007982413734962262,8000.0,5999.999999999999,0.6980437668395768,0.8765893435852959,0.6593406593406593,0.8478260869565217,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,1.4551915228366852e-11,0,0
2026-06-20,59522025.659252904,29323300.557989113,30198725.10126379,1836428.1561832249,10261.36363563335,106937.50930673769,16438930.614244714,0.0,12884369.943744399,1860967.0339969643,84248.51228747051,0.0,15739886.183665738,1884720.0226762732,12574118.894921781,0.0,0.02736604055530805,8000.0,5999.999999999998,0.8096573106701263,0.9240403340180752,0.8205128205128205,0.9347826086956522,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,1.4551915228366852e-11,0,0
2026-06-21,65116991.391263604,32407565.954680603,32709425.436583005,2134962.172777409,107326.89738476234,54807.695299351566,18593996.08102345,724711.9081018022,13088857.965555351,1862314.78234143,81878.94232683463,33136.57510792295,16062436.900860118,4009825.5646850457,12637162.971037842,0.008702991630900311,0.014455229087723998,7999.999999999995,6000.000000000004,1.017464726330321,0.9138456698239537,1.0285714285714285,0.9130434782608695,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,1.4551915228366852e-11,0,0
2026-06-22,58961312.676557854,30004235.488322258,28957077.188235596,2028829.0373033988,60470.25041352453,53101.373788861005,17617044.049589984,0.0,12387191.438732276,1839809.7903652973,60442.185939763534,1565.017484361117,15541535.086175924,1203309.289138429,12212232.812921245,0.000413011087097087,0.013873355498378337,8000.000000000003,6000.0,0.957906092564557,0.9074357342586847,0.9282051282051282,0.8913043478260869,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,2.9103830456733704e-11,0,0
2026-06-23,60199035.46731966,29390798.027379543,30808237.439940117,1838667.934769104,4702.595276748951,132286.71471419738,16690201.655412782,0.0,12700596.371966759,1881930.8470933111,90433.27490280716,0.0,15925049.719467092,2421570.1665333146,12461617.553939711,0.0,0.03428194792508201,8000.0,5999.999999999998,0.8067327871742036,0.9571121161420331,0.8095238095238095,0.9565217391304348,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,1.4551915228366852e-11,0,0
