date,F_tk,F_Dhanmondi,F_Kalyanpur,G_id_kwh_Dhanmondi,B_id_kwh_Dhanmondi,T_ijd_kwh_Dhanmondi,f_cost_tk_Dhanmondi,f_rel_tk_Dhanmondi,f_wel_tk_Dhanmondi,G_id_kwh_Kalyanpur,B_id_kwh_Kalyanpur,T_ijd_kwh_Kalyanpur,f_cost_tk_Kalyanpur,f_rel_tk_Kalyanpur,f_wel_tk_Kalyanpur,varpi_Dhanmondi,varpi_Kalyanpur,soc_end_Dhanmondi,soc_end_Kalyanpur,kappa_Dhanmondi,kappa_Kalyanpur,kappa_refday_Dhanmondi,kappa_refday_Kalyanpur,scale_gmax_Dhanmondi,scale_gmax_Kalyanpur,scale_pmax_Dhanmondi,scale_pmax_Kalyanpur,g_max_kw_eff_Dhanmondi,g_max_kw_eff_Kalyanpur,p_max_kw_eff_Dhanmondi,p_max_kw_eff_Kalyanpur,rho_used_tk_per_kwh,rho_current_policy,individual_rationality_on,curtail_scope_used,gamma_scale_used,max_c1_slack_kw,n_c7_binding,n_ir_binding
2026-06-14,58776449.96670751,30168312.915690333,28608137.05101718,2062657.9341839436,81309.34218663789,72976.96197643605,18120945.219859384,0.0,12047367.695830947,1852663.177024848,60225.09163596707,0.0,15634181.692692427,1213503.1459982523,11760452.2123265,0.0,0.01917853498901349,7999.999999999998,6000.0,0.9839735821785526,0.933268070690634,0.9421245421245421,0.9130434782608695,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,2.9103830456733704e-11,99,690
2026-06-15,59907169.908437245,30544814.38564369,29362355.522793554,2092066.2933108332,84555.75517696806,41924.12836689394,18077549.053128835,128313.35891732594,12338951.97359753,1838003.8241643663,55690.30155072037,0.0,15504387.537065115,1849906.1502667984,12008061.83546164,0.0,0.010896229934158608,7999.999999999998,6000.000000000003,0.990058262751697,0.8980968995964964,0.9743589743589743,0.8913043478260869,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,2.9103830456733704e-11,100,688
2026-06-16,55335907.16598287,27526784.223959293,27809122.942023583,1710638.0712185388,206.17922836508734,102953.22222597942,15330618.297512893,0.0,12196165.9264464,1844653.9558946192,76720.37191884963,0.0,15591727.247834131,312080.72037865233,11905314.973810798,0.0,0.026633063693563944,8000.0,6000.0,0.7829517956139519,0.9237101266056562,0.7765567765567766,0.9130434782608695,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,2.9103830456733704e-11,99,686
2026-06-17,62356673.15767133,30909296.576068204,31447376.581603132,2115975.0094395867,79968.49568215193,48163.87727255848,18330539.906810667,183706.5807611752,12395050.08849636,1881873.6433855789,63889.37780076025,0.0,15884753.934706148,3642706.767004096,11919915.879892888,0.0,0.012756878672263137,7999.999999999999,5999.999999999999,0.9950348768872176,0.9396239785823317,0.9772893772893773,0.9347826086956522,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,2.9103830456733704e-11,114,670
2026-06-18,57317570.17266667,29735802.018320955,27581768.154345714,2022444.6277194493,73634.66828115513,45267.839369087436,17508806.902994245,0.0,12226995.11532671,1807801.3156470212,55001.2436366699,0.0,15249954.903733514,416326.6074233907,11915486.64318881,0.0,0.01171100758951879,7999.999999999997,5999.999999999998,0.9610850860145514,0.8800652977744716,0.945054945054945,0.8695652173913043,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,1.4551915228366852e-11,100,687
2026-06-19,50404275.00034949,23768998.657842282,26635276.342507206,1413334.607637134,2.8720885319145103e-12,18800.934966210378,12036486.240254553,0.0,11732512.41758773,1790786.1445390938,71201.8775604929,0.0,15131498.569023738,0.0,11503777.773483466,0.0,0.004964332798122524,8000.0,5999.999999999998,0.6980437668395768,0.8765893435852959,0.6593406593406593,0.8478260869565217,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,1.4551915228366852e-11,98,688
2026-06-20,57146003.61536726,29001141.146301102,28144862.469066158,1818293.8204458938,8629.660440176445,115119.9640219463,16362069.302409805,0.0,12639071.843891297,1858726.3695766868,86049.69654107145,0.0,15723788.78556001,356665.0234672447,12064408.660038905,0.0,0.029403788824451764,8000.0,6000.000000000004,0.8096573106701263,0.9240403340180752,0.8205128205128205,0.9347826086956522,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,2.9103830456733704e-11,115,667
2026-06-21,64793153.32856506,31308957.63261286,33484195.6959522,2114884.833214782,76852.70515280569,11314.205131023413,17966647.757145952,913069.9397245473,12429239.935742361,1842101.195838476,56997.002203729746,0.0,15540724.53639041,5880241.29817102,12063229.86139077,0.0,0.0030254315740562425,7999.999999999996,6000.000000000004,1.017464726330321,0.9138456698239537,1.0285714285714285,0.9130434782608695,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,1.4551915228366852e-11,101,687
2026-06-22,57553703.16391839,29783962.590311665,27769740.573606726,2021003.4240825237,83702.71902797103,63640.17582000527,17686354.47688438,0.0,12097608.113427285,1834625.1184824884,54415.699901758766,0.0,15474128.293920716,487459.25478370755,11808153.024902303,0.0,0.016574928170101966,8000.000000000003,5999.999999999997,0.957906092564557,0.9074357342586847,0.9282051282051282,0.8913043478260869,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,2.9103830456733704e-11,99,688
2026-06-23,57763990.39567651,29086235.218673214,28677755.177003294,1821627.8393164345,5194.540238426437,141000.79863380303,16630756.969243655,0.0,12455478.249429561,1881128.7457424009,101308.17572880676,0.0,15934632.440371955,788665.870097675,11954456.866533667,0.0,0.03643089239899437,8000.0,5999.999999999999,0.8067327871742036,0.9571121161420331,0.8095238095238095,0.9565217391304348,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,2.9103830456733704e-11,115,667
2026-06-24,63032626.30826414,30830148.7382581,32202477.570006035,2106376.595582303,75475.38966462734,71216.56588590998,18462270.09734861,69215.20801013774,12298663.43289935,1889474.7448865063,62789.7888213073,0.0,15946877.79282975,4421514.094514428,11834085.682661856,0.0,0.01909875867820096,7999.999999999998,6000.0,0.9854083393737474,0.9657294952313036,0.967032967032967,0.9565217391304348,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,1.4551915228366852e-11,114,670
2026-06-25,61431915.50250219,30525168.222480774,30906747.280021414,2072919.2121836487,78540.42909830538,53754.54458726476,18020271.007447287,57312.96873081706,12447584.24630267,1848568.5645757997,57939.92044607326,0.0,15596400.13746007,3228534.865546191,12081812.277015155,0.0,0.014049946470887106,7999.999999999998,6000.000000000001,0.9688343954435716,0.914468135295299,0.9743589743589743,0.9130434782608695,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,1.4551915228366852e-11,101,687
2026-06-26,56739663.721774414,27237701.674602583,29501962.04717183,1572089.7223587409,1.9147256879430067e-12,164173.60443665888,14749482.012738096,0.0,12488219.661864486,1895314.217181587,110124.13768430133,0.0,16066872.488679968,1452546.173311262,11982543.385180602,0.0,0.04255002399259438,8000.0,5999.999999999997,0.6744008870610252,0.9774504500983394,0.676923076923077,0.9782608695652174,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,2.1827872842550278e-11,115,667
2026-06-27,61526213.97877687,31656732.95323561,29869481.025541265,2035462.1145388074,69513.30644231432,158307.26572465076,18685716.12502825,0.0,12971016.82820736,1896095.3585175737,108685.36979141302,0.0,16071268.112649564,1403980.0637767548,12394232.849114947,0.0,0.04018342688464398,8000.000000000002,6000.000000000004,0.8776652592790941,0.9552410716665093,0.8901098901098901,0.9782608695652174,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,2.9103830456733704e-11,121,664
