consumer_id,substation,category,archetype,w_h,lambda_h,gamma_sh_h,gamma_cu_h,y_max_h,tariff_class,baseline_kwh,optimised_kwh,energy_shifted_kwh,energy_curtailed_kwh,n_shift_slots,n_curtail_slots,discomfort_J2_tk,incentive_received_tk,n_dr_events,income_band,monthly_income_bdt,household_size,peak_baseline_kw,peak_optimised_kw,connected_load_kw,J1_baseline_tk,J1_optimised_tk,rebate_tk,marginal_rate_tk_per_kwh,period_days,scale_to_30d,baseline_kwh_30d,optimised_kwh_30d,bill_baseline_tk,bill_optimised_tk,surcharge_tk,energy_charge_baseline_tk,energy_charge_optimised_tk,eff_rate_baseline,eff_rate_optimised,slab_baseline,slab_optimised,saving_tk,saving_pct,J1_saving_tk,energy_saving_kwh,energy_saving_pct,peak_reduction_kw,peak_reduction_pct,qoe,qoe_ok,net_benefit_tk,gained_unweighted,gained_lambda,gained,saving_per_discomfort,participated
DHNC0001,Dhanmondi,Residential,Res-A,597.3547737671756,0.48811259340679575,1.1401979768217843,14.311828019921023,0.336160097220683,LT-A,741.8844889317587,691.8884817821382,0.0,49.99600714962047,0,90,715.53425600811,0.0,30,upper-middle,174354.85781382807,4,4.522244194721653,4.522244194721653,6.269699999999999,12871.695882966014,12004.265158920098,0.0,17.35,30,1.0,741.8844889317587,691.8884817821382,9581.274447114316,8670.472186866104,0.0,8861.695882966014,7994.265158920099,12.914779308717476,12.531603596771916,601-above,601-above,910.8022602482124,9.506065871252936,867.4307240459166,49.99600714962048,6.739055458836975,0.0,0.0,0.9326094454116303,True,195.2680042401024,True,True,True,1.2728981912473094,True
DHNC0002,Dhanmondi,Residential,Res-A,597.3547737671756,0.6788997760026314,1.6024045898790984,11.859105283937252,0.41494041295175105,LT-A,206.54885510342336,196.54625506863385,0.0,10.002600034789461,0,150,118.62188692568269,0.0,30,upper-middle,112596.59401203739,5,0.9056059902486513,0.9056059902486513,3.6806,1879.5945814411518,1788.570921124568,0.0,9.1,30,1.0,206.54885510342336,196.54625506863385,1827.18877051321,1733.7897864875572,0.0,1585.5945814411525,1496.6431680833878,8.84627886026431,8.821281208752202,201-300,76-200,93.39898402565291,5.111622046550753,91.0236603165838,10.00260003478951,4.842728384904867,0.0,0.0,0.9515727161509515,True,-25.22290290002978,False,True,False,0.7873672089213007,True
DHNC0003,Dhanmondi,Residential,Res-A,597.3547737671756,0.5757809152833336,1.4916761799435885,10.701147537693938,0.44008259670880423,LT-A,176.71666423334503,171.50581460443738,0.0,5.210849628907605,0,120,55.762070675678,0.0,30,upper-middle,122947.57133679508,4,0.9728447772494944,0.9728447772494944,2.3800000000000003,1502.0916459834327,1457.7994241377178,0.0,8.5,30,1.0,176.71666423334503,171.50581460443738,1499.4542282826044,1452.9473953446036,0.0,1328.0916459834327,1283.7994241377178,8.485075444286647,8.471709246101627,76-200,76-200,46.5068329380008,3.1015840337632223,44.29222184571495,5.210849628907653,2.948703027818022,0.0,0.0,0.97051296972182,True,-9.255237737677199,False,True,False,0.8340227035056268,True
DHNC0004,Dhanmondi,Residential,Res-B,597.3547737671756,0.39681518577343594,0.6170377407396838,14.207494501620017,0.3494072353236943,LT-A,125.77903603831048,125.77903603831048,0.0,0.0,0,0,0.0,0.0,0,middle,53546.145812606715,4,0.7631324280611624,0.7631324280611624,2.2843999999999998,1069.1218063256392,1069.1218063256392,0.0,8.5,30,1.0,125.77903603831048,125.77903603831048,1040.619936641921,1040.619936641921,0.0,895.121806325639,895.121806325639,8.273397295913153,8.273397295913153,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
DHNC0005,Dhanmondi,Residential,Res-B,597.3547737671756,0.30768563832642065,0.9482020583472043,13.297629589625414,0.410064197023275,LT-A,196.82248550892285,196.82248550892285,0.0,0.0,0,0,0.0,0.0,0,middle,59531.87269822272,5,0.9916189913789257,0.9916189913789257,3.5601,1672.9911268258438,1672.9911268258438,0.0,8.5,30,1.0,196.82248550892285,196.82248550892285,1730.9410931671366,1730.9410931671366,0.0,1498.9911268258443,1498.9911268258443,8.794427571074776,8.794427571074776,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
DHNC0006,Dhanmondi,Residential,Res-C,597.3547737671756,0.24558693229210504,2.3062959852316713,21.45820886483766,0.26969991655302733,LT-A,114.42690706294435,114.42690706294435,0.0,0.0,0,0,0.0,0.0,0,lower-middle,10736.852167504177,4,0.2689426569645353,0.2689426569645353,0.38070000000000004,972.6287100350271,972.6287100350271,0.0,8.5,30,1.0,114.42690706294435,114.42690706294435,860.6101455367783,860.6101455367783,0.0,798.628710035027,798.628710035027,7.5210469952086605,7.5210469952086605,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
DHNC0007,Dhanmondi,Residential,Res-C,597.3547737671756,0.22703155796447627,2.35790448725758,14.721354589432986,0.3025223374839223,LT-A,149.25384920148198,149.25384920148198,0.0,0.0,0,0,0.0,0.0,0,lower-middle,24775.58637255295,4,1.2511246302574692,1.2511246302574692,1.9195,1268.6577182125968,1268.6577182125968,0.0,8.5,30,1.0,149.25384920148198,149.25384920148198,1234.0405541232267,1234.0405541232267,0.0,1094.6577182125968,1094.6577182125968,8.268065183748531,8.268065183748531,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
DHNC0008,Dhanmondi,Residential,Res-B,597.3547737671756,0.371762262432816,1.3707367481065376,12.617871664227897,0.3590640949863418,LT-A,188.3564219134829,188.3564219134829,0.0,0.0,0,0,0.0,0.0,0,middle,43471.247693859405,5,0.922622061291981,0.922622061291981,2.2004,1601.0295862646053,1601.0295862646053,0.0,8.5,30,1.0,188.3564219134829,188.3564219134829,1595.4187055778348,1595.4187055778348,0.0,1427.0295862646046,1427.0295862646046,8.47021136508238,8.47021136508238,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
DHNC0009,Dhanmondi,Residential,Res-A,597.3547737671756,0.635185299989375,0.8577295244043708,13.07020922708928,0.41414587042128215,LT-A,398.077109371363,373.15990225937503,0.0,24.917207111987803,0,120,325.6731103083976,0.0,30,upper-middle,177614.14505977277,4,2.560466022218713,2.560466022218713,3.9807,3829.5017921525105,3589.7982597351875,0.0,9.62,30,1.0,398.077109371363,373.15990225937503,3724.025751760138,3472.337042721947,0.0,3379.5017921525123,3139.7982597351875,9.355036157796311,9.305225512435696,301-400,301-400,251.68870903819106,6.758511509197592,239.703532417323,24.917207111987977,6.259392093993255,0.0,0.0,0.9374060790600679,True,-73.98440127020655,False,True,False,0.7728261900402318,True
DHNC0010,Dhanmondi,Residential,Res-A,597.3547737671756,0.5028732002408461,1.2710352588869966,16.273783039078104,0.3230992493504371,LT-A,196.77862878463787,196.77862878463787,0.0,0.0,0,0,0.0,0.0,0,upper-middle,156299.7761650142,6,0.9831174001378662,0.9831174001378662,3.7399000000000004,1672.6183446694224,1672.6183446694224,0.0,8.5,30,1.0,196.77862878463787,196.77862878463787,1738.4788519028932,1738.4788519028932,0.0,1498.618344669422,1498.618344669422,8.834693394502468,8.834693394502468,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
