consumer_id,substation,category,archetype,w_h,lambda_h,gamma_sh_h,gamma_cu_h,y_max_h,tariff_class,baseline_kwh,optimised_kwh,energy_shifted_kwh,energy_curtailed_kwh,n_shift_slots,n_curtail_slots,discomfort_J2_tk,incentive_received_tk,n_dr_events,income_band,monthly_income_bdt,household_size,peak_baseline_kw,peak_optimised_kw,connected_load_kw,J1_baseline_tk,J1_optimised_tk,rebate_tk,marginal_rate_tk_per_kwh,period_days,scale_to_30d,baseline_kwh_30d,optimised_kwh_30d,bill_baseline_tk,bill_optimised_tk,surcharge_tk,energy_charge_baseline_tk,energy_charge_optimised_tk,eff_rate_baseline,eff_rate_optimised,slab_baseline,slab_optimised,saving_tk,saving_pct,J1_saving_tk,energy_saving_kwh,energy_saving_pct,peak_reduction_kw,peak_reduction_pct,qoe,qoe_ok,net_benefit_tk,gained_unweighted,gained_lambda,gained,saving_per_discomfort,participated
DHNC0001,Dhanmondi,Residential,Res-A,597.3547737671756,0.48811259340679575,1.6288542526025491,20.445468599887178,0.336160097220683,LT-A,741.8844889317587,741.8844889317587,0.0,0.0,0,0,0.0,0.0,0,upper-middle,174354.85781382807,4,4.522244194721653,4.522244194721653,6.269699999999999,12871.695882966014,12871.695882966014,0.0,17.35,30,1.0,741.8844889317587,741.8844889317587,9581.274447114316,9581.274447114316,0.0,8861.695882966014,8861.695882966014,12.914779308717476,12.914779308717476,601-above,601-above,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
DHNC0002,Dhanmondi,Residential,Res-A,597.3547737671756,0.6788997760026314,2.2891494141129978,16.94157897705322,0.41494041295175105,LT-A,206.54885510342336,175.5665268379098,0.0,30.982328265513495,0,635,524.889561203185,30.516339631014393,30,upper-middle,112596.59401203739,5,0.9056059902486513,0.9026743952136419,3.6806,1879.5945814411518,1567.1390545939648,30.516339631014393,9.1,30,1.0,206.54885510342336,175.5665268379098,1827.18877051321,1546.545712028345,0.0,1585.5945814411525,1318.3154781222333,8.84627886026431,8.808887091878164,201-300,76-200,280.64305848486515,15.359281044948617,312.455526847187,30.98232826551356,15.000000000000027,0.0029315950350093933,0.32371639173946587,0.8500000000000001,True,-213.73016308730553,False,True,False,0.5346706797551039,True
DHNC0003,Dhanmondi,Residential,Res-A,597.3547737671756,0.5757809152833336,2.1309659713479836,15.287353625277056,0.44008259670880423,LT-A,176.71666423334503,167.9576133715639,0.0,8.759050861781084,0,228,133.9027079458352,26.277152585343252,10,upper-middle,122947.57133679508,4,0.9728447772494944,0.9728447772494944,2.3800000000000003,1502.0916459834327,1401.36256107295,26.277152585343252,8.5,30,1.0,176.71666423334503,167.9576133715639,1499.4542282826044,1421.279699341208,0.0,1328.0916459834327,1253.6397136582932,8.485075444286647,8.462133218081545,76-200,76-200,78.17452894139637,5.2135321950396145,100.7290849104827,8.759050861781134,4.956550588921976,0.0,0.0,0.9504344941107805,True,-29.45102641909557,False,True,False,0.5838158924539348,True
DHNC0004,Dhanmondi,Residential,Res-B,597.3547737671756,0.39681518577343594,0.8814824867709768,20.296420716600025,0.3494072353236943,LT-A,125.77903603831048,125.77903603831048,0.0,0.0,0,0,0.0,0.0,0,middle,53546.145812606715,4,0.7631324280611624,0.7631324280611624,2.2843999999999998,1069.1218063256392,1069.1218063256392,0.0,8.5,30,1.0,125.77903603831048,125.77903603831048,1040.619936641921,1040.619936641921,0.0,895.121806325639,895.121806325639,8.273397295913153,8.273397295913153,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
DHNC0005,Dhanmondi,Residential,Res-B,597.3547737671756,0.30768563832642065,1.3545743690674348,18.996613699464877,0.410064197023275,LT-A,196.82248550892285,196.82248550892285,0.0,0.0,0,0,0.0,0.0,0,middle,59531.87269822272,5,0.9916189913789257,0.9916189913789257,3.5601,1672.9911268258438,1672.9911268258438,0.0,8.5,30,1.0,196.82248550892285,196.82248550892285,1730.9410931671366,1730.9410931671366,0.0,1498.9911268258443,1498.9911268258443,8.794427571074776,8.794427571074776,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
DHNC0006,Dhanmondi,Residential,Res-C,597.3547737671756,0.24558693229210504,3.294708550330959,30.654584092625228,0.26969991655302733,LT-A,114.42690706294435,114.42690706294435,0.0,0.0,0,0,0.0,0.0,0,lower-middle,10736.852167504177,4,0.2689426569645353,0.2689426569645353,0.38070000000000004,972.6287100350271,972.6287100350271,0.0,8.5,30,1.0,114.42690706294435,114.42690706294435,860.6101455367783,860.6101455367783,0.0,798.628710035027,798.628710035027,7.5210469952086605,7.5210469952086605,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
DHNC0007,Dhanmondi,Residential,Res-C,597.3547737671756,0.22703155796447627,3.368434981796543,21.03050655633284,0.3025223374839223,LT-A,149.25384920148198,149.25384920148198,0.0,0.0,0,0,0.0,0.0,0,lower-middle,24775.58637255295,4,1.2511246302574692,1.2511246302574692,1.9195,1268.6577182125968,1268.6577182125968,0.0,8.5,30,1.0,149.25384920148198,149.25384920148198,1234.0405541232267,1234.0405541232267,0.0,1094.6577182125968,1094.6577182125968,8.268065183748531,8.268065183748531,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
DHNC0008,Dhanmondi,Residential,Res-B,597.3547737671756,0.371762262432816,1.958195354437911,18.025530948896996,0.3590640949863418,LT-A,188.3564219134829,188.3564219134829,0.0,0.0,0,0,0.0,0.0,0,middle,43471.247693859405,5,0.922622061291981,0.922622061291981,2.2004,1601.0295862646053,1601.0295862646053,0.0,8.5,30,1.0,188.3564219134829,188.3564219134829,1595.4187055778348,1595.4187055778348,0.0,1427.0295862646046,1427.0295862646046,8.47021136508238,8.47021136508238,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
DHNC0009,Dhanmondi,Residential,Res-A,597.3547737671756,0.635185299989375,1.225327892006244,18.6717274672704,0.41414587042128215,LT-A,398.077109371363,354.0787659192838,0.0,43.9983434520791,0,487,821.5250779485822,58.61748265687057,22,upper-middle,177614.14505977277,4,2.560466022218713,2.4069607680131333,3.9807,3829.5017921525105,3347.6202454866393,58.61748265687057,9.62,30,1.0,398.077109371363,354.0787659192838,3724.025751760138,3279.598484550686,0.0,3379.5017921525123,2956.23772814351,9.355036157796311,9.262341603671052,301-400,301-400,444.4272672094521,11.934054618161442,481.88154666587116,43.99834345207921,11.052718786458405,0.1535052542055797,5.9952076252339115,0.8894728121354163,True,-318.4803280822595,False,True,False,0.5409783330281587,True
DHNC0010,Dhanmondi,Residential,Res-A,597.3547737671756,0.5028732002408461,1.8157646555528526,23.248261484397293,0.3230992493504371,LT-A,196.77862878463787,196.77862878463787,0.0,0.0,0,0,0.0,0.0,0,upper-middle,156299.7761650142,6,0.9831174001378662,0.9831174001378662,3.7399000000000004,1672.6183446694224,1672.6183446694224,0.0,8.5,30,1.0,196.77862878463787,196.77862878463787,1738.4788519028932,1738.4788519028932,0.0,1498.618344669422,1498.618344669422,8.834693394502468,8.834693394502468,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
