consumer_id,substation,category,archetype,w_h,lambda_h,gamma_sh_h,gamma_cu_h,y_max_h,tariff_class,baseline_kwh,optimised_kwh,energy_shifted_kwh,energy_curtailed_kwh,n_shift_slots,n_curtail_slots,discomfort_J2_tk,incentive_received_tk,n_dr_events,income_band,monthly_income_bdt,household_size,peak_baseline_kw,peak_optimised_kw,connected_load_kw,J1_baseline_tk,J1_optimised_tk,rebate_tk,marginal_rate_tk_per_kwh,period_days,scale_to_30d,baseline_kwh_30d,optimised_kwh_30d,bill_baseline_tk,bill_optimised_tk,surcharge_tk,energy_charge_baseline_tk,energy_charge_optimised_tk,eff_rate_baseline,eff_rate_optimised,slab_baseline,slab_optimised,saving_tk,saving_pct,J1_saving_tk,energy_saving_kwh,energy_saving_pct,peak_reduction_kw,peak_reduction_pct,qoe,qoe_ok,net_benefit_tk,gained_unweighted,gained_lambda,gained,saving_per_discomfort,participated
DHNC0001,Dhanmondi,Residential,Res-A,597.3547737671756,0.48811259340679575,1.6288542526025491,20.445468599887178,0.336160097220683,LT-A,741.8844889317587,630.6018155919948,0.0,111.28267333976379,0,673,2275.2264034796426,0.0,30,upper-middle,174354.85781382807,4,4.522244194721653,4.421243345264988,6.269699999999999,12871.695882966014,10940.941500521112,0.0,17.35,30,1.0,741.8844889317587,630.6018155919948,9581.274447114316,7553.982345547164,0.0,8861.695882966014,6930.9415005211085,12.914779308717476,11.979005069079378,601-above,601-above,2027.2921015671518,21.1588981482284,1930.7543824449021,111.28267333976396,15.000000000000021,0.10100084945666499,2.2334231657492714,0.8500000000000001,True,-247.9343019124908,False,False,False,0.8910287338731171,True
DHNC0002,Dhanmondi,Residential,Res-A,597.3547737671756,0.6788997760026314,2.2891494141129978,16.94157897705322,0.41494041295175105,LT-A,206.54885510342336,175.5665268379098,0.0,30.982328265513495,0,611,524.8895612031852,0.0,30,upper-middle,112596.59401203739,5,0.9056059902486513,0.9045794922039998,3.6806,1879.5945814411518,1597.6553942249793,0.0,9.1,30,1.0,206.54885510342336,175.5665268379098,1827.18877051321,1546.545712028345,0.0,1585.5945814411525,1318.3154781222333,8.84627886026431,8.808887091878164,201-300,76-200,280.64305848486515,15.359281044948617,281.9391872161725,30.98232826551356,15.000000000000027,0.0010264980446514915,0.11334929933156107,0.8500000000000001,True,-244.24650271832002,False,True,False,0.5346706797551037,True
DHNC0003,Dhanmondi,Residential,Res-A,597.3547737671756,0.5757809152833336,2.1309659713479836,15.287353625277056,0.44008259670880423,LT-A,176.71666423334503,150.20916459834322,0.0,26.507499635001757,0,712,405.2295206421743,0.0,30,upper-middle,122947.57133679508,4,0.9728447772494944,0.9668433080169715,2.3800000000000003,1502.0916459834327,1276.7778990859172,0.0,8.5,30,1.0,176.71666423334503,150.20916459834322,1499.4542282826044,1262.8747940402134,0.0,1328.0916459834327,1102.7778990859174,8.485075444286647,8.407441699160762,76-200,76-200,236.57943424239102,15.777702965522101,225.31374689751556,26.507499635001807,15.000000000000028,0.006001469232522871,0.6168989517002611,0.85,True,-168.65008639978328,False,False,False,0.5838158924539344,True
DHNC0004,Dhanmondi,Residential,Res-B,597.3547737671756,0.39681518577343594,0.8814824867709768,20.296420716600025,0.3494072353236943,LT-A,125.77903603831048,122.10754389415983,0.0,3.6714921441506285,0,276,74.51814921537304,0.0,12,middle,53546.145812606715,4,0.7631324280611624,0.7631324280611624,2.2843999999999998,1069.1218063256392,1037.9141231003587,0.0,8.5,30,1.0,125.77903603831048,122.10754389415983,1040.619936641921,1007.8518692553764,0.0,895.121806325639,863.9141231003586,8.273397295913153,8.253805105841458,76-200,76-200,32.768067386544544,3.1488986740237794,31.20768322528056,3.6714921441506476,2.9190016554367326,0.0,0.0,0.9708099834456329,True,-41.7500818288285,False,False,False,0.4397327058115463,True
DHNC0005,Dhanmondi,Residential,Res-B,597.3547737671756,0.30768563832642065,1.3545743690674348,18.996613699464877,0.410064197023275,LT-A,196.82248550892285,191.9681486433955,0.0,4.854336865527337,0,115,92.215962201494,0.0,5,middle,59531.87269822272,5,0.9916189913789257,0.9916189913789257,3.5601,1672.9911268258438,1631.7292634688613,0.0,8.5,30,1.0,196.82248550892285,191.9681486433955,1730.9410931671366,1687.6161366423048,0.0,1498.9911268258443,1457.7292634688617,8.794427571074776,8.791125760020012,76-200,76-200,43.324956524831805,2.5029711696057366,41.26186335698253,4.854336865527358,2.4663527914381964,0.0,0.0,0.9753364720856181,True,-48.89100567666219,False,False,False,0.46982057650893216,True
DHNC0006,Dhanmondi,Residential,Res-C,597.3547737671756,0.24558693229210504,3.294708550330959,30.654584092625228,0.26969991655302733,LT-A,114.42690706294435,114.42690706294435,0.0,0.0,0,0,0.0,0.0,0,lower-middle,10736.852167504177,4,0.2689426569645353,0.2689426569645353,0.38070000000000004,972.6287100350271,972.6287100350271,0.0,8.5,30,1.0,114.42690706294435,114.42690706294435,860.6101455367783,860.6101455367783,0.0,798.628710035027,798.628710035027,7.5210469952086605,7.5210469952086605,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
DHNC0007,Dhanmondi,Residential,Res-C,597.3547737671756,0.22703155796447627,3.368434981796543,21.03050655633284,0.3025223374839223,LT-A,149.25384920148198,149.25384920148198,0.0,0.0,0,0,0.0,0.0,0,lower-middle,24775.58637255295,4,1.2511246302574692,1.2511246302574692,1.9195,1268.6577182125968,1268.6577182125968,0.0,8.5,30,1.0,149.25384920148198,149.25384920148198,1234.0405541232267,1234.0405541232267,0.0,1094.6577182125968,1094.6577182125968,8.268065183748531,8.268065183748531,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,False,False,,False
DHNC0008,Dhanmondi,Residential,Res-B,597.3547737671756,0.371762262432816,1.958195354437911,18.025530948896996,0.3590640949863418,LT-A,188.3564219134829,168.61978370731657,0.0,19.736638206166372,0,651,355.7633828124348,0.0,21,middle,43471.247693859405,5,0.922622061291981,0.922622061291981,2.2004,1601.0295862646053,1433.2681615121912,0.0,8.5,30,1.0,188.3564219134829,168.61978370731657,1595.4187055778348,1419.2692095878006,0.0,1427.0295862646046,1259.268161512191,8.47021136508238,8.416979184668573,76-200,76-200,176.1494959900342,11.040957171568056,167.7614247524141,19.736638206166333,10.478346321120867,0.0,0.0,0.8952165367887911,True,-179.61388682240062,False,False,False,0.49513104636432903,True
DHNC0009,Dhanmondi,Residential,Res-A,597.3547737671756,0.635185299989375,1.225327892006244,18.6717274672704,0.41414587042128215,LT-A,398.077109371363,338.3655429656584,0.0,59.71156640570442,0,631,1114.9180945711319,0.0,30,upper-middle,177614.14505977277,4,2.560466022218713,2.2501332784056722,3.9807,3829.5017921525105,3255.0765233296333,0.0,9.62,30,1.0,398.077109371363,338.3655429656584,3724.025751760138,3120.8792194961156,0.0,3379.5017921525123,2805.076523329634,9.355036157796311,9.223395479760367,301-400,301-400,603.1465322640224,16.196089191352904,574.4252688228771,59.711566405704616,15.00000000000004,0.31033274381304077,12.120166450954464,0.8500000000000001,True,-511.77156230710943,False,False,False,0.5409783330281591,True
DHNC0010,Dhanmondi,Residential,Res-A,597.3547737671756,0.5028732002408461,1.8157646555528526,23.248261484397293,0.3230992493504371,LT-A,196.77862878463787,178.6770755167557,0.0,18.101553267882224,0,725,420.82964364547223,0.0,25,upper-middle,156299.7761650142,6,0.9831174001378662,0.9822815322352695,3.7399000000000004,1672.6183446694224,1518.755141892423,0.0,8.5,30,1.0,196.77862878463787,178.6770755167557,1738.4788519028932,1576.9224889870447,0.0,1498.618344669422,1344.7551418924236,8.834693394502468,8.825544544124613,76-200,76-200,161.55636291584847,9.292972574214126,153.86320277699951,18.101553267882167,9.198942679742528,0.0008358679025967097,0.08502218580196962,0.9080105732025745,True,-259.27328072962376,False,False,False,0.3838996737880746,True
DHNC0011,Dhanmondi,Residential,Res-A,597.3547737671756,0.3692491721558849,2.485346922333847,20.579846039237896,0.3491485285830399,LT-A,495.66845075302064,436.5728160126629,0.0,59.09563474035776,0,459,1216.179064547601,0.0,24,upper-middle,199144.37502718804,4,2.681841055030918,2.681841055030918,5.570199999999999,7439.983445802839,6552.95796835007,0.0,15.01,30,1.0,495.66845075302064,436.5728160126629,5321.328438092982,4389.951686767574,0.0,4833.98344580284,3946.9579683500697,10.735660964519342,10.055485650394326,401-600,401-600,931.3767513254079,17.502711252665843,887.0254774527693,59.09563474035775,11.922411977316598,0.0,0.0,0.880775880226834,True,-284.8023132221931,False,False,False,0.7658220557117261,True
DHNC0012,Dhanmondi,Residential,Res-A,597.3547737671756,0.5386261237165179,2.408977113564393,20.594169461062933,0.3788994379258158,LT-A,157.25263141484473,139.06315792833087,0.0,18.189473486513833,0,690,374.5970993887771,0.0,30,upper-middle,104924.43749387428,4,0.9674737262491748,0.8776915511837206,2.9512,1336.64736702618,1182.0368423908124,0.0,8.5,30,1.0,157.25263141484473,139.06315792833087,1350.9276553774891,1188.586604510353,0.0,1162.6473670261803,1008.0368423908124,8.590811124893907,8.547099190160173,76-200,76-200,162.34105086713612,12.017005516240854,154.6105246353677,18.18947348651386,11.567039179477137,0.08978217506545427,9.280063388753018,0.8843296082052288,True,-212.256048521641,False,False,False,0.43337508787981777,True
