substation,category,n_reps,connections,participation_pct,bill_baseline_tk,saving_tk,saving_pct,mean_saving_per_connection_tk,discomfort_tk,qoe_mean,curtailed_kwh
Dhanmondi,Commercial,96.0,3528.933699870044,98.95833333333336,242453396.7306862,34217834.80936277,14.11315958892152,9696.366585357744,52251974.22109878,0.8611656344320874,495049.69342249376
Dhanmondi,Educational,36.0,1178.6226757857057,5.555555555555554,54150102.99717209,524058.01910339785,0.9677876681615288,444.6359550600406,1726625.145422012,0.9922618970312881,12868.214097075444
Dhanmondi,Government,20.0,802.1669568601163,0.0,51247413.35021978,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Hospital,36.0,173.32898052918324,0.0,54716588.71046193,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Industrial,8.0,115.82869586163048,100.0,8706776.916436588,855528.3958379597,9.826005697043868,7386.152364695344,1586631.5031441334,0.8957679266422359,14934.597116836154
Dhanmondi,Residential,204.0,121860.37384850386,74.01960784313724,313832975.8800677,48381446.70669392,15.416304348203052,397.023619563497,78616595.179182,0.8994467249245579,931870.3686819617
Kalyanpur,Commercial,68.0,2845.228977924288,91.1764705882353,175987693.08452642,21000201.65132094,11.932767163005314,7380.847662616405,32897402.062104665,0.8743386316343238,303822.3618536016
Kalyanpur,Educational,20.0,644.1544803297821,0.0,30621275.37911703,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Government,12.0,520.1446066889106,0.0,31489742.056606926,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Hospital,12.0,54.26807695745534,0.0,18649695.25441414,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Industrial,16.0,605.5581382139187,100.0,35578906.4522327,4183626.01499334,11.758725694984935,6908.710743006211,6587295.715137747,0.8759850282333483,73031.78868802203
Kalyanpur,Residential,272.0,216332.7081211862,43.382352941176464,409903114.1580602,45714112.1987302,11.152418856984498,211.31391825004044,70151433.85790786,0.951281402772608,828854.2408420411
