substation,category,n_reps,connections,participation_pct,bill_baseline_tk,saving_tk,saving_pct,mean_saving_per_connection_tk,discomfort_tk,qoe_mean,curtailed_kwh
Dhanmondi,Commercial,96.0,3528.933699870044,97.91666666666669,247874096.79793492,9418617.611158796,3.7997587213950723,2668.969839672999,14332938.178703548,0.9643239871803119,583991.6673585565
Dhanmondi,Educational,36.0,1178.6226757857057,5.555555555555554,55293607.12271432,130624.85153932759,0.23623861479940889,110.82838827298914,432823.3073177022,0.9985096091609067,13746.366907585121
Dhanmondi,Government,20.0,802.1669568601163,0.0,52177157.857688725,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Hospital,36.0,173.32898052918324,0.0,55385000.67367382,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Industrial,8.0,115.82869586163048,100.0,8755069.57092015,156731.8707592116,1.79018418402744,1353.1350723869346,274601.8062433131,0.9798832520933469,11725.72257204289
Dhanmondi,Residential,204.0,121860.37384850386,73.52941176470587,319887942.33084536,12556354.655211177,3.925235369523468,103.03886537243983,18081890.317643873,0.9808243482180857,917405.5749139371
Kalyanpur,Commercial,68.0,2845.228977924288,92.64705882352942,179788655.6928409,7631428.587158798,4.24466635992689,2682.184332568636,12298127.725481829,0.9533063685934263,473178.8558506197
Kalyanpur,Educational,20.0,644.1544803297821,4.999999999999999,31303933.69948343,5154.950425332652,0.016467420595826645,8.002661756995803,17253.631308281667,0.9999022024735449,542.4836017187822
Kalyanpur,Government,12.0,520.1446066889106,0.0,32037803.721434996,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Hospital,12.0,54.26807695745534,0.0,18866675.256807424,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Industrial,16.0,605.5581382139187,100.0,35799950.37877679,207170.21197574117,0.578688545050491,342.1144872840541,381075.8835293018,0.9895993954139026,15499.21160930251
Kalyanpur,Residential,272.0,216332.7081211862,45.58823529411764,416554165.2985567,14362945.62257839,3.4480379309816866,66.3928526912005,21138931.60177005,0.9854495894361184,1072216.3127121695
