substation,category,n_reps,connections,participation_pct,bill_baseline_tk,saving_tk,saving_pct,mean_saving_per_connection_tk,discomfort_tk,qoe_mean,curtailed_kwh
Dhanmondi,Commercial,96.0,3528.933699870044,7.291666666666667,247874096.79793492,863054.16712296,0.3481824758100945,244.5651407831047,1371061.931088703,0.9971657256940264,53512.78317974693
Dhanmondi,Educational,36.0,1178.6226757857057,0.0,55293607.12271432,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Government,20.0,802.1669568601163,0.0,52177157.857688725,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Hospital,36.0,173.32898052918324,0.0,55385000.67367382,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Industrial,8.0,115.82869586163048,0.0,8755069.57092015,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Residential,204.0,121860.37384850386,9.80392156862745,319887942.33084536,3094138.9452080308,0.9672571346899677,25.39085387227391,4520732.529752017,0.9968451730747965,195471.32550383563
Kalyanpur,Commercial,68.0,2845.228977924288,57.35294117647061,179788655.6928409,1384381.9282208348,0.7700051612744553,486.5625715758029,3034466.5397088323,0.9859372873999012,85837.17312877205
Kalyanpur,Educational,20.0,644.1544803297821,0.0,31303933.69948343,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Government,12.0,520.1446066889106,0.0,32037803.721434996,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Hospital,12.0,54.26807695745534,0.0,18866675.256807424,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Industrial,16.0,605.5581382139187,93.75000000000003,35799950.37877679,127316.53565137005,0.35563327408086814,210.2465933772892,308915.1237282922,0.9920136427916039,9525.0466203846
Kalyanpur,Residential,272.0,216332.7081211862,4.411764705882353,416554165.2985567,2494994.450180924,0.5989603893152017,11.533135566274458,4086130.5618543257,0.9983091929151381,168551.51526811632
