substation,category,n_reps,connections,participation_pct,bill_baseline_tk,saving_tk,saving_pct,mean_saving_per_connection_tk,discomfort_tk,qoe_mean,curtailed_kwh
Dhanmondi,Commercial,96.0,3528.933699870044,62.50000000000002,247874096.79793492,3702043.3120225277,1.4935176203749942,1049.0543679409047,5336337.028076664,0.9862184320640278,229541.37599346053
Dhanmondi,Educational,36.0,1178.6226757857057,0.0,55293607.12271432,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Government,20.0,802.1669568601163,0.0,52177157.857688725,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Hospital,36.0,173.32898052918324,0.0,55385000.67367382,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Industrial,8.0,115.82869586163048,62.49999999999999,8755069.57092015,49197.29560451254,0.5619292366096178,424.7418589887593,84521.57910092958,0.9940407894955877,3680.641574422015
Dhanmondi,Residential,204.0,121860.37384850386,36.764705882352935,319887942.33084536,6989780.887417272,2.1850716961966836,57.35893192078114,9199165.262226097,0.9914395961722636,473069.7537469417
Kalyanpur,Commercial,68.0,2845.228977924288,75.0,179788655.6928409,4333828.350964174,2.410512684609135,1523.191414325423,7084540.646375594,0.9704594580963743,268714.5554913301
Kalyanpur,Educational,20.0,644.1544803297821,0.0,31303933.69948343,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Government,12.0,520.1446066889106,0.0,32037803.721434996,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Hospital,12.0,54.26807695745534,0.0,18866675.256807424,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Industrial,16.0,605.5581382139187,100.0,35799950.37877679,183704.43389698822,0.5131415880562039,303.3638263682174,338609.00507922407,0.9903605044303092,13743.645224777656
Kalyanpur,Residential,272.0,216332.7081211862,20.588235294117652,416554165.2985567,9244556.264087483,2.2192927197022834,42.73304922022622,12365900.776711833,0.9935067095700406,630999.1274024871
