substation,category,n_reps,connections,participation_pct,bill_baseline_tk,saving_tk,saving_pct,mean_saving_per_connection_tk,discomfort_tk,qoe_mean,curtailed_kwh
Dhanmondi,Commercial,96.0,3528.933699870044,77.08333333333336,247874096.79793492,4225525.165602928,1.704706227955535,1197.3943193544658,6344157.081856877,0.982569573361145,262171.0048307775
Dhanmondi,Educational,36.0,1178.6226757857057,2.777777777777777,55293607.12271432,49040.26112221588,0.08869065281521561,41.60810930395866,168456.296165823,0.9995455268523613,5272.155428692783
Dhanmondi,Government,20.0,802.1669568601163,0.0,52177157.857688725,-590.85979845332,-0.0011324108531646517,-0.7365795778550817,0.0,1.0,0.0
Dhanmondi,Hospital,36.0,173.32898052918324,0.0,55385000.67367382,-1070.39483223611,-0.0019326438913359104,-6.175509882814366,0.0,1.0,0.0
Dhanmondi,Industrial,8.0,115.82869586163048,74.99999999999999,8755069.57092015,56850.40010825536,0.649342642542593,490.81447119260605,110621.51365246385,0.9893242440900605,4262.138689792959
Dhanmondi,Residential,204.0,121860.37384850386,47.549019607843135,319887942.33084536,7381186.874448089,2.307428914220864,60.570853685582314,10077185.91438753,0.9896541242976626,507110.16815028316
Kalyanpur,Commercial,68.0,2845.228977924288,86.76470588235294,179788655.6928409,5097450.757890538,2.8352460494500025,1791.5783922632966,8491659.889854789,0.9661247771339638,323336.7348993855
Kalyanpur,Educational,20.0,644.1544803297821,0.0,31303933.69948343,-35548.700537907185,-0.1135598512288371,-55.186607597152204,0.0,1.0,0.0
Kalyanpur,Government,12.0,520.1446066889106,0.0,32037803.721434996,-21466.312213912253,-0.06700307049933685,-41.26989290643723,0.0,1.0,0.0
Kalyanpur,Hospital,12.0,54.26807695745534,0.0,18866675.256807424,-21599.605943530318,-0.11448549174416306,-398.0167928276472,0.0,1.0,0.0
Kalyanpur,Industrial,16.0,605.5581382139187,100.0,35799950.37877679,154780.63842804253,0.43234875129827227,255.59996416622332,337736.0281235433,0.9904315546924962,13743.645224777656
Kalyanpur,Residential,272.0,216332.7081211862,24.632352941176467,416554165.2985567,9698328.876232423,2.3282275593814656,44.83061743395534,14682891.384602867,0.9907004856230738,702844.5499723761
